feature,D,P,JE,expected
lex::L,0.9621729687885179,0.765392368258706,0.4630379604664183,↑ LBH
lex::HWJ,0.8841456260964248,0.8841456260964248,0.8841456260964248,↓ LBH
vt::impv,0.9576069145567417,1.041964042813281,0.4020902263314407,↓ LBH
lex::LKN,0.7722588064609354,0.7555641293703976,0.7174721844601831,↓ LBH
vt::infc,1.2488374938253013,0.14862392767064994,0.46681657870532045,↑ LBH
vt::impf,0.2888946409960765,0.713769515786739,0.7295487201436285,↓ LBH
vs::hif,0.5570777761642597,0.8712110520027142,0.7971581610303289,↓ LBH
vt::perf,0.5297475445466397,1.065337764445649,1.0718503892252909,↓ LBH
lex::L>,-0.03845115106641474,0.9806104630772513,0.7811186129589456,↓ LBH
lex::W,0.22919164519650193,0.7387541154275868,1.2824650657336338,↑ LBH
lex::CM,-1.2689802842805955,0.4810334419951465,-0.5630931056871156,↓ LBH
lex::B,-0.07854321892833735,1.2045403777370658,1.4210335702632961,↓ LBH
vs::piel,0.33505299945462685,0.5182589544550912,0.5920445407324483,↓ LBH
lex::<L,1.4407895597560922,0.5418176540714987,1.2323779441568625,↓ LBH
lex::>CR,3.3084820886063304,1.2560525583232252,1.1505156107529904,↑ LBH
lex::C,0.12662347024097445,0.13236487655761953,0.13416005824245303,↑ LBH
vs::qal,0.3602942014000634,0.8615091144287556,0.16725055156459115,↓ LBH
morph::prs_rate,-0.5813954087355963,0.7636934917485056,0.2596083054370625,↓ LBH
lex::>LH,1.2552483690629164,1.2796261623831373,0.4473108770025777,↑ LBH
lex::>DJN,0.2668834886178076,0.2668834886178076,0.2668834886178076,↑ LBH
lex::KJ,0.24402319852193774,1.2698159382053662,0.5236420714610598,↓ LBH
lex::K,0.8306955869884384,1.2525288603843956,1.0986009588633672,↓ LBH
morph::abs_count,0.9608952340896916,-0.0417003104753661,1.4090839716529937,↓ LBH
lex::HW>,-0.07314652950102396,0.4502408866690773,0.13056551177538975,↓ LBH
lex::>JK,0.9273336316757352,0.8328802735965058,0.6793609204828284,↓ LBH
vs::nif,1.230652185154738,1.3918847025396734,1.0690328234008086,↓ LBH
lex::ZH,1.0058321760493623,0.13324730965307285,1.1488525753311245,↑ LBH
lex::KMW,0.465038050922803,0.9583295842252539,0.5699456296433908,↓ LBH
lex::LM<N,-1.968959432340405,0.9114191247010455,0.5898923792085063,↓ LBH
frac_ani,-1.195101136545337,0.5520889119589214,-0.4635306373374772,↑ LBH
frac_she,-0.07333633173088128,-0.06044686061222485,-0.05369229004023035,↑ LBH
rate_ut_nouns,0.7597187990240907,1.323850000270164,1.0192656192434537,↑ LBH
frac_fronted,-0.26978561610777596,0.683469117416593,0.7446969983987346,?
frac_infc,1.0630084800525899,0.4124622099720105,0.39352270000826184,?
frac_wqtl_wayq,-0.03563813256863541,0.5706520720532224,1.5144542927957971,?
frac_null_subj,-0.6418664252357531,0.4155019642140044,0.3652644562766487,?
