unit,n_words,noisy,map_ng,ci68_lo_ng,ci68_hi_ng,ci95_lo_ng,ci95_hi_ng,map_A,ci68_lo_A,ci68_hi_A,map_B,ci68_lo_B,ci68_hi_B,map_AB,ci68_lo_AB,ci68_hi_AB,archaism_index,entropy_ng,entropy_AB,skew_ng,skew_AB,group,notes
Kings_Solomon,9710,False,398.0,354.21,439.48,312.73,480.96,492.48,409.52,573.15,439.48,326.55,552.4,483.27,409.52,557.01,85.27,4.35,4.89,0.0,0.0,kings_chr,1 Kgs 1–11: Solomon narrative
Chr_Solomon,4824,False,287.37,243.59,331.16,202.1,372.65,384.17,301.2,464.83,222.85,132.97,340.38,340.38,266.63,414.13,53.01,4.35,4.89,0.0,0.0,kings_chr,2 Chr 1–9: Chronicler's Solomon
Kings_Judah,22457,False,501.7,460.22,545.49,418.74,586.97,499.4,418.74,582.36,628.46,515.53,741.38,536.27,462.53,610.02,34.57,4.35,4.89,0.0,0.0,kings_chr,1 Kgs 12–22 + 2 Kgs 1–20: Judean kings to Hezekiah
Chr_Judah,11969,False,273.55,229.76,315.03,188.28,356.51,377.25,296.59,460.22,393.39,282.77,506.31,368.04,294.29,439.48,94.49,4.35,4.89,0.0,0.0,kings_chr,2 Chr 10–32: Judean kings to Hezekiah
Kings_Hezekiah,2128,False,614.63,570.84,656.11,529.36,697.6,667.64,586.97,750.6,663.03,550.1,775.95,690.68,616.93,762.12,76.05,4.35,4.89,-0.0,-0.0,kchr_3way,2 Kgs 18–20: Hezekiah narrative
Isa_Hezekiah,1815,False,610.02,566.23,651.5,524.75,692.99,672.24,591.58,752.91,626.15,513.23,736.77,681.46,607.72,755.21,71.44,4.35,4.89,-0.0,-0.0,kchr_3way,Isa 36–39: near-verbatim parallel to 2 Kgs 18–20
Chr_Hezekiah,2856,False,96.09,70.74,142.18,52.3,183.67,312.73,229.76,393.39,114.53,84.57,250.5,248.2,174.45,321.94,152.1,4.06,4.87,0.56,0.07,kchr_3way,2 Chr 29–32: Chronicler's Hezekiah
Kings_Fall,3341,False,607.72,563.93,649.2,522.44,690.68,444.09,363.43,527.05,448.7,338.08,561.62,418.74,344.99,492.48,-188.98,4.35,4.89,-0.0,0.0,kings_chr,2 Kgs 21–25: Manasseh to Exile
Chr_Fall,2655,False,310.42,266.63,354.21,225.15,395.69,370.34,287.37,451.0,310.42,202.1,423.35,335.77,262.02,409.52,25.35,4.35,4.89,0.0,0.0,kings_chr,2 Chr 33–36: Chronicler's Manasseh to Exile
Gen49_poem,475,True,462.53,421.04,506.31,379.56,547.8,605.41,522.44,686.07,204.41,121.44,321.94,559.32,485.57,633.07,96.79,4.35,4.89,-0.0,0.0,poem_embed,Gen 49: Blessing of Jacob (poem)
Gen49_prose,28003,False,540.88,499.4,584.67,457.92,626.15,455.61,372.65,536.27,660.72,547.8,773.65,494.79,421.04,566.23,-46.09,4.35,4.89,-0.0,0.0,poem_embed,Genesis minus ch.49
Deut33_poem,454,True,451.0,409.52,494.79,365.73,536.27,667.64,584.67,748.3,50.0,70.74,206.71,538.58,464.83,612.32,87.58,4.35,4.89,0.0,0.0,poem_embed,Deut 33: Blessing of Moses (poem)
Deut33_prose,19358,False,411.82,368.04,453.31,326.55,494.79,414.13,333.47,497.09,492.48,381.86,605.41,427.96,354.21,499.4,16.13,4.35,4.89,0.0,0.0,poem_embed,Deuteronomy minus ch.33
Num21_songs,674,True,637.68,593.89,681.46,552.4,722.95,504.01,423.35,586.97,875.05,762.12,985.67,580.06,506.31,653.81,-57.62,4.35,4.89,-0.0,0.0,poem_embed,Num 21: chapter with embedded ancient songs
Num_prose,22138,False,372.65,328.86,414.13,287.37,455.61,520.14,437.17,600.8,386.47,275.85,499.4,490.18,416.43,563.93,117.54,4.35,4.89,0.0,0.0,poem_embed,Numbers minus ch.21
Job_poetry,9620,False,593.89,550.1,635.37,508.62,676.85,430.26,349.6,510.92,626.15,513.23,736.77,441.78,368.04,515.53,-152.1,4.35,4.89,0.0,0.0,archaic_vocab,Job 3–41: dialogues (archaic poetic vocabulary)
Job_frame,1116,False,492.48,451.0,536.27,409.52,577.76,474.05,391.08,554.71,639.98,527.05,750.6,515.53,441.78,589.28,23.05,4.35,4.89,0.0,0.0,archaic_vocab,Job 1–2 + 42: prose frame (LBH features)
