unit,n_words,noisy,char_map,char_p16,char_p84,word_map,word_p16,word_p84,cal_word_median,cal_word_p16,cal_word_p84,cal_word_p025,cal_word_p975,cal_shift
Genesis,28478,False,517.8,552.4,485.6,494.8,552.4,439.5,434.3,504.8,360.9,581.1,286.4,-60.5
Exodus,22964,False,481.0,513.2,446.4,418.7,474.0,361.1,330.7,398.1,261.4,462.6,192.2,-88.0
Leviticus,16759,False,374.9,409.5,342.7,377.3,434.9,321.9,271.6,343.6,204.5,412.4,132.3,-105.7
Numbers,22812,False,421.0,453.3,386.5,520.1,577.8,464.8,468.8,543.0,394.4,621.9,314.3,-51.4
Deuteronomy,19812,False,453.3,487.9,421.0,351.9,407.2,294.3,242.0,311.6,167.4,378.7,89.6,-109.9
D_Code,7225,False,388.8,423.3,356.5,308.1,363.4,250.5,183.6,260.7,104.0,324.2,10.0,-124.6
D_Frame,11810,False,481.0,513.2,446.4,370.3,425.7,312.7,266.9,335.9,195.2,406.3,119.6,-103.4
D_Song,777,True,644.6,679.2,612.3,464.8,520.1,407.2,392.5,463.2,322.1,532.9,255.6,-72.4
Lev_Holiness,5840,False,430.3,464.8,398.0,437.2,494.8,381.9,353.7,424.1,286.7,495.4,222.4,-83.5
Lev_Priestly,10281,False,347.3,379.6,312.7,342.7,398.0,285.1,231.2,300.8,153.4,367.3,75.7,-111.5
D_source,19812,False,453.3,487.9,421.0,351.9,407.2,294.3,243.3,312.1,166.7,374.9,86.1,-108.6
P_source,52735,False,411.8,446.4,379.6,446.4,501.7,388.8,366.3,436.7,297.1,506.7,235.3,-80.1
JE_source,40396,False,522.4,554.7,487.9,474.0,531.7,418.7,404.8,478.5,332.3,549.5,266.1,-69.2
Joshua,14307,False,421.0,455.6,388.8,566.2,623.8,510.9,531.5,616.6,443.1,698.0,364.8,-34.8
Judges,13444,False,487.9,520.1,453.3,490.2,547.8,434.9,428.2,501.5,354.0,575.6,287.3,-62.0
1_Samuel,18664,False,432.6,464.8,398.0,485.6,540.9,428.0,422.6,493.7,350.2,571.1,280.6,-62.9
2_Samuel,15447,False,506.3,540.9,474.0,506.3,561.6,448.7,449.9,525.5,374.6,596.8,298.8,-56.4
1_Kings,18405,False,441.8,476.4,409.5,483.3,540.9,428.0,419.3,491.8,346.8,561.1,276.2,-63.9
2_Kings,17103,False,510.9,545.5,478.7,497.1,552.4,439.5,437.1,509.8,364.2,582.5,290.7,-60.0
Jer_DTR,14955,False,524.7,559.3,492.5,469.4,524.7,411.8,398.1,473.5,328.4,539.3,263.5,-71.3
Jer_oracle,14300,False,603.1,637.7,570.8,575.5,630.8,517.8,545.4,634.1,454.0,719.0,372.9,-30.1
Song_Sea,421,True,439.5,474.0,407.2,522.4,580.1,467.1,471.9,551.2,391.5,627.0,315.3,-50.6
Song_Deborah,454,True,451.0,485.6,418.7,660.7,718.3,605.4,659.4,769.5,549.5,877.5,447.7,-1.4
