feature,rho,p_raw,rank,p_bh,bh_significant,loo_frac,loo_robust,passes,description
lex::QRB/,-0.7842477234067599,1.5631695213032514e-05,1,0.011645612933709222,True,1.0,True,True,Lexeme QRB/ (noun) rate per 1k words
lex::G>WN/,-0.7722521200587495,2.5439130280319378e-05,2,0.009476076029418969,True,1.0,True,True,Lexeme G>WN/ (noun) rate per 1k words
lex::XRD[,-0.7621888661588894,3.745179406701179e-05,3,0.009300528859974594,True,1.0,True,True,Lexeme XRD[ (verb) rate per 1k words
lex::GB<H/,-0.7430027617898323,7.454474949762656e-05,4,0.013883959593932946,True,1.0,True,True,Lexeme GB<H/ (noun) rate per 1k words
lex::>RY/,-0.7352362065234689,9.687980710326125e-05,5,0.014435091258385926,True,1.0,True,True,Lexeme >RY/ (noun) rate per 1k words
lex::L,0.7143263374678438,0.00018809720132237053,6,0.023355402497527673,True,1.0,True,True,Lexeme L (prep) rate per 1k words
lex::JLL[,-0.701240430857945,0.0002769666441653672,7,0.02947716427188551,True,1.0,True,True,Lexeme JLL[ (verb) rate per 1k words
lex::MLKWT/,0.6984538150818347,0.0002999783217202478,8,0.027935481210198076,True,1.0,True,True,Lexeme MLKWT/ (noun) rate per 1k words
lex::>C/,-0.6795139465894954,0.0005046541199324729,9,0.041774146594410255,True,1.0,True,True,Lexeme >C/ (noun) rate per 1k words
lex::BVX[,-0.6733298037037666,0.00059334057069567,10,0.04420387251682741,True,1.0,True,True,Lexeme BVX[ (verb) rate per 1k words
lex::<BRH=/,-0.6726331787404833,0.0006041201654639106,11,0.0409154112064194,True,1.0,True,True,Lexeme <BRH=/ (noun) rate per 1k words
lex::XRB/,-0.6723579451725531,0.0006084251347328836,12,0.03777306044799986,True,1.0,True,True,Lexeme XRB/ (noun) rate per 1k words
lex::HWJ,-0.671466790591799,0.0006225445835075943,13,0.03567659343947367,True,1.0,True,True,Lexeme HWJ (interjection) rate per 1k words
vt::impv,-0.6617690990307319,0.0007952680819520699,14,0.04231962293244944,True,1.0,True,True,Verb form impv rate per 1k words
lex::<BR[,-0.6571510377280042,0.0008909524577247366,15,0.04425063873366191,True,1.0,True,True,Lexeme <BR[ (verb) rate per 1k words
lex::MNH[,0.6567652801307662,0.0008993716765883644,16,0.04187699369114572,True,1.0,True,True,Lexeme MNH[ (verb) rate per 1k words
lex::LKN,-0.6515900073509994,0.0010190584206024873,17,0.04465873666757959,True,1.0,True,True,Lexeme LKN (adverb) rate per 1k words
lex::CNJ/,0.6473519491743687,0.001126933582914838,18,0.046642528848419684,True,1.0,True,True,Lexeme CNJ/ (adjective) rate per 1k words
lex::MYWH/,0.644811499260877,0.0011961432039752815,19,0.04690140457692551,True,1.0,True,True,Lexeme MYWH/ (noun) rate per 1k words
vt::infc,0.632382256033637,0.0015892405043084824,20,0.05919920878549097,True,1.0,True,True,Verb form infc rate per 1k words
lex::KRT[,-0.6301632650030078,0.001669833265350637,21,0.05923932298505832,True,1.0,True,True,Lexeme KRT[ (verb) rate per 1k words
lex::HR/,-0.6291372246073209,0.001708253207750455,22,0.05784766544427677,True,1.0,True,True,Lexeme HR/ (noun) rate per 1k words
lex::CNH[,0.6225943498430052,0.0019712918169202225,23,0.06385271320024198,True,1.0,True,True,Lexeme CNH[ (verb) rate per 1k words
lex::>P/,-0.6200697533248144,0.0020815538216539123,24,0.06461489988050687,True,1.0,True,True,Lexeme >P/ (noun) rate per 1k words
lex::>KL[,-0.6199493609194815,0.0020869394954858692,25,0.062190796965478905,True,1.0,True,True,Lexeme >KL[ (verb) rate per 1k words
lex::>WN=/,-0.6105737205390606,0.0025441418366745775,26,0.07289944878163693,True,1.0,True,True,Lexeme >WN=/ (noun) rate per 1k words
lex::ZNH[,-0.607403555842596,0.0027166602752925514,27,0.07495970018862781,True,1.0,True,True,Lexeme ZNH[ (verb) rate per 1k words
lex::XWY/,-0.606823807365117,0.002749250790850622,28,0.07314970854227547,True,1.0,True,True,Lexeme XWY/ (noun) rate per 1k words
lex::MYRJM/,-0.6052096884686231,0.0028417260899253997,29,0.07300296334463527,True,1.0,True,True,Lexeme MYRJM/ (proper-noun) rate per 1k words
lex::KTB/,0.603019435870844,0.0029713804652478043,30,0.0737892815536538,True,1.0,True,True,Lexeme KTB/ (noun) rate per 1k words
lex::JM/,-0.6017524986335144,0.0030486218263651573,31,0.07326526647232394,True,1.0,True,True,Lexeme JM/ (noun) rate per 1k words
lex::<BD/,0.5961990570464989,0.003407401485364247,32,0.07932856583113637,True,1.0,True,True,Lexeme <BD/ (noun) rate per 1k words
lex::<WD/,-0.5950835706911705,0.0034835771472679737,33,0.07864439317317092,True,1.0,True,True,Lexeme <WD/ (noun) rate per 1k words
vt::impf,-0.5939533074989745,0.003562212728834155,34,0.0780543671465131,True,1.0,True,True,Verb form impf rate per 1k words
lex::>RMWN/,-0.5856897451322234,0.004183573799740387,35,0.08905035659447395,True,1.0,True,True,Lexeme >RMWN/ (noun) rate per 1k words
vs::hif,-0.5769993596160351,0.0049322313562471755,36,0.10206978778900405,False,1.0,True,True,Verbal stem hif rate per 1k words
lex::>WR/,-0.5765295388216575,0.004975692610715206,37,0.10018624310764401,False,1.0,True,True,Lexeme >WR/ (noun) rate per 1k words
lex::CDD[,-0.5695383567448806,0.005661060743998156,38,0.11098658563891121,False,1.0,True,True,Lexeme CDD[ (verb) rate per 1k words
lex::MDJNH/,0.5692876985940981,0.0056870201003335315,39,0.10863666601919182,False,1.0,True,True,Lexeme MDJNH/ (noun) rate per 1k words
lex::M>S[,-0.5665540241710771,0.005976611814161974,40,0.11131439503876676,False,1.0,True,True,Lexeme M>S[ (verb) rate per 1k words
