feature,rho,p_raw,p_lt_0.10,loo_robust,ling_filter,in_model,description
lex::QRB/,-0.7842477234067599,1.5631695213032514e-05,True,True,False,False,Lexeme QRB/ (noun) rate per 1k words
lex::G>WN/,-0.7722521200587495,2.5439130280319374e-05,True,True,False,False,Lexeme G>WN/ (noun) rate per 1k words
lex::XRD[,-0.7621888661588894,3.745179406701179e-05,True,True,False,False,Lexeme XRD[ (verb) rate per 1k words
lex::GB<H/,-0.7430027617898323,7.454474949762656e-05,True,True,False,False,Lexeme GB<H/ (noun) rate per 1k words
lex::>RY/,-0.7352362065234689,9.687980710326124e-05,True,True,False,False,Lexeme >RY/ (noun) rate per 1k words
lex::L,0.7143263374678438,0.0001880972013223,True,True,True,True,Lexeme L (prep) rate per 1k words
lex::JLL[,-0.701240430857945,0.0002769666441653,True,True,False,False,Lexeme JLL[ (verb) rate per 1k words
lex::MLKWT/,0.6984538150818347,0.0002999783217202,True,True,False,False,Lexeme MLKWT/ (noun) rate per 1k words
lex::>C/,-0.6795139465894954,0.0005046541199324,True,True,False,False,Lexeme >C/ (noun) rate per 1k words
lex::BVX[,-0.6733298037037666,0.0005933405706956,True,True,False,False,Lexeme BVX[ (verb) rate per 1k words
lex::<BRH=/,-0.6726331787404833,0.0006041201654639,True,True,False,False,Lexeme <BRH=/ (noun) rate per 1k words
lex::XRB/,-0.6723579451725531,0.0006084251347328,True,True,False,False,Lexeme XRB/ (noun) rate per 1k words
lex::HWJ,-0.671466790591799,0.0006225445835075,True,True,True,True,Lexeme HWJ (interjection) rate per 1k words
vt::impv,-0.6617690990307319,0.000795268081952,True,True,True,True,Verb form impv rate per 1k words
lex::<BR[,-0.6571510377280042,0.0008909524577247,True,True,False,False,Lexeme <BR[ (verb) rate per 1k words
lex::MNH[,0.6567652801307662,0.0008993716765883,True,True,False,False,Lexeme MNH[ (verb) rate per 1k words
lex::LKN,-0.6515900073509994,0.0010190584206024,True,True,True,True,Lexeme LKN (adverb) rate per 1k words
lex::CNJ/,0.6473519491743687,0.0011269335829148,True,True,False,False,Lexeme CNJ/ (adjective) rate per 1k words
lex::MYWH/,0.644811499260877,0.0011961432039752,True,True,False,False,Lexeme MYWH/ (noun) rate per 1k words
vt::infc,0.632382256033637,0.0015892405043084,True,True,True,True,Verb form infc rate per 1k words
lex::KRT[,-0.6301632650030078,0.0016698332653506,True,True,False,False,Lexeme KRT[ (verb) rate per 1k words
lex::HR/,-0.6291372246073209,0.0017082532077504,True,True,False,False,Lexeme HR/ (noun) rate per 1k words
lex::CNH[,0.6225943498430052,0.0019712918169202,True,True,False,False,Lexeme CNH[ (verb) rate per 1k words
lex::>P/,-0.6200697533248144,0.0020815538216539,True,True,False,False,Lexeme >P/ (noun) rate per 1k words
lex::>KL[,-0.6199493609194815,0.0020869394954858,True,True,False,False,Lexeme >KL[ (verb) rate per 1k words
lex::>WN=/,-0.6105737205390606,0.0025441418366745,True,True,False,False,Lexeme >WN=/ (noun) rate per 1k words
