unit,date_bce,date_sigma,period,n_words,pronoun_anochi,pronoun_ani,rel_asher,rel_she,verb_wayyiqtol,verb_qatal,verb_yiqtol,verb_participle,verb_inf_abs,verb_inf_con,neg_lo,neg_ein,yesh,total_verbs,rate_verb_wayyiqtol,rate_verb_qatal,rate_verb_yiqtol,rate_verb_participle,rate_verb_inf_abs,rate_neg_lo,rate_neg_ein,rate_yesh,frac_ani,frac_she,frac_non_wayyiqtol,frac_ein
Amos,760,15,pre-exilic,2780,10,1,18,0,29,190,134,83,5,42,71,5,0,526,10.431654676258994,68.3453237410072,48.201438848920866,29.85611510791367,1.7985611510791368,25.53956834532374,1.7985611510791368,0.0,0.09090909090909091,0.0,0.7737642585551331,0.06578947368421052
Hosea,725,20,pre-exilic,3146,11,12,12,0,44,233,261,75,11,31,64,15,0,689,13.986013986013987,74.06230133502861,82.96249205340115,23.839796567069293,3.4965034965034967,20.3432930705658,4.767959313413859,0.0,0.5217391304347826,0.0,0.8258345428156749,0.189873417721519
Micah,720,20,pre-exilic,1895,1,2,16,0,7,114,146,74,6,15,30,6,1,388,3.6939313984168862,60.15831134564644,77.04485488126649,39.05013192612137,3.1662269129287597,15.8311345646438,3.1662269129287597,0.5277044854881267,0.6666666666666666,0.0,0.8608247422680413,0.16666666666666666
Isaiah_1,700,15,pre-exilic,13504,5,8,113,0,162,913,733,482,56,195,199,29,0,2720,11.996445497630333,67.60959715639811,54.28021327014218,35.693127962085306,4.146919431279621,14.736374407582938,2.147511848341232,0.0,0.6153846153846154,0.0,0.7823529411764706,0.12719298245614036
Zephaniah,630,15,pre-exilic,1037,0,2,6,0,2,64,54,43,3,11,25,3,0,189,1.9286403085824495,61.716489874638384,52.07328833172613,41.465766634522666,2.8929604628736745,24.108003857280618,2.8929604628736745,0.0,1.0,0.0,0.8518518518518519,0.10714285714285714
Nahum,620,20,pre-exilic,746,0,0,2,0,4,57,36,50,6,2,9,7,0,168,5.361930294906166,76.40750670241286,48.257372654155496,67.02412868632707,8.04289544235925,12.064343163538874,9.383378016085791,0.0,,0.0,0.8511904761904762,0.4375
Habakkuk,605,20,pre-exilic,897,0,1,3,0,15,44,81,30,3,18,21,3,0,204,16.72240802675585,49.05239687848383,90.3010033444816,33.4448160535117,3.3444816053511706,23.41137123745819,3.3444816053511706,0.0,1.0,0.0,0.7598039215686274,0.125
Jeremiah,590,15,pre-exilic,29736,37,54,460,0,484,1977,1117,791,139,494,514,89,10,5401,16.27656712402475,66.48506860371268,37.563895614743075,26.60075329566855,4.674468657519506,17.285445251546946,2.9930051116491794,0.3362927091740651,0.5934065934065934,0.0,0.7193112386595075,0.14759535655058043
Lamentations,586,20,exilic,1945,0,4,9,4,29,261,81,61,6,20,39,11,2,487,14.910025706940875,134.19023136246784,41.6452442159383,31.362467866323907,3.084832904884319,20.051413881748072,5.655526992287918,1.0282776349614395,1.0,0.3076923076923077,0.8275154004106776,0.22
Ezekiel,570,15,exilic,26182,1,169,341,0,513,1710,869,531,36,441,344,24,0,4330,19.593613933236576,65.31204644412192,33.190741730960205,20.281109158964174,1.3749904514551983,13.13879764723856,0.9166603009701322,0.0,0.9941176470588236,0.0,0.7182448036951501,0.06521739130434782
