id,group,holdout,scholarly_date,hb_map,hb_ci68_lo,hb_ci68_hi,hb_ci68_width,hb_post_std,hb_in68,mle_map,mle_ci68_lo,mle_ci68_hi,mle_ci68_width,mle_in68,hb_error,mle_error,delta_map
herodotus_histories,classical,False,-440.0,-446.5565204113333,-466.1612322700674,-426.951808552599,39.20942371746838,19.687631627643523,True,-440.5102551275638,-452.9164582291146,-427.9489744872436,24.96748374187098,True,-6.556520411333281,-0.5102551275638234,-6.046265283769458
thucydides_history,classical,False,-410.0,-409.185045319336,-423.912074230743,-394.4580164079292,29.454057822813752,14.871525457655956,True,-402.9414707353677,-413.86693346673337,-392.016008004002,21.850925462731368,True,0.814954680664016,7.058529264632284,-6.243574583968268
lysias_orations,classical,False,-390.0,-393.47621448050194,-413.1122530290445,-373.8401759319594,39.272077097085116,19.656351036672625,True,-393.57678839419714,-406.0630315157578,-381.2206103051526,24.84242121060521,True,-3.4762144805019375,-3.5767883941971377,0.10057391369520019
xenophon_anabasis,classical,False,-370.0,-371.9356883232771,-386.6883855820894,-357.1829910644647,29.505394517624666,14.855165043503716,True,-369.6498249124562,-380.5802901450725,-358.71935967983995,21.86093046523257,True,-1.935688323277077,0.35017508754378923,-2.285863410820866
xenophon_hellenica,classical,False,-355.0,-359.0865649043115,-373.8392621631238,-344.33386764549914,29.505394517624666,14.859163087356276,True,-370.8704352176088,-381.7783891945973,-360.0850425212606,21.69334667333669,False,-4.086564904311501,-15.870435217608815,11.783870313297314
plato_republic,classical,False,-375.0,-367.26725563058926,-386.6031441040943,-347.4479699452466,39.15517415884773,19.69826338782578,True,-366.2206103051526,-378.7068534267133,-353.7343671835918,24.972486243121466,True,7.732744369410739,8.779389694847396,-1.046645325436657
plato_laws,classical,False,-350.0,-351.47226954492453,-366.2249668037368,-336.7195722861121,29.505394517624666,14.866163098551354,True,-353.8069034517258,-364.6873436718359,-342.9264632316158,21.76088044022009,True,-1.4722695449245293,-3.806903451725816,2.3346339068012867
isocrates_panegyricus,classical,False,-375.0,-369.68424168977737,-389.0201301632824,-349.8649560044348,39.15517415884756,19.745353119777832,True,-382.60880440220114,-395.0950475237619,-370.2526263131566,24.842421210605266,True,5.315758310222634,-7.6088044022011445,12.924562712423779
demosthenes_philippics,classical,False,-350.0,-348.61690878515435,-363.3696060439667,-333.86421152634205,29.505394517624666,14.867417147987451,True,-347.5537768884442,-358.43421710855426,-336.6733366683342,21.76088044022009,True,1.3830912148456491,2.4462231115558097,-1.0631318967101606
aeschines_orations,classical,False,-345.0,-343.8579741855375,-358.61067144434975,-329.1052769267252,29.505394517624552,14.85349356645415,True,-353.6343171585793,-364.4772386193097,-342.663831915958,21.81340670335169,True,1.1420258144624995,-8.634317158579279,9.776342973041778
andocides_orations,classical,False,-400.0,-400.4377286979155,-420.2738672964831,-381.0974935643122,39.17637373217093,19.65869930364678,True,-390.6103051525763,-403.0365182591296,-378.184092046023,24.852426213106583,True,-0.43772869791547464,9.389694847423698,-9.827423545339173
aristotle_nicomachean,classical,False,-335.0,-332.91242460641865,-342.9061872656141,-323.3945554071849,19.51163185842921,9.962195132641158,True,-336.6758379189595,-345.1325662831416,-328.2191095547774,16.913456728364224,True,2.0875753935813464,-1.6758379189594734,3.76341331254082
aristotle_politics,classical,False,-335.0,-332.91242460641865,-342.9061872656141,-322.91866194722326,19.98752531839085,9.96382645937925,True,-333.2441220610305,-341.7008504252126,-324.7873936968484,16.913456728364167,True,2.0875753935813464,1.7558779389694905,0.33169745461185585
aeneas_tacticus,classical,False,-350.0,-357.1829910644647,-376.6946229228939,-337.6713592060356,39.02326371685831,19.642578976058697,True,-355.8779389694847,-368.304152076038,-343.4517258629315,24.852426213106526,True,-7.182991064464716,-5.877938969484717,-1.3050520949799989
hyperides_orations,classical,False,-340.0,-340.050826505844,-354.8035237646563,-324.82223578707,29.981287977586305,14.865786043861153,True,-337.823911955978,-348.7493746873437,-326.8984492246124,21.850925462731254,True,-0.05082650584398607,2.1760880440219807,-2.226914549865967
theophrastus_characters,classical,False,-315.0,-316.7320469677213,-331.4847442265336,-301.97934970890896,29.505394517624666,14.892002051529593,True,-311.3581790895448,-322.336168084042,-300.5227613806903,21.81340670335169,True,-1.7320469677213168,3.6418209104551806,-5.3738678781764975
