id,author,register,date_ce,A_dispersion,A_iqr,B_overshoot,B_max_over,C_resist_date,C_fake_date,C_divergence
herodotus_histories,Herodotus,ancient_attic,-440,6788.860380256244,2027.8267204357317,0.6570691501811454,1.979035441382351,-1253.1223725806217,-552.7054879356162,700.4168846450054
thucydides_history,Thucydides,ancient_attic,-410,6627.6068341476785,1041.6436852313009,0.32441556531267784,2.3323302774777304,-479.46347982079624,-463.3967064407599,16.066773380036352
lysias_orations,Lysias,ancient_attic,-390,18655.829840572995,1117.5762010650926,0.265957596135768,1.6772824576646574,-279.67647533888055,-11.752667796589918,267.92380754229066
xenophon_anabasis,Xenophon,ancient_attic,-370,4733.763201983037,724.3573687407882,0.6391427250193313,3.177465531570873,-695.1745415893425,-412.32943494889975,282.8451066404428
xenophon_hellenica,Xenophon,ancient_attic,-355,5722.468242873941,857.8432681226661,0.7935910764769026,3.3170379439488813,-818.8140345117372,-545.6204871784848,273.19354733325235
plato_republic,Plato,ancient_attic,-375,3390.1841158413113,654.3895783252958,0.40544590925164353,1.7345614734673191,-234.24366088981577,-410.59997811377946,-176.35631722396369
plato_laws,Plato,ancient_attic,-350,5462.79563581602,933.5128981587134,0.6614025482271902,2.3921212839581134,-363.27666933874065,-716.370486035684,-353.0938166969434
isocrates_panegyricus,Isocrates,ancient_attic,-375,11520.402248895969,1264.3782391769234,0.5647564809762311,3.045035146090342,-403.196590276238,-463.3967064407599,-60.20011616452189
demosthenes_philippics,Demosthenes,ancient_attic,-350,9596.93011020575,1268.744715845511,0.5429364737026744,4.890696683310846,-36.01513524285593,-552.5782502008605,-516.5631149580045
aeschines_orations,Aeschines,ancient_attic,-345,5571.741408821701,851.4822502776613,0.6539662142096121,2.3157195176929988,-271.880029009772,-994.8023082175208,-722.9222792077488
andocides_orations,Andocides,ancient_attic,-400,32499.604911821734,432.503601441572,0.41237717949517194,2.093371635870326,-584.5502544813506,-344.30569834054063,240.24455614081
aristotle_nicomachean,Aristotle,ancient_attic,-335,5397.988175801844,1030.4417891877065,0.7577682225886291,3.495381737653805,-1329.8546603364612,-299.93689293599107,1029.91776740047
aristotle_politics,Aristotle,ancient_attic,-335,2524.399180737715,903.6960477288795,0.6560351063239825,1.588992271568075,-670.5420081742672,-463.3967064407599,207.14530173350727
aeneas_tacticus,Aeneas Tacticus,ancient_attic,-350,5911.632440721917,848.3940721972396,0.5580026598319886,2.996037677389216,-837.1531244886074,-463.3967064407599,373.75641804784755
hyperides_orations,Hyperides,ancient_attic,-340,2592.368374311567,2017.737131682758,0.5396026113723925,3.0270642836937722,-586.6655916243042,-536.5555015121149,50.110090112189255
lxx_genesis,Septuagint (anon. translators),lxx,-270,9196.521918076243,2052.4849188792477,-1.1926797761114638,1.0759634068457302,957.9810039617942,1064.9225887713574,106.94158480956321
lxx_exodus,Septuagint (anon. translators),lxx,-260,9166.920567862297,1621.9978882740477,-0.9793626443571417,1.1441056813463977,342.2089830032532,756.5198595036827,414.3108765004295
theophrastus_characters,Theophrastus,ancient_attic,-315,5527.479399252649,916.108677489264,0.5698050020200297,3.780003016499848,-435.6716575172595,-431.70612021238276,3.9655373048767615
theophrastus_historia_plantarum,Theophrastus,ancient_attic,-310,8004.886717972156,1235.7120048755426,0.3984122299142216,1.580889955247611,-479.1424494334504,-463.3967064407599,15.74574299269051
lxx_1kingdoms,Septuagint (anon. translators),lxx,-240,10714.759095689096,4230.60292020505,-1.674353347253449,1.4466348853233586,328.23046517110146,927.5361141739324,599.3056490028309
apollodorus_library,Apollodorus (pseudo-),koine,-150,8089.037147382142,1473.6229721478164,0.19421666600749804,3.9222294837412464,139.63476876911636,-353.4501794908374,-493.08494825995376
lxx_judith,Septuagint / Jewish author,lxx,-125,9010.252725423003,1786.5952140659967,-1.1786614630674577,1.5054682887366637,1474.304375614291,336.84250793980823,-1137.4618676744828
lxx_2maccabees,"Jason of Cyrene (epitomized, anon.)",lxx,-110,8079.6659192175475,1248.62398409646,-0.07760263122179219,1.5970520285783218,416.5503751828651,-383.6023524820244,-800.1527276648894
lxx_1maccabees,Anon. Jewish historian,lxx,-100,9517.965820363586,896.7635693270233,-1.3606252856090968,1.016678305915558,1330.570489335217,623.2532468117731,-707.3172425234438
diodorus_siculus,Diodorus Siculus,koine,-50,7381.4447887235565,969.7282597394405,0.6753554720739964,1.7421743279427182,-719.6383512563809,-827.1776506237634,-107.53929936738245
dionysius_roman_antiquities,Dionysius of Halicarnassus,atticizing,-20,6190.297784560229,465.83108832886967,0.6200816424709978,2.352596995523664,-675.1037352204019,-602.090015561402,73.01371965899989
dionysius_thucydides,Dionysius of Halicarnassus,atticizing,-20,7980.387005842033,728.7093963116945,0.33019569836610835,1.4009328989868828,-604.4654955308565,-463.3967064407599,141.06878909009663
strabo_geography,Strabo,atticizing,-20,1663.3260983305663,919.6388136153672,0.41256933213871827,1.319282659262226,186.87942023183734,-463.3967064407599,-650.2761266725972
philo_de_opificio,Philo of Alexandria,koine,40,7990.481776238824,540.8723561353894,0.33603244231520807,1.140367426534507,183.95643000375907,-285.9752889808663,-469.9317189846254
philo_de_vita_mosis,Philo of Alexandria,koine,40,4047.5412114572973,585.6101881581756,0.20959401406375716,0.8660934845940165,-18.145719826168687,-29.335473588372324,-11.189753762203637
josephus_jewish_war,Josephus,koine,80,5683.790784164353,553.2440505105012,0.43824723920060954,1.5853233198474828,413.25486236765374,-693.9470313031113,-1107.201893670765
josephus_antiquities,Josephus,koine,93,4538.167590686488,1296.6019808823726,0.1061735377993884,1.652173369979207,41.11895193197116,-669.9139335515856,-711.0328854835568
vita_aesopi,Anonymous,koine,50,24828.99622843271,869.8913636510961,-0.31791059227273893,1.112054937951917,383.50884718716225,476.3485757143311,92.83972852716886
john_gospel,John (anonymous),koine,100,9249.295026078486,2407.2075787009117,-0.9745631873923847,1.1713309196815818,-780.7232791193753,2735.987739977364,3516.7110190967396
chariton_callirhoe,Chariton of Aphrodisias,koine,100,2515.4258035318085,1555.2759477768311,0.44503083691034667,1.7933563862721738,512.189360286553,-463.3967064407599,-975.5860667273129
ignatius_letters,Ignatius of Antioch,koine,108,8448.397245636013,2141.1205985392708,-0.16777727087014874,1.6529780561762175,-991.2389145925154,270.71969763459253,1261.958612227108
testament_abraham,Anonymous (Jewish pseudepigraphon),lxx,100,6118.882117682153,2080.4158856321155,-0.9054041345176983,0.6328858747508034,1357.575098254279,98.17284785654708,-1259.402250397732
plutarch_lives,Plutarch,atticizing,100,3192.3627242635944,2555.545011155671,0.656583448743115,2.9777206432892527,-1894.1804655717438,-882.4706904627097,1011.709775109034
plutarch_moralia,Plutarch,atticizing,100,941.906823604769,1120.3079202343279,0.22971266704916074,1.2762273351884714,942.1458842370607,-463.3967064407599,-1405.5425906778205
dio_chrysostom_orations,Dio Chrysostom,atticizing,100,2954.2070571784684,909.792797308616,0.3940210774994422,1.4097242841354432,611.7781532869877,-741.5194865861706,-1353.2976398731585
epictetus_discourses,Arrian / Epictetus,koine,108,2982.038853587904,1210.2768858647262,0.11455568289101933,2.5492696428452044,-886.3204240985579,242.7873335138968,1129.1077576124546
achilles_tatius,Achilles Tatius,koine,150,4907.165660985356,594.8473315581048,0.30555857394651875,1.5125722288993602,-546.2931214343603,-103.62246158232966,442.6706598520306
arrian_anabasis,Arrian,atticizing,145,8310.689589011898,950.2935572331689,0.20861420130176964,2.004245545162552,-107.99011502610804,-463.3967064407599,-355.40659141465187
appian_roman_history,Appian,koine,155,7970.25401451242,1239.0179525317135,0.038050031223366886,1.9897680474996808,729.8342342202895,-460.9882303373936,-1190.8224645576831
pausanias_description,Pausanias,atticizing,160,7643.0742937901905,1078.8934562974891,0.5123680541763818,3.560305722783937,-532.315775907265,-507.8621499765302,24.453625930734802
lucian_true_history,Lucian,atticizing,165,15358.990161005366,1315.2451673889514,0.22057391827035783,2.6436650332739977,712.0330465502909,-463.3967064407599,-1175.429752991051
