id,author,work,holdout,scholarly_date_ce,scholarly_sigma,map_date_ce,ci68_lo,ci68_hi,ci95_lo,ci95_hi
herodotus_histories,Herodotus,Histories,False,-440,20,-440,-460,-420,-475,-400
thucydides_history,Thucydides,History of the Peloponnesian War,False,-410,15,-410,-425,-395,-440,-380
lysias_orations,Lysias,Orations,False,-390,20,-390,-410,-370,-430,-350
xenophon_anabasis,Xenophon,Anabasis,False,-370,15,-370,-385,-355,-400,-340
xenophon_hellenica,Xenophon,Hellenica,False,-355,15,-355,-370,-340,-385,-325
plato_republic,Plato,Republic,False,-375,20,-375,-395,-355,-415,-335
plato_laws,Plato,Laws,False,-350,15,-350,-365,-335,-380,-320
isocrates_panegyricus,Isocrates,Panegyricus and selected orations,False,-375,20,-375,-395,-355,-415,-335
demosthenes_philippics,Demosthenes,Philippics and selected orations,False,-350,15,-350,-365,-335,-380,-320
aeschines_orations,Aeschines,Orations,False,-345,15,-345,-360,-330,-375,-315
andocides_orations,Andocides,Orations,False,-400,20,-400,-420,-380,-440,-360
aristotle_nicomachean,Aristotle,Nicomachean Ethics,False,-335,10,-335,-345,-325,-355,-315
aristotle_politics,Aristotle,Politics,False,-335,10,-335,-345,-325,-355,-315
aeneas_tacticus,Aeneas Tacticus,How to Survive Under Siege (Poliorketika),False,-350,20,-350,-370,-330,-390,-310
hyperides_orations,Hyperides,Orations,False,-340,15,-340,-355,-325,-370,-310
lxx_genesis,Septuagint (anon. translators),Genesis (LXX),False,-270,20,-270,-290,-250,-310,-230
lxx_exodus,Septuagint (anon. translators),Exodus (LXX),False,-260,20,-260,-280,-240,-300,-220
theophrastus_characters,Theophrastus,Characters,False,-315,15,-315,-330,-300,-345,-285
theophrastus_historia_plantarum,Theophrastus,Historia Plantarum,False,-310,15,-310,-325,-295,-340,-280
lxx_1kingdoms,Septuagint (anon. translators),1 Kingdoms / 1 Samuel (LXX),False,-240,30,-240,-270,-210,-300,-180
apollodorus_library,Apollodorus (pseudo-),Bibliotheca (Library of Greek Mythology),False,-150,75,-135,-205,-60,-280,10
lxx_judith,Septuagint / Jewish author,Judith (LXX),False,-125,40,-120,-160,-80,-200,-45
lxx_2maccabees,"Jason of Cyrene (epitomized, anon.)",2 Maccabees (LXX),False,-110,25,-110,-135,-85,-155,-60
lxx_1maccabees,Anon. Jewish historian,1 Maccabees (LXX),False,-100,25,-100,-125,-75,-150,-50
diodorus_siculus,Diodorus Siculus,"Bibliotheca Historica (Books 1–5, 11–20)",False,-50,20,-50,-70,-30,-90,-10
dionysius_roman_antiquities,Dionysius of Halicarnassus,Roman Antiquities,False,-20,15,-20,-35,-5,-50,10
dionysius_thucydides,Dionysius of Halicarnassus,On Thucydides,False,-20,15,-20,-35,-5,-50,10
strabo_geography,Strabo,Geography,False,-20,15,-20,-35,-5,-50,10
philo_de_opificio,Philo of Alexandria,De Opificio Mundi,False,40,15,40,25,55,10,70
philo_de_vita_mosis,Philo of Alexandria,De Vita Mosis,False,40,15,40,25,55,10,70
josephus_jewish_war,Josephus,Jewish War,False,80,10,80,70,90,60,100
