feature,family,rho,p_value,abs_rho,direction,pass_p,loo_frac,robust
ean_rate,gram,-0.4139,0.00124,0.4139,decreases,True,1.0,True
hoti_rate,gram,-0.3522,0.006693,0.3522,decreases,True,1.0,True
goun_toinun_rate,gram,0.2254,0.08894,0.2254,increases,True,1.0,True
an_rate,gram,-0.2126,0.109148,0.2126,decreases,True,1.0,True
opt_rate,gram,-0.1808,0.174469,0.1808,decreases,True,0.7241,True
idou_rate,gram,0.1682,0.206956,0.1682,increases,False,,False
men_rate,gram,-0.1496,0.262295,0.1496,decreases,False,,False
gar_rate,gram,0.1307,0.327946,0.1307,increases,False,,False
oun_rate,gram,0.1244,0.352023,0.1244,increases,False,,False
kai_rate,gram,0.1222,0.360863,0.1222,increases,False,,False
autos_pron_rate,gram,0.1212,0.364654,0.1212,increases,False,,False
men_de_ratio,gram,-0.119,0.373538,0.119,decreases,False,,False
prep_en_eis_frac,gram,0.1076,0.421578,0.1076,increases,False,,False
eipen_rate,gram,-0.0955,0.475928,0.0955,decreases,False,,False
tt_ss_ratio,gram,-0.0904,0.4999,0.0904,decreases,False,,False
kai_sent_initial,gram,-0.0866,0.518034,0.0866,decreases,False,,False
ou_rate,gram,0.0828,0.536413,0.0828,increases,False,,False
eis_rate,gram,-0.0773,0.563944,0.0773,decreases,False,,False
inf_rate,gram,-0.077,0.565657,0.077,decreases,False,,False
avg_sent_len,gram,-0.0708,0.597222,0.0708,decreases,False,,False
me_rate,gram,0.0656,0.624485,0.0656,increases,False,,False
de_rate,gram,-0.059,0.659902,0.059,decreases,False,,False
en_rate,gram,-0.0302,0.821945,0.0302,decreases,False,,False
hina_rate,gram,-0.0262,0.845056,0.0262,decreases,False,,False
ou_me_frac,gram,0.0171,0.898704,0.0171,increases,False,,False
part_rate,gram,-0.0143,0.915064,0.0143,decreases,False,,False
type_token_ratio,gram,0.0023,0.986459,0.0023,increases,False,,False
