id,group,holdout,scholarly_bce,hb_map_bce,hb_ci_old_bce,hb_ci_yng_bce,hb_ci_width,hb_post_std,hb_in68,mle_map_bce,mle_ci_old_bce,mle_ci_yng_bce,mle_ci_width,mle_in68,hb_error_bce,mle_error_bce,delta_map
Amos,SBH,False,760.0,757.8116714557015,771.6632266725502,744.2486903058705,27.414536366679727,13.833460541688424,True,759.9949974987494,761.6458229114558,758.344172086043,3.3016508254127075,True,-2.1883285442985425,-0.005002501250601199,-2.1833260430479413
Hosea,SBH,False,725.0,732.6288101457745,750.3362399997044,714.9213802918447,35.414859707859705,17.796221841362282,True,725.1175587793897,726.8284142071036,723.4067033516758,3.4217108554278184,True,7.628810145774537,0.11755877938969661,7.51125136638484
Micah,SBH,False,720.0,724.7593585001733,742.030640500192,707.4880765001546,34.54256400003737,17.292387836757552,True,719.8749374687344,721.5557778889445,718.1940970485243,3.3616808404201493,True,4.7593585001733345,-0.1250625312655984,4.884421031438933
Isaiah_1,SBH,False,700.0,693.025061571725,706.7286917259632,679.5799904770006,27.148701248962652,13.607181751622624,True,699.9049524762381,701.7058529264632,698.224112056028,3.4817408704351465,True,-6.974938428274982,-0.09504752376187753,-6.879890904513104
Zephaniah,SBH,False,630.0,617.5258161936574,631.2294463478956,604.080745098933,27.148701248962652,13.645489043020742,True,629.9649824912456,631.7058529264632,628.3691845922962,3.3366683341670296,True,-12.47418380634258,-0.03501750875443577,-12.439166297588145
Nahum,SBH,False,620.0,589.6014377661529,607.700571932128,570.98518548115,36.71538645097803,18.39052251923651,False,620.1450725362681,621.7458729364682,618.3841920960481,3.3616808404201493,True,-30.398562233847088,0.1450725362681169,-30.543634770115204
Habakkuk,SBH,True,605.0,639.7618953118554,656.051116061233,623.2141155029639,32.8370005582691,16.488663573179167,False,579.8974487243622,590.7903951975989,569.1670835417709,21.623311655827933,False,34.76189531185537,-25.10255127563778,59.86444658749315
Lamentations,Transitional,False,586.0,580.2933116236514,597.6167686110848,565.0383271123296,32.57844149875518,16.531000404294137,True,587.1095547773887,597.9779889944973,576.3941970985493,21.583791895948025,True,-5.706688376348552,1.1095547773886665,-6.816243153737219
Ezekiel,Transitional,False,570.0,569.6923901835803,582.8789022187908,554.9545237912863,27.924378427504507,14.110847943557266,True,574.2421210605303,583.9669834917459,564.5172586293147,19.44972486243114,True,-0.3076098164196992,4.24212106053028,-4.54973087694998
Isaiah_2,Transitional,False,550.0,548.749106362952,565.0383271123296,532.2013265540604,32.83700055826921,16.465747663572593,True,544.5272636318159,555.3326663331666,533.7218609304653,21.610805402701317,True,-1.250893637047966,-5.472736368184087,4.221842731136121
