id,group,holdout,scholarly_date_bce,scholarly_date_ce,hb_map_ce,hb_map_bce,hb_ci68_lo_ce,hb_ci68_hi_ce,hb_post_std,hb_z_score,hb_scholar_in68
Amos,SBH,False,760.0,-760.0,-757.8116714557015,757.8116714557015,-771.6632266725502,-744.2486903058705,13.833460541688424,0.14588856961990285,True
Hosea,SBH,False,725.0,-725.0,-732.6288101457745,732.6288101457745,-750.3362399997044,-714.9213802918447,17.796221841362282,-0.38144050728872686,True
Micah,SBH,False,720.0,-720.0,-724.7593585001733,724.7593585001733,-742.030640500192,-707.4880765001546,17.292387836757552,-0.23796792500866673,True
Isaiah_1,SBH,False,700.0,-700.0,-693.025061571725,693.025061571725,-706.7286917259632,-679.5799904770006,13.607181751622623,0.4649958952183321,True
Zephaniah,SBH,False,630.0,-630.0,-617.5258161936574,617.5258161936574,-631.2294463478956,-604.080745098933,13.645489043020742,0.831612253756172,True
Nahum,SBH,False,620.0,-620.0,-589.6014377661529,589.6014377661529,-607.700571932128,-570.98518548115,18.39052251923651,1.5199281116923544,False
Habakkuk,SBH,True,605.0,-605.0,-639.7618953118554,639.7618953118554,-656.051116061233,-623.2141155029639,16.488663573179167,-1.7380947655927685,False
Jer_oracle,SBH,False,605.0,-605.0,-636.6591865976882,636.6591865976882,-658.8952657158862,-614.6816665390041,22.20868800648378,-1.0553062199229393,False
Lamentations,Transitional,False,586.0,-586.0,-580.2933116236514,580.2933116236514,-597.6167686110848,-565.0383271123296,16.531000404294137,0.2853344188174276,True
Ezekiel,Transitional,False,570.0,-570.0,-569.6923901835803,569.6923901835803,-582.8789022187908,-554.9545237912863,14.110847943557266,0.020507321094646612,True
Isaiah_2,Transitional,False,550.0,-550.0,-548.749106362952,548.749106362952,-565.0383271123296,-532.2013265540604,16.465747663572593,0.0625446818523983,True
Haggai,Transitional,True,520.0,-520.0,-522.1175232330172,522.1175232330172,-527.0301453637819,-517.2049011022525,4.929666925808903,-0.4235046466034419,True
Zechariah_1,Transitional,False,518.0,-518.0,-518.7562554593361,518.7562554593361,-523.6688775901008,-513.8436333285714,4.917853683904976,-0.15125109186722058,True
Isaiah_3,Transitional,False,500.0,-500.0,-522.4044060922469,522.4044060922469,-544.1433347758132,-489.57418726400397,27.680379014228734,-0.2240440609224686,True
Malachi,Transitional,False,460.0,-460.0,-450.2381046881446,450.2381046881446,-466.2687663780083,-433.948883938767,16.330743159212897,0.4880947655927713,True
Jonah,LBH,False,400.0,-400.0,-473.3663726966728,473.3663726966728,-497.9593324553493,-449.4205960895404,24.60521602733319,-1.4673274539334558,False
Chronicles,LBH,False,350.0,-350.0,-368.3262384357149,368.3262384357149,-388.3842031170268,-346.72535339430203,20.94468149319552,-0.6108746145238304,True
Esther,LBH,False,350.0,-350.0,-311.8980243286612,311.8980243286612,-339.7863508906761,-285.4041140947471,27.132488139196738,0.7620395134267756,False
Ezra,LBH,False,350.0,-350.0,-352.9789031636473,352.9789031636473,-380.08568159178515,-324.6762374519152,27.776826581791696,-0.03971870884863089,True
Nehemiah,LBH,False,350.0,-350.0,-364.53914690505906,364.53914690505906,-391.2472962386654,-338.2296266659841,26.584226660546623,-0.19385529206745408,True
Ecclesiastes,LBH,False,330.0,-330.0,-313.62203352946324,313.62203352946324,-343.345409596373,-285.5732138606893,28.656930038772302,0.20472458088170953,True
Daniel,LBH,True,167.0,-167.0,-180.4397656043638,180.4397656043638,-189.8026213118061,-170.71680006201996,9.595770435941887,-1.34397656043638,False
D_source,LBH,False,625.0,-625.0,-394.0793391878317,394.0793391878317,-426.46590641028763,-362.58007517695,32.77750826944549,2.309206608121683,False
P_source,LBH,False,600.0,-600.0,-403.6841644392229,403.6841644392229,-452.92949268158736,-363.7555199183869,45.93183236751795,1.963158355607771,False
JE_source,LBH,False,800.0,-800.0,-531.3260022779207,531.3260022779207,-587.4783796445307,-467.8866751767125,55.7525559468947,3.5823199696277244,False
Jer_DTR,Transitional,False,570.0,-570.0,-614.3789500425444,614.3789500425444,-636.2139606066077,-592.543939478481,21.917518177624896,-0.7396491673757396,False
D_Code,SBH,False,620.0,-620.0,-697.7417989610685,697.7417989610685,-722.18112860445,-673.3024693176872,24.49982005931519,-1.9435449740267132,False
D_Frame,SBH,False,620.0,-620.0,-715.7355911160857,715.7355911160857,-739.1006645114064,-692.6390817827801,23.294824887589257,-2.3933897779021436,False
D_Song,SBH,False,900.0,-900.0,-797.3657260143133,797.3657260143133,-830.9551247732652,-760.0441718376998,35.65883830288636,0.34211424661895573,False
Lev_Holiness,SBH,False,580.0,-580.0,-686.7200004255676,686.7200004255676,-715.4453157019555,-658.3582967349568,28.780593775673385,-1.334000005319595,False
Lev_Priestly,SBH,False,520.0,-520.0,-646.3550260575289,646.3550260575289,-676.171176091248,-616.1752644380329,30.245868498969312,-1.5794378257191113,False
Song_Sea,SBH,False,1100.0,-1100.0,-768.4601937310836,768.4601937310836,-802.0495924900356,-732.3826913603572,35.31312850153347,1.1051326875630547,False
Song_Deborah,SBH,False,1150.0,-1150.0,-821.0845194356291,821.0845194356291,-850.9695042274711,-792.0533913521253,29.357272882314746,1.6445774028218545,False
