feature,SBH_mean,SBH_std,direction,D_source,P_source,JE_source
frac_she,0.0,0.0,late_leakage,,,
rate_az,0.5240782353008793,0.7194870305898107,late_leakage,0.5898949482816868,0.5673789065585721,0.4346454507216929
rate_niphal,15.813416482517473,5.22898194186072,late_leakage,-2.87668166571728,-2.868190529107196,-2.886186383949738
rate_ut_nouns,2.0285913498706334,1.168020633866348,late_leakage,,,
frac_ani,0.5789399006790311,0.3270175107475301,late_leakage,-1.6104333357415133,0.8521259264801421,-0.5257819383616288
frac_ein,0.1823608996118989,0.1324302516511464,late_leakage,,,
rate_baqash,1.4268883164455308,1.5818305988705654,late_leakage,,,
rate_anochi,1.3319318246095009,1.72835969799374,archaic,-0.6395264978074631,-0.24603201816329387,-0.46080212674132
rate_inf_abs,3.9240111495039898,2.161133909631464,archaic,-1.5359118353152066,-1.4312908310394667,-1.5201793534692307
rate_na,0.6321533545837741,0.8369187724631559,archaic,,,
rate_pen,0.16229745254151753,0.17895647352208927,archaic,,,
rate_terem,0.0,0.0,archaic,,,
frac_wqtl_wayq,0.808770430108511,0.1051721119036359,archaic,,,
