unit,n_words,role,scholarly,map_full,ci68_lo,ci68_hi,map_resist,delta_arch,map_genre,genre_shift,lbh_score,lbh_class
Amos,2780,train,760.0,577,393,758,527,50,500,-77,-0.243,Archaizing
Hosea,3146,train,745.0,548,362,733,610,-62,587,38,0.059,Archaic/SBH
Micah,1895,train,725.0,638,467,812,687,-48,577,-62,-0.335,Archaizing
Zephaniah,1037,train,630.0,527,338,715,640,-113,523,-3,0.285,Archaic/SBH
Nahum,746,train,650.0,647,477,818,483,163,720,73,1.064,Modern/LBH
Habakkuk,897,hbvi_holdout,605.0,458,267,652,445,13,360,-98,0.165,Archaic/SBH
Lamentations,1945,train,570.0,760,622,898,510,250,812,52,0.458,Transitional
Ezekiel,26182,train,580.0,490,298,680,543,-53,448,-42,0.096,Archaic/SBH
Obadiah,392,train,585.0,513,325,703,632,-118,507,-7,0.515,Transitional
Joel,1318,train,400.0,598,420,778,563,35,663,65,0.386,Transitional
Jonah,985,train,400.0,157,-15,327,282,-125,325,168,0.551,Transitional
Malachi,1187,train,460.0,667,502,833,493,173,658,-8,0.39,Transitional
Haggai,877,holdout,520.0,445,252,637,298,147,317,-128,1.366,Modern/LBH
Ezra,5268,train,380.0,402,208,595,290,112,302,-100,0.599,Transitional
Nehemiah,7842,train,380.0,350,158,543,393,-43,402,52,0.565,Transitional
Esther,4621,train,300.0,240,55,425,190,50,215,-25,1.691,Modern/LBH
Ecclesiastes,4233,train,250.0,175,0,350,492,-317,217,42,2.213,Modern/LBH
Genesis,28764,target,,182,7,358,302,-120,397,215,0.706,Modern/LBH
Exodus,23748,target,,367,173,560,432,-65,417,50,0.21,Archaic/SBH
Leviticus,17099,target,,575,393,758,580,-5,503,-72,-0.154,Archaizing
Numbers,23188,target,,385,192,578,372,13,402,17,0.281,Archaic/SBH
Deuteronomy,20128,target,,485,293,677,587,-102,353,-132,-0.296,Archaizing
Isaiah_1,13504,train,720.0,553,367,738,493,60,497,-57,0.23,Archaic/SBH
Isaiah_2,5738,train,545.0,592,412,773,660,-68,560,-32,0.062,Archaic/SBH
Isaiah_3,3689,train,400.0,573,390,757,573,0,490,-83,0.198,Archaic/SBH
Zechariah_1,2484,train,518.0,372,178,565,333,38,355,-17,0.398,Transitional
Zechariah_2,1987,train,350.0,587,405,768,517,70,612,25,-0.023,Archaizing
Chronicles,35330,train,330.0,298,108,488,235,63,333,35,0.802,Modern/LBH
Daniel,3437,hbvi_holdout,167.0,383,190,577,430,-47,373,-10,0.835,Modern/LBH
Jer_oracle,14539,holdout,605.0,582,400,763,615,-33,577,-5,0.158,Archaic/SBH
Jer_DTR,15197,target,,430,237,623,468,-38,352,-78,0.266,Archaic/SBH
D_Code,7353,target,,555,368,740,712,-157,393,-162,-0.626,Archaizing
D_Frame,11993,target,,445,252,637,515,-70,318,-127,-0.135,Archaizing
D_Song,782,target,,452,260,645,447,5,510,58,0.236,Archaic/SBH
Lev_Holiness,5958,target,,522,332,710,697,-175,400,-122,-0.332,Archaizing
Lev_Priestly,10496,target,,600,420,778,502,98,555,-45,0.13,Archaic/SBH
Song_Sea,433,target,,550,363,735,412,138,642,92,-0.003,Archaizing
Song_Deborah,462,target,,570,387,753,530,40,515,-55,0.384,Transitional
P_source,54435,target,,443,250,637,430,13,430,-13,0.152,Archaic/SBH
JE_source,37752,target,,218,37,400,360,-142,407,188,0.532,Transitional
D_source,20128,target,,485,293,677,587,-102,353,-132,-0.296,Archaizing
Gen_JE,22409,target,,173,-2,348,333,-160,403,230,0.671,Modern/LBH
Exo_JE,11780,target,,300,110,490,422,-122,412,112,0.36,Transitional
Num_JE,3563,target,,218,37,402,357,-138,410,192,0.354,Transitional
