unit,n_words,role,scholarly,resist_morph,resist_synt,overshoot_mean,overshoot_max,n_feat_overshoot
Amos,2780,train,760.0,528,527,-2.28,-0.32,0
Hosea,3146,train,745.0,535,610,-2.1,-0.44,0
Micah,1895,train,725.0,682,687,-2.09,-0.78,0
Zephaniah,1037,train,630.0,610,640,-2.08,-0.28,0
Nahum,746,train,650.0,577,483,-1.29,0.0,0
Habakkuk,897,hbvi_holdout,605.0,573,445,-2.15,0.0,0
Lamentations,1945,train,570.0,888,510,-1.63,0.0,0
Ezekiel,26182,train,580.0,468,543,-2.27,-0.46,0
Obadiah,392,train,585.0,608,632,-2.38,0.0,0
Joel,1318,train,400.0,505,563,-2.17,0.0,0
Jonah,985,train,400.0,290,282,-2.59,-0.15,0
Malachi,1187,train,460.0,488,493,-2.04,0.0,0
Haggai,877,holdout,520.0,428,298,-2.57,0.18,0
Ezra,5268,train,380.0,180,290,-3.08,0.0,0
Nehemiah,7842,train,380.0,358,393,-2.74,-0.83,0
Esther,4621,train,300.0,223,190,-2.53,-0.0,0
Ecclesiastes,4233,train,250.0,372,492,-2.49,-0.18,0
Genesis,28764,target,,428,302,-2.54,-0.5,0
Exodus,23748,target,,405,432,-2.35,-0.35,0
Leviticus,17099,target,,240,580,-2.31,-0.22,0
Numbers,23188,target,,485,372,-2.4,-0.22,0
Deuteronomy,20128,target,,398,587,-2.36,-0.61,0
Isaiah_1,13504,train,720.0,547,493,-1.99,-0.71,0
Isaiah_2,5738,train,545.0,658,660,-1.76,0.0,0
Isaiah_3,3689,train,400.0,543,573,-1.94,-0.89,0
Zechariah_1,2484,train,518.0,537,333,-2.57,-0.59,0
Zechariah_2,1987,train,350.0,447,517,-2.43,-0.46,0
Chronicles,35330,train,330.0,273,235,-2.9,-0.91,0
Daniel,3437,hbvi_holdout,167.0,300,430,-2.55,-0.57,0
Jer_oracle,14539,holdout,605.0,587,615,-2.07,-0.8,0
Jer_DTR,15197,target,,468,468,-2.36,-0.52,0
D_Code,7353,target,,368,712,-2.27,-0.44,0
D_Frame,11993,target,,397,515,-2.44,-0.73,0
D_Song,782,target,,702,447,-1.93,0.68,0
Lev_Holiness,5958,target,,400,697,-2.06,-0.29,0
Lev_Priestly,10496,target,,153,502,-2.47,0.06,0
Song_Sea,433,target,,645,412,-2.13,0.34,0
Song_Deborah,462,target,,900,530,-2.3,-0.18,0
P_source,54435,target,,392,430,-2.38,-0.54,0
JE_source,37752,target,,415,360,-2.47,-0.23,0
D_source,20128,target,,398,587,-2.36,-0.61,0
Gen_JE,22409,target,,423,333,-2.47,-0.25,0
Exo_JE,11780,target,,402,422,-2.43,-0.42,0
Num_JE,3563,target,,410,357,-2.55,0.52,0
