unit,genre,n_words,noisy,map_full,map_resistant,map_B,map_D,map_BD,ci68_lo_raw,ci68_hi_raw,ci68_lo_bd,ci68_hi_bd,delta_B,delta_D,delta_BD,map_ngram,ci68_lo_ng,ci68_hi_ng,ci95_lo_ng,ci95_hi_ng
Genesis,narrative,28764,False,416.0,232.0,430.0,410.0,423.0,384.0,449.0,386.0,460.0,14.0,-7.0,7.0,540.9,497.1,582.4,455.6,623.8
Exodus,narrative,23315,False,400.0,449.0,393.0,398.0,396.0,366.0,433.0,357.0,433.0,-7.0,-2.0,-5.0,531.7,487.9,573.1,446.4,614.6
Leviticus,legal,17099,False,400.0,707.0,412.0,414.0,421.0,363.0,439.0,375.0,467.0,12.0,14.0,21.0,386.5,342.7,428.0,301.2,469.4
Numbers,narrative,23188,False,333.0,377.0,306.0,317.0,290.0,301.0,368.0,251.0,329.0,-28.0,-16.0,-44.0,379.6,335.8,423.3,294.3,464.8
Deuteronomy,legal,20128,False,292.0,695.0,320.0,320.0,336.0,257.0,329.0,292.0,380.0,28.0,28.0,44.0,411.8,368.0,455.6,326.6,497.1
D_Code,legal,7353,False,292.0,854.0,299.0,310.0,317.0,232.0,350.0,246.0,386.0,7.0,18.0,25.0,333.5,289.7,377.3,248.2,418.7
D_Frame,narrative,11993,False,274.0,582.0,308.0,292.0,317.0,227.0,320.0,264.0,370.0,35.0,18.0,44.0,444.1,400.3,485.6,358.8,527.1
D_Song,other,782,True,679.0,451.0,748.0,679.0,748.0,608.0,751.0,670.0,824.0,69.0,0.0,69.0,644.6,600.8,686.1,559.3,727.6
Lev_Holiness,legal,5958,False,301.0,808.0,310.0,317.0,322.0,234.0,366.0,244.0,398.0,9.0,16.0,21.0,462.5,418.7,506.3,377.3,547.8
Lev_Priestly,legal,10496,False,465.0,601.0,476.0,476.0,483.0,414.0,513.0,426.0,543.0,12.0,12.0,18.0,328.9,287.4,372.6,245.9,414.1
D_source,legal,20128,False,292.0,695.0,320.0,320.0,336.0,257.0,329.0,292.0,380.0,28.0,28.0,44.0,411.8,368.0,455.6,326.6,497.1
P_source,legal,53645,False,361.0,465.0,350.0,352.0,343.0,329.0,393.0,304.0,380.0,-12.0,-9.0,-18.0,453.3,409.5,497.1,368.0,538.6
JE_source,narrative,40867,False,435.0,324.0,451.0,433.0,444.0,403.0,467.0,407.0,481.0,16.0,-2.0,9.0,499.4,457.9,543.2,416.4,584.7
Joshua,narrative,14526,False,345.0,327.0,377.0,352.0,377.0,304.0,386.0,329.0,426.0,32.0,7.0,32.0,379.6,338.1,423.3,296.6,464.8
Judges,narrative,13624,False,490.0,221.0,506.0,479.0,492.0,446.0,534.0,442.0,541.0,16.0,-12.0,2.0,508.6,464.8,552.4,423.3,593.9
1_Samuel,narrative,18929,False,458.0,216.0,483.0,460.0,481.0,421.0,495.0,439.0,525.0,25.0,2.0,23.0,494.8,451.0,536.3,409.5,577.8
2_Samuel,narrative,15612,False,449.0,193.0,472.0,446.0,465.0,407.0,490.0,416.0,511.0,23.0,-2.0,16.0,510.9,467.1,552.4,425.7,593.9
1_Kings,narrative,18685,False,423.0,310.0,426.0,421.0,423.0,386.0,460.0,382.0,467.0,2.0,-2.0,0.0,407.2,365.7,451.0,324.2,492.5
2_Kings,narrative,17307,False,555.0,308.0,585.0,559.0,585.0,516.0,594.0,539.0,628.0,30.0,5.0,30.0,563.9,522.4,607.7,481.0,649.2
Jer_DTR,narrative,15197,False,412.0,,439.0,423.0,442.0,370.0,453.0,393.0,490.0,28.0,12.0,30.0,510.9,467.1,554.7,425.7,596.2
Jer_oracle,other,14539,False,562.0,,569.0,562.0,569.0,520.0,605.0,522.0,615.0,7.0,0.0,7.0,612.3,568.5,653.8,527.1,695.3
Song_Sea,other,433,True,852.0,,829.0,852.0,829.0,781.0,923.0,753.0,907.0,-23.0,0.0,-23.0,527.1,483.3,568.5,441.8,610.0
Song_Deborah,other,462,True,585.0,,502.0,585.0,502.0,513.0,654.0,423.0,578.0,-83.0,0.0,-83.0,487.9,444.1,529.4,402.6,570.8
