unit,n_words,noisy,map_char_S0,map_word_S0,mc_char_median,mc_char_std,mc_char_p16,mc_char_p84,mc_char_p2p5,mc_char_p97p5,mc_word_median,mc_word_std,mc_word_p16,mc_word_p84,mc_word_p2p5,mc_word_p97p5,shift_char,shift_word
Genesis,28478,False,543.2,490.2,500.6,21.6,478.3,522.4,460.1,536.3,478.7,5.8,473.7,483.6,467.1,490.2,-42.6,-11.5
Exodus,22964,False,529.4,501.7,547.8,26.1,520.1,575.5,497.0,591.6,497.1,8.2,490.2,506.3,483.3,513.2,18.4,-4.6
Leviticus,16759,False,384.2,481.0,386.5,10.0,374.9,395.7,363.4,404.9,497.1,14.9,478.7,510.9,464.8,520.1,2.3,16.1
Numbers,22812,False,384.2,517.8,377.3,13.4,365.7,393.4,351.9,404.9,515.5,9.5,508.6,527.1,499.4,536.3,-6.9,-2.3
Deuteronomy,19812,False,404.9,425.7,388.8,25.4,358.8,414.5,340.4,437.2,448.7,9.9,437.2,457.9,425.7,464.8,-16.1,23.0
D_Code,7225,False,331.2,398.0,319.6,23.3,295.9,345.0,275.9,361.1,444.1,18.4,425.7,460.2,400.3,471.8,-11.6,46.1
D_Frame,11810,False,434.9,432.6,414.1,30.7,381.9,442.2,358.8,471.7,446.4,6.0,439.5,453.3,434.8,455.6,-20.8,13.8
D_Song,777,True,649.2,522.4,598.5,19.1,584.7,623.8,573.1,644.6,487.9,19.1,467.1,508.6,453.3,527.1,-50.7,-34.5
Lev_Holiness,5840,False,464.8,529.4,447.5,24.6,423.0,474.0,400.2,490.2,561.6,17.2,543.2,575.5,520.1,589.3,-17.3,32.2
Lev_Priestly,10281,False,326.6,448.7,338.1,14.4,324.2,352.3,312.7,365.8,460.2,16.6,439.5,474.0,423.3,483.3,11.5,11.5
D_source,19812,False,404.9,425.7,388.8,25.4,358.8,414.5,340.4,437.2,448.7,9.9,437.2,457.9,425.7,464.8,-16.1,23.0
P_source,52735,False,455.6,499.4,460.2,19.5,441.8,481.0,421.0,492.5,499.4,10.2,487.9,508.6,480.9,517.8,4.6,0.0
JE_source,40396,False,501.7,499.4,469.4,17.2,453.3,488.2,439.4,504.1,494.8,5.5,490.2,501.7,485.5,506.3,-32.3,-4.6
Joshua,14307,False,377.3,517.8,384.2,14.5,370.0,396.1,358.8,414.1,524.7,5.7,517.8,529.4,510.9,531.7,6.9,6.9
Judges,13444,False,513.2,481.0,506.3,16.1,490.2,522.4,476.2,536.3,467.1,6.6,460.2,474.0,455.6,481.0,-6.9,-13.9
1_Samuel,18664,False,499.4,485.6,441.8,27.4,413.8,471.7,386.5,490.2,485.6,5.3,481.0,490.2,476.4,494.8,-57.6,0.0
2_Samuel,15447,False,517.8,538.6,437.2,32.8,409.2,476.4,384.0,501.7,527.1,5.6,522.4,534.0,520.1,540.9,-80.6,-11.5
1_Kings,18405,False,411.8,504.0,374.9,19.4,358.8,398.0,345.0,418.7,508.6,5.4,501.7,513.2,497.0,515.6,-36.9,4.6
2_Kings,17103,False,568.5,527.1,529.4,26.2,508.6,561.6,487.8,587.0,514.4,7.9,506.3,522.4,499.4,529.4,-39.1,-12.7
Jer_DTR,14955,False,510.9,536.3,483.3,17.2,469.1,504.0,455.6,520.1,538.6,6.3,534.0,545.5,527.1,552.4,-27.6,2.3
Jer_oracle,14300,False,610.0,607.7,607.7,6.1,600.8,614.6,598.4,619.3,607.7,3.7,603.1,610.4,600.8,614.6,-2.3,-0.0
Song_Sea,421,True,531.7,794.4,522.4,21.9,501.7,547.8,478.6,566.3,746.0,22.8,725.3,764.8,699.8,794.4,-9.3,-48.4
Song_Deborah,454,True,494.8,752.9,494.8,40.8,448.7,527.4,416.3,566.3,694.1,28.1,676.9,734.5,658.4,759.9,0.0,-58.8
