feature,rho,p,a,b,resid_sigma,n_valid
rate_ut_nouns,0.4474667607985979,0.03678525441523381,6.187890550845069,-0.006856453893017115,1.5978979494182959,22
frac_ani,0.45441481482638435,0.03850217110138024,1.2900705747154588,-0.0008855173205738773,0.18990205446613037,21
frac_she,0.42565497521385937,0.04826120114246078,0.13239972722816334,-0.00017052204173673851,0.1150589567736029,22
rate_pen,-0.34033345229944395,0.12118684619349102,-0.08624337770193417,0.0003986490966693479,0.21569620973582715,22
frac_yld_nif,0.33166247903553997,0.4674020304824677,1.4934924560694434,-0.0015866541583391123,0.4342450945607815,7
frac_anachnu,0.21989974856677127,0.4922476396659048,1.0414713025078748,-0.00017088996747079336,0.1485479352885777,12
frac_zaqaq,-0.13453802521291874,0.6465527327076004,0.7027725601323618,0.00012966034845144375,0.30831015292786074,14
frac_ysf_qal,-0.08628119403696524,0.7506958471245244,-0.0316771640228715,0.00011605098449562108,0.0853745012139278,16
frac_niphal,0.07021545696263862,0.7561816414346252,0.0818609356190069,-2.749060940019605e-05,0.02663051450303744,22
rate_na,0.06776792847588708,0.7644440288739505,0.8653099842285431,4.023289759997199e-05,1.207924852331127,22
frac_halak_piel,0.06189611741430308,0.7898306626833562,0.020556813871432916,3.420465799699468e-05,0.08949844308181337,21
rate_terem,,,0.0,0.0,0.0,22
