,frac_ani,frac_she,frac_anachnu,rate_pen,rate_terem,rate_na,frac_halak_piel,frac_ysf_qal,frac_niphal,frac_yld_nif,frac_zaqaq,rate_ut_nouns
Amos,0.09090909090909091,0.0,,0.3597122302158273,0.0,0.7194244604316546,0.0,0.0,0.07034220532319392,,,1.7985611510791368
Hosea,0.5217391304347826,0.0,,0.3178639542275906,0.0,0.0,0.0,0.0,0.04934687953555878,1.0,1.0,2.860775588048315
Micah,0.6666666666666666,0.0,1.0,0.0,0.0,2.1108179419525066,0.0,,0.04896907216494845,,1.0,1.5831134564643798
Isaiah_1,0.6153846153846154,0.0,1.0,0.2962085308056872,0.0,0.9626777251184834,0.0,0.3333333333333333,0.08786764705882352,0.0,0.7142857142857143,3.036137440758294
Zephaniah,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,,,2.8929604628736745
Nahum,,0.0,,0.0,0.0,0.0,0.0,0.0,0.10119047619047619,,,0.0
Habakkuk,1.0,0.0,,0.0,0.0,0.0,0.3333333333333333,,0.029411764705882353,,1.0,1.1148272017837235
Jeremiah_oracles,0.65,0.0,1.0,0.4126831281381113,0.0,0.34390260678175943,0.0,0.0,0.08049432197728791,0.0,0.625,2.957562418323131
Lamentations,1.0,0.3076923076923077,0.5,0.0,0.0,1.0282776349614395,0.2,0.0,0.049281314168377825,,0.5,2.056555269922879
Ezekiel,0.9941176470588236,0.0,1.0,0.0,0.0,0.19097089603544418,0.01694915254237288,0.0,0.07690531177829099,,1.0,3.7048353830876173
Isaiah_2,0.7432432432432432,0.0,1.0,0.34855350296270476,0.0,0.5228302544440572,0.0,0.0,0.06456140350877193,,0.0,2.4398745207389334
Haggai,1.0,0.0,,0.0,0.0,4.561003420752566,,,0.025,,,1.1402508551881414
Zechariah_1,1.0,0.0,,0.0,0.0,1.2077294685990339,0.0,,0.043859649122807015,,1.0,0.8051529790660226
Isaiah_3,0.8888888888888888,0.0,1.0,0.0,0.0,0.27107617240444565,0.14285714285714285,,0.07758620689655173,1.0,0.5,0.5421523448088913
Malachi,0.8888888888888888,0.0,1.0,0.8424599831508003,0.0,2.527379949452401,0.0,,0.072,,,0.0
Jonah,0.7142857142857143,0.2,,0.0,0.0,3.045685279187817,0.0,0.0,0.03980099502487562,,1.0,3.045685279187817
Ezra,1.0,0.04,1.0,0.0,0.0,0.18982536066818528,0.0,0.0,0.05017921146953405,1.0,,3.416856492027335
Nehemiah,0.9375,0.0,1.0,0.0,0.0,0.7651109410864575,0.0,0.0,0.06294416243654823,,0.6666666666666666,2.8054067839836776
Chronicles,0.967741935483871,0.005763688760806916,1.0,0.028304557033682422,0.0,0.22643645626945938,0.0,0.09090909090909091,0.05168435625288417,0.9090909090909091,0.8,3.424851401075573
Esther,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.11574074074074074,,1.0,6.05929452499459
Ecclesiastes,1.0,0.43312101910828027,,0.0,0.0,0.23623907394283014,0.10714285714285714,0.0,0.06732117812061711,1.0,,5.433498700685093
Daniel,0.9583333333333334,0.0,1.0,0.0,0.0,0.5819028222286878,0.0,0.0,0.11480865224625623,,,7.564736688972942
