ngram,rho,direction,size
_ל_פ,-0.8197343453764527,↓ LBH,4
ל_הב,-0.8050443534590828,↓ LBH,4
ב_ק,0.8013653150205318,↑ LBH,3
_ב_ק,0.7883119139968262,↑ LBH,4
ׂה_ו,-0.7844170786940977,↓ LBH,4
ׁני,-0.7820689830724453,↓ LBH,3
שׁני,-0.7820689830724453,↓ LBH,4
ל_תת,-0.7658376479334782,↓ LBH,4
ב_קר,0.7574087062240915,↑ LBH,4
_ל_,-0.7517065988721827,↓ LBH,3
_דמ,0.7497988355048163,↑ LBH,3
רבך_,0.739684954844546,↑ LBH,4
רבך,0.739684954844546,↑ LBH,3
חשׁו,-0.738197422185348,↓ LBH,4
ו_ה_,-0.7346996622461154,↓ LBH,4
_קרב,0.73318237230786,↑ LBH,4
גאו,0.731140413523572,↑ LBH,3
_גאו,0.731140413523572,↑ LBH,4
גאון,0.7250446841508651,↑ LBH,4
קב_כ,0.7122207645672444,↑ LBH,4
שׁנ,-0.7103230530820853,↓ LBH,3
_תת_,-0.7069343366705062,↓ LBH,4
עשׂ,-0.7069216657568719,↓ LBH,3
קרב,0.7031519269060946,↑ LBH,3
ל_ל_,-0.7006001658810321,↓ LBH,4
והו,-0.6993968449836236,↓ LBH,3
והו_,-0.6993968449836236,↓ LBH,4
יליל,0.6989800218178469,↑ LBH,4
ם_יה,0.6952354893060562,↑ LBH,4
ם_צ,0.6939718889895664,↑ LBH,3
אשׁ_,0.6927492185684822,↑ LBH,4
בעות,0.6914901174552944,↑ LBH,4
ם_עש,-0.6911996974143639,↓ LBH,4
הרי,0.6903931217807825,↑ LBH,3
_עשׂ,-0.6865133418055908,↓ LBH,4
שׁר,-0.6859464439180551,↓ LBH,3
_מאו,-0.6856376020130026,↓ LBH,4
ׁ_מא,-0.6836135593422443,↓ LBH,4
מאו,-0.6820775564634306,↓ LBH,3
הוי_,0.6819230867876499,↑ LBH,4
_הוי,0.6819230867876499,↑ LBH,4
דולה,-0.6814919697980458,↓ LBH,4
_גב,0.6804794707575195,↑ LBH,3
וב_ב,-0.6798995844615817,↓ LBH,4
יביא,-0.6792635698830396,↓ LBH,4
_ארץ,0.6791436692676281,↑ LBH,4
ארץ,0.6791436692676281,↑ LBH,3
ארץ_,0.6791436692676281,↑ LBH,4
_עש,-0.6785767713800926,↓ LBH,3
כ_אר,0.6769703998205131,↑ LBH,4
י_כש,0.6763795534232787,↑ LBH,4
וצות,0.6741754532547022,↑ LBH,4
חוצו,0.6741754532547022,↑ LBH,4
בעו,0.6740124502214643,↑ LBH,3
ידעי,-0.6735394386761601,↓ LBH,4
_עבד,-0.6716888935287154,↓ LBH,4
_ל_ה,-0.6706402009545945,↓ LBH,4
_אח,-0.6694119755747134,↓ LBH,3
_אכ,0.6677108015580053,↑ LBH,3
ל_פנ,-0.6655381199667743,↓ LBH,4
ו_ל_,-0.6654425695357276,↓ LBH,4
_בטח,0.6651361625228928,↑ LBH,4
כלה_,0.6647672209261001,↑ LBH,4
און,0.6639246212432517,↑ LBH,3
און_,0.6639246212432517,↑ LBH,4
דוד_,0.6615015386839699,↑ LBH,4
נעש,-0.6611837101127646,↓ LBH,3
נעשׂ,-0.6611837101127646,↓ LBH,4
_נעש,-0.6611837101127646,↓ LBH,4
ל_הש,-0.6587694328553726,↓ LBH,4
_לכן,0.6584726854848673,↑ LBH,4
לכן_,0.6584726854848673,↑ LBH,4
לכן,0.6584726854848673,↑ LBH,3
כלה,0.6562153270033801,↑ LBH,3
עבד,-0.6560752862349395,↓ LBH,3
מ_ל_,-0.6542429345494135,↓ LBH,4
_שׁנ,-0.6537809797359482,↓ LBH,4
רץ_,0.653633264328527,↑ LBH,3
תת_,-0.6530523195638824,↓ LBH,3
וצו,0.6519149430057262,↑ LBH,3
עו_ע,0.651278928427184,↑ LBH,4
מצות,-0.651278928427184,↓ LBH,4
