unit,n_words,noisy,map_S0_Full,ci68_lo_S0_Full,ci68_hi_S0_Full,map_S1_No8cent,ci68_lo_S1_No8cent,ci68_hi_S1_No8cent,map_S2_NoPreExilic,ci68_lo_S2_NoPreExilic,ci68_hi_S2_NoPreExilic,delta_S1_vs_S0,delta_S2_vs_S0
Genesis,28478,False,540.9,582.4,497.1,347.3,411.8,282.8,,,,-193.6,
Exodus,22964,False,531.7,573.1,487.9,292.0,358.8,227.5,,,,-239.7,
Leviticus,16759,False,386.5,428.0,342.7,354.2,418.7,289.7,,,,-32.3,
Numbers,22812,False,379.6,423.3,335.8,308.1,372.6,243.6,,,,-71.4,
Deuteronomy,19812,False,411.8,455.6,368.0,448.7,513.2,384.2,,,,36.9,
D_Code,7225,False,333.5,377.3,289.7,425.7,490.2,361.1,,,,92.2,
D_Frame,11810,False,444.1,485.6,400.3,451.0,515.5,386.5,,,,6.9,
D_Song,777,True,644.6,686.1,600.8,605.4,669.9,540.9,,,,-39.2,
Lev_Holiness,5840,False,462.5,506.3,418.7,349.6,414.1,285.1,,,,-112.9,
Lev_Priestly,10281,False,328.9,372.6,287.4,358.8,423.3,294.3,,,,30.0,
D_source,19812,False,411.8,455.6,368.0,448.7,513.2,384.2,,,,36.9,
P_source,52735,False,453.3,497.1,409.5,285.1,349.6,220.5,,,,-168.2,
JE_source,40396,False,499.4,543.2,457.9,379.6,444.1,315.0,,,,-119.8,
Joshua,14307,False,379.6,423.3,338.1,423.3,487.9,358.8,,,,43.8,
Judges,13444,False,508.6,552.4,464.8,414.1,478.7,349.6,,,,-94.5,
1_Samuel,18664,False,494.8,536.3,451.0,404.9,469.4,340.4,,,,-89.9,
2_Samuel,15447,False,510.9,552.4,467.1,398.0,462.5,333.5,,,,-112.9,
1_Kings,18405,False,407.2,451.0,365.7,345.0,409.5,280.5,,,,-62.2,
2_Kings,17103,False,563.9,607.7,522.4,428.0,492.5,363.4,,,,-136.0,
Jer_DTR,14955,False,510.9,554.7,467.1,513.2,577.8,448.7,,,,2.3,
Jer_oracle,14300,False,612.3,653.8,568.5,570.8,635.4,506.3,,,,-41.5,
Song_Sea,421,True,527.1,568.5,483.3,421.0,485.6,356.5,,,,-106.0,
Song_Deborah,454,True,487.9,529.4,444.1,464.8,529.4,398.0,,,,-23.0,
