unit,n_words,noisy,map_char_S0,map_char_S1,map_char_S2,shift_char_S2_minus_S0,map_word_S0,map_word_S1,map_word_S2,shift_word_S2_minus_S0,shift_char_S1_minus_S0,shift_word_S1_minus_S0
Genesis,28478,False,540.9,347.3,,,497.1,499.4,,,-193.6,2.3
Exodus,22964,False,531.7,292.0,,,501.7,545.5,,,-239.7,43.8
Leviticus,16759,False,386.5,354.2,,,462.5,538.6,,,-32.3,76.1
Numbers,22812,False,379.6,308.1,,,494.8,543.2,,,-71.5,48.4
Deuteronomy,19812,False,411.8,448.7,,,432.6,425.7,,,36.9,-6.9
D_Code,7225,False,333.5,425.7,,,402.6,441.8,,,92.2,39.2
D_Frame,11810,False,444.1,451.0,,,444.1,411.8,,,6.9,-32.3
D_Song,777,True,644.6,605.4,,,520.1,490.2,,,-39.2,-29.9
Lev_Holiness,5840,False,462.5,349.6,,,501.7,584.7,,,-112.9,83.0
Lev_Priestly,10281,False,328.9,358.8,,,437.2,515.5,,,29.9,78.3
D_source,19812,False,411.8,448.7,,,432.6,425.7,,,36.9,-6.9
P_source,52735,False,453.3,285.1,,,481.0,531.7,,,-168.2,50.7
JE_source,40396,False,499.4,379.6,,,506.3,527.1,,,-119.8,20.8
Joshua,14307,False,379.6,423.3,,,501.7,483.3,,,43.7,-18.4
Judges,13444,False,508.6,414.1,,,483.3,513.2,,,-94.5,29.9
1_Samuel,18664,False,494.8,404.9,,,494.8,494.8,,,-89.9,0.0
2_Samuel,15447,False,510.9,398.0,,,531.7,474.0,,,-112.9,-57.7
1_Kings,18405,False,407.2,345.0,,,499.4,481.0,,,-62.2,-18.4
2_Kings,17103,False,563.9,428.0,,,527.1,501.7,,,-135.9,-25.4
Jer_DTR,14955,False,510.9,513.2,,,543.2,536.3,,,2.3,-6.9
Jer_oracle,14300,False,612.3,570.8,,,621.5,563.9,,,-41.5,-57.6
Song_Sea,421,True,527.1,421.0,,,782.9,628.5,,,-106.1,-154.4
Song_Deborah,454,True,487.9,464.8,,,819.7,665.3,,,-23.1,-154.4
