unit,n_words,noisy,map_A_S0_Full,map_B_S0_Full,map_AB_S0_Full,ci68_lo_AB_S0_Full,ci68_hi_AB_S0_Full,map_A_S1_No8cent,map_B_S1_No8cent,map_AB_S1_No8cent,ci68_lo_AB_S1_No8cent,ci68_hi_AB_S1_No8cent,map_A_S2_NoPreExilic,map_B_S2_NoPreExilic,map_AB_S2_NoPreExilic,ci68_lo_AB_S2_NoPreExilic,ci68_hi_AB_S2_NoPreExilic,delta_S1_vs_S0,delta_S2_vs_S0
Genesis,28478,False,457.9,656.1,497.1,570.8,423.3,499.4,508.6,499.4,554.7,444.1,600.8,,,,,2.3,
Exodus,22964,False,483.3,561.6,501.7,575.5,428.0,517.8,494.8,545.5,600.8,490.2,600.8,,,,,43.8,
Leviticus,16759,False,471.7,467.1,462.5,536.3,388.8,485.6,515.5,538.6,593.9,483.3,600.8,,,,,76.1,
Numbers,22812,False,520.1,409.5,494.8,568.5,423.3,547.8,439.5,543.2,600.8,487.9,600.8,,,,,48.4,
Deuteronomy,19812,False,423.3,490.2,432.6,506.3,358.8,393.4,411.8,425.7,481.0,370.3,600.8,,,,,-6.9,
D_Code,7225,False,395.7,365.7,402.6,476.4,328.9,400.3,430.3,441.8,497.1,384.2,600.8,,,,,39.2,
D_Frame,11810,False,434.9,545.5,444.1,517.8,370.3,379.6,386.5,411.8,467.1,354.2,600.8,,,,,-32.3,
D_Song,777,True,487.9,794.4,520.1,593.9,446.4,510.9,582.4,490.2,545.5,434.9,600.8,,,,,-30.0,
Lev_Holiness,5840,False,515.5,453.3,501.7,575.5,428.0,554.7,504.0,584.7,640.0,529.4,600.8,,,,,83.0,
Lev_Priestly,10281,False,441.8,478.7,437.2,510.9,363.4,441.8,534.0,515.5,573.1,460.2,600.8,,,,,78.4,
D_source,19812,False,423.3,490.2,432.6,506.3,358.8,393.4,411.8,425.7,481.0,370.3,600.8,,,,,-6.9,
P_source,52735,False,501.7,451.0,481.0,554.7,407.2,517.8,457.9,531.7,587.0,476.4,600.8,,,,,50.7,
JE_source,40396,False,467.1,642.3,506.3,580.1,434.9,508.6,527.1,527.1,582.4,469.4,600.8,,,,,20.7,
Joshua,14307,False,494.8,453.3,501.7,575.5,428.0,467.1,402.6,483.3,538.6,428.0,600.8,,,,,-18.4,
Judges,13444,False,448.7,607.7,483.3,557.0,409.5,478.7,550.1,513.2,568.5,457.9,600.8,,,,,30.0,
1_Samuel,18664,False,483.3,584.7,494.8,568.5,423.3,471.7,494.8,494.8,552.4,439.5,600.8,,,,,0.0,
2_Samuel,15447,False,506.3,529.4,531.7,605.4,457.9,469.4,499.4,474.0,529.4,418.7,600.8,,,,,-57.6,
1_Kings,18405,False,487.9,536.3,499.4,573.1,428.0,460.2,469.4,481.0,536.3,425.7,600.8,,,,,-18.4,
2_Kings,17103,False,499.4,596.2,527.1,600.8,453.3,492.5,520.1,501.7,557.0,444.1,600.8,,,,,-25.4,
Jer_DTR,14955,False,527.1,520.1,543.2,616.9,469.4,513.2,487.9,536.3,591.6,481.0,600.8,,,,,-6.9,
Jer_oracle,14300,False,623.8,605.4,621.5,693.0,547.8,580.1,517.8,563.9,619.2,508.6,600.8,,,,,-57.6,
Song_Sea,421,True,702.2,838.2,782.9,856.6,709.1,536.3,725.3,628.5,686.1,573.1,600.8,,,,,-154.4,
Song_Deborah,454,True,822.0,778.3,819.7,893.5,746.0,699.9,697.6,665.3,720.6,607.7,600.8,,,,,-154.4,
