feature,rho,p,n_valid,expected,dir_consistent,loo_frac
frac_infc,0.7032870769967513,0.0002610505076874531,22,0,True,1.0
frac_fronted,-0.5617236557011089,0.006518228755737838,22,1,False,1.0
frac_wqtl_wayq,-0.42129274177583165,0.05085701108157384,22,1,False,1.0
frac_null_subj,-0.3086082584245004,0.162295601856765,22,0,True,1.0
frac_nmcl,0.3040782289430398,0.1688714507681848,22,1,True,1.0
frac_sv,-0.2191401761656544,0.3271655314796458,22,1,False,1.0
frac_ov,-0.19026123822134336,0.3963824964362026,22,0,True,1.0
frac_ptcp_cl,0.1574185244807543,0.48415203298413256,22,1,True,1.0
rate_cpen_1k,-0.14892471920301578,0.5083244605569941,22,1,False,1.0
frac_cpen,-0.07417923275891661,0.7428554499945956,22,1,False,
