,frac_nmcl,frac_fronted,frac_cpen,frac_ptcp_cl,frac_infc,frac_wqtl_wayq,rate_cpen_1k,frac_sv,frac_null_subj,frac_ov
Amos,0.10669077757685352,0.30018083182640143,0.012658227848101266,0.09403254972875226,0.0759493670886076,0.7928571428571428,2.5179856115107913,0.265625,0.6513994910941476,0.16666666666666666
Hosea,0.14248366013071895,0.3503267973856209,0.02091503267973856,0.050980392156862744,0.0392156862745098,0.6615384615384615,5.08582326764145,0.4533333333333333,0.702276707530648,0.24404761904761904
Micah,0.11704834605597965,0.356234096692112,0.017811704834605598,0.08396946564885496,0.03816793893129771,0.9027777777777778,3.6939313984168862,0.43243243243243246,0.7294520547945206,0.2087912087912088
Isaiah_1,0.14275542897828408,0.31505873976504095,0.013883944464222144,0.0701317194731221,0.06870772516909933,0.7182608695652174,2.8880331753554502,0.3293010752688172,0.6031344792719919,0.236328125
Zephaniah,0.1782178217821782,0.3316831683168317,0.0,0.11386138613861387,0.054455445544554455,0.9310344827586207,0.0,0.3142857142857143,0.7045454545454546,0.10869565217391304
Nahum,0.2553191489361702,0.26063829787234044,0.015957446808510637,0.13297872340425532,0.010638297872340425,0.8461538461538461,4.021447721179625,0.5111111111111111,0.5636363636363636,0.24242424242424243
Habakkuk,0.16017316017316016,0.3116883116883117,0.017316017316017316,0.08225108225108226,0.07792207792207792,0.3181818181818182,4.459308807134894,0.3695652173913043,0.6578947368421053,0.1891891891891892
Jeremiah,0.1314194577352472,0.3690590111642743,0.012759170653907496,0.06698564593301436,0.05518341307814992,0.7341040462427746,2.7512208542540755,0.3089311859443631,0.6818973020017406,0.16262975778546712
Lamentations,0.09795918367346938,0.3489795918367347,0.004081632653061225,0.04285714285714286,0.03877551020408163,0.2926829268292683,1.0282776349614395,0.34959349593495936,0.67,0.15555555555555556
Ezekiel,0.19200930954228085,0.28665632273079905,0.022885958107059737,0.05876648564778898,0.08223429014740109,0.6493506493506493,4.506913146436483,0.3600944510035419,0.7318994244168434,0.23255813953488372
Isaiah_2,0.13123359580052493,0.37401574803149606,0.015091863517060367,0.08202099737532809,0.04002624671916011,0.6230769230769231,4.008365284071105,0.5020408163265306,0.7502246181491464,0.2826855123674912
Haggai,0.18461538461538463,0.2076923076923077,0.007692307692307693,0.046153846153846156,0.13846153846153847,0.4666666666666667,1.1402508551881414,0.0967741935483871,0.6049382716049383,0.0
Zechariah_1,0.16287878787878787,0.19507575757575757,0.01893939393939394,0.11931818181818182,0.10606060606060606,0.35570469798657717,4.025764895330112,0.30303030303030304,0.6634615384615384,0.16417910447761194
Isaiah_3,0.12128418549346016,0.3638525564803805,0.0178359096313912,0.10344827586206896,0.06777645659928656,0.753731343283582,4.066142586066685,0.4945054945054945,0.6407599309153713,0.27607361963190186
Malachi,0.12840466926070038,0.25680933852140075,0.011673151750972763,0.1245136186770428,0.058365758754863814,0.8688524590163934,2.527379949452401,0.26153846153846155,0.6206896551724138,0.1206896551724138
Jonah,0.10714285714285714,0.18303571428571427,0.013392857142857142,0.06696428571428571,0.08928571428571429,0.056179775280898875,3.045685279187817,0.24,0.6728395061728395,0.13157894736842105
Ezra,0.3100263852242744,0.22427440633245382,0.018469656992084433,0.08839050131926121,0.1279683377308707,0.4027777777777778,2.6575550493545936,0.4485294117647059,0.5813953488372093,0.2033898305084746
Nehemiah,0.19128113879003558,0.24466192170818504,0.011565836298932384,0.12188612099644128,0.08540925266903915,0.27472527472527475,1.6577403723539914,0.2653061224489796,0.6862745098039216,0.2094240837696335
Chronicles,0.232734678763192,0.19292723569709314,0.010738752082947603,0.06702462506943159,0.11053508609516756,0.1962201222901612,1.6416643079535804,0.25,0.5838947706127687,0.1061061061061061
Esther,0.1416058394160584,0.24817518248175183,0.0072992700729927005,0.0948905109489051,0.1591240875912409,0.21674876847290642,1.0820168794633196,0.23232323232323232,0.5024630541871922,0.14583333333333334
Ecclesiastes,0.29136316337148804,0.3059313215400624,0.03954214360041623,0.08324661810613944,0.11030176899063475,0.9538461538461539,8.977084809827545,0.398876404494382,0.5886214442013129,0.25
Daniel,0.13425925925925927,0.2222222222222222,0.012345679012345678,0.08487654320987655,0.09259259259259259,0.55,2.3276112889147513,0.3953488372093023,0.6942528735632184,0.1348314606741573
