unit,genre,n_words,noisy,map_A,ci68_lo_A,ci68_hi_A,ci95_lo_A,ci95_hi_A,map_B,ci68_lo_B,ci68_hi_B,ci95_lo_B,ci95_hi_B,map_AB,ci68_lo_AB,ci68_hi_AB,ci95_lo_AB,ci95_hi_AB,map_full,map_resistant,map_BD,map_ngram
Genesis,narrative,28764,False,457.9,377.3,540.9,298.9,619.2,656.1,543.2,769.0,434.9,877.4,497.1,423.3,570.8,351.9,642.3,416.0,232.0,423.0,540.9
Exodus,narrative,23315,False,483.3,402.6,566.2,324.2,644.6,561.6,448.7,672.2,340.4,782.9,501.7,428.0,575.5,356.5,646.9,400.0,449.0,396.0,531.7
Leviticus,legal,17099,False,471.7,388.8,552.4,310.4,630.8,467.1,354.2,577.8,245.9,686.1,462.5,388.8,536.3,317.3,607.7,400.0,707.0,421.0,386.5
Numbers,narrative,23188,False,520.1,437.2,600.8,358.8,681.5,409.5,296.6,522.4,190.6,630.8,494.8,423.3,568.5,351.9,640.0,333.0,377.0,290.0,379.6
Deuteronomy,legal,20128,False,423.3,342.7,506.3,262.0,584.7,490.2,377.3,600.8,268.9,711.4,432.6,358.8,506.3,287.4,577.8,292.0,695.0,336.0,411.8
D_Code,legal,7353,False,395.7,312.7,476.4,234.4,557.0,365.7,255.1,478.7,149.1,587.0,402.6,328.9,476.4,257.4,547.8,292.0,854.0,317.0,333.5
D_Frame,narrative,11993,False,434.9,354.2,515.5,273.5,596.2,545.5,434.9,658.4,324.2,766.7,444.1,370.3,517.8,301.2,589.3,274.0,582.0,317.0,444.1
D_Song,other,782,True,487.9,404.9,568.5,326.6,649.2,794.4,681.5,905.0,573.1,1015.6,520.1,446.4,593.9,374.9,665.3,679.0,451.0,748.0,644.6
Lev_Holiness,legal,5958,False,515.5,434.9,598.5,356.5,676.9,453.3,340.4,563.9,232.1,672.2,501.7,428.0,575.5,356.5,646.9,301.0,808.0,322.0,462.5
Lev_Priestly,legal,10496,False,441.8,358.8,522.4,280.5,603.1,478.7,365.7,589.3,257.4,699.9,437.2,363.4,510.9,292.0,582.4,465.0,601.0,483.0,328.9
D_source,legal,20128,False,423.3,342.7,506.3,262.0,584.7,490.2,377.3,600.8,268.9,711.4,432.6,358.8,506.3,287.4,577.8,292.0,695.0,336.0,411.8
P_source,legal,53645,False,501.7,418.7,582.4,340.4,660.7,451.0,338.1,563.9,229.8,672.2,481.0,407.2,554.7,335.8,626.2,361.0,465.0,343.0,453.3
JE_source,narrative,40867,False,467.1,386.5,547.8,305.8,628.5,642.3,529.4,752.9,421.0,861.2,506.3,434.9,580.1,363.4,651.5,435.0,324.0,444.0,499.4
Joshua,narrative,14526,False,494.8,414.1,577.8,335.8,656.1,453.3,342.7,566.2,232.1,674.5,501.7,428.0,575.5,356.5,646.9,345.0,327.0,377.0,379.6
Judges,narrative,13624,False,448.7,368.0,529.4,287.4,610.0,607.7,494.8,720.6,386.5,829.0,483.3,409.5,557.0,338.1,628.5,490.0,221.0,492.0,508.6
1_Samuel,narrative,18929,False,483.3,402.6,566.2,321.9,644.6,584.7,474.0,697.6,365.7,805.9,494.8,423.3,568.5,351.9,640.0,458.0,216.0,481.0,494.8
2_Samuel,narrative,15612,False,506.3,423.3,587.0,345.0,667.6,529.4,416.4,642.3,308.1,750.6,531.7,457.9,605.4,386.5,676.9,449.0,193.0,465.0,510.9
1_Kings,narrative,18685,False,487.9,407.2,568.5,326.6,649.2,536.3,423.3,646.9,315.0,757.5,499.4,428.0,573.1,356.5,644.6,423.0,310.0,423.0,407.2
2_Kings,narrative,17307,False,499.4,418.7,582.4,340.4,660.7,596.2,483.3,709.1,374.9,817.4,527.1,453.3,600.8,381.9,672.2,555.0,308.0,585.0,563.9
Jer_DTR,narrative,15197,False,527.1,444.1,607.7,365.7,688.4,520.1,407.2,630.8,298.9,741.4,543.2,469.4,616.9,398.0,688.4,412.0,,442.0,510.9
Jer_oracle,other,14539,False,623.8,540.9,704.5,462.5,785.2,605.4,492.5,716.0,384.2,824.3,621.5,547.8,693.0,476.4,764.4,562.0,,569.0,612.3
Song_Sea,other,433,True,702.2,621.5,782.9,540.9,863.5,838.2,725.3,948.8,616.9,1057.1,782.9,709.1,856.6,637.7,928.1,852.0,,829.0,527.1
Song_Deborah,other,462,True,822.0,741.4,905.0,663.0,983.4,778.3,665.3,891.2,557.0,999.5,819.7,746.0,893.5,674.5,964.9,585.0,,502.0,487.9
