ngram,rho,direction,n_gram_size
subs·conj·art,-0.8231357327016663,↓ LBH,3
conj·art,-0.8061287960755987,↓ LBH,2
verb_infc·conj,-0.783390634694169,↓ LBH,2
verb_perf·subs,0.7828859826866398,↑ LBH,2
advb·verb_impf,0.7766501059237485,↑ LBH,2
adjv·conj,-0.7522734967597184,↓ LBH,2
adjv·conj·prep,-0.7497160338917853,↓ LBH,3
verb_perf·subs·prep,0.7443369263342202,↑ LBH,3
verb_impf·nmpr,0.7332606140272854,↑ LBH,2
conj·art·subs,-0.7278968875956884,↓ LBH,3
nmpr·nega·verb_impf,0.7252834827596782,↑ LBH,3
prep·verb_infc·conj,-0.7236124480532421,↓ LBH,3
nmpr·verb_impf,0.7223148002973087,↑ LBH,2
art·adjv,-0.6967175037812313,↓ LBH,2
art·adjv·conj,-0.6963705676559436,↓ LBH,3
prde·verb_perf,-0.6916491906449456,↓ LBH,2
art·adjv·verb_perf,-0.6838057935152804,↓ LBH,3
adjv·conj·prps,-0.680493558537769,↓ LBH,3
verb_ptca·nega,0.6602899974043289,↑ LBH,2
verb_impv·conj,0.6543849384271235,↑ LBH,2
verb_impf·subs·prep,0.653633264328527,↑ LBH,3
prep·nmpr·verb_impf,0.647613800748196,↑ LBH,3
verb_infc·conj·prep,-0.6469630433282781,↓ LBH,3
prep·verb_infc·art,-0.6453133309473601,↓ LBH,3
verb_impv·subs·nmpr,0.6411552768966728,↑ LBH,3
subs·nmpr·verb_impv,0.6396937956504324,↑ LBH,3
verb_wayq·subs·adjv,-0.6341065348065454,↓ LBH,3
subs·verb_impv,0.6320911446021749,↑ LBH,2
verb_perf·verb_impv,0.6270639521297129,↑ LBH,2
verb_impf·subs,0.6258552678392835,↑ LBH,2
verb_perf·prep·verb_infc,-0.6252618009707975,↓ LBH,3
prep·verb_infc,-0.6247214720642124,↓ LBH,2
nmpr·nega,0.6205234255493803,↑ LBH,2
prps·verb_impf,0.6203203182134852,↑ LBH,2
nmpr·verb_impf·subs,0.6203091351761768,↑ LBH,3
nega·verb_impf,0.6071476375506092,↑ LBH,2
verb_infc·art,-0.6066112051993178,↓ LBH,2
conj·art·adjv,-0.6026215849305905,↓ LBH,3
nmpr·verb_impf·conj,0.6009629139468908,↑ LBH,3
subs·art·subs,-0.5975103734625044,↓ LBH,3
subs·nmpr·verb_impf,0.5973910689902971,↑ LBH,3
verb_perf·subs·nmpr,0.5969304597589092,↑ LBH,3
conj·prep·conj,-0.5953584714040534,↓ LBH,3
advb·verb_impf·prep,0.5930784378161866,↑ LBH,3
art·subs·verb_ptca,-0.5930784378161866,↓ LBH,3
art·subs·conj,-0.5929751903622197,↓ LBH,3
verb_impf·conj·nmpr,0.5914935580442199,↑ LBH,3
prep·verb_infc·prep,-0.5895738030370061,↓ LBH,3
verb_impf·prep,0.588440007261935,↑ LBH,2
art·prps·verb_impf,0.5806933842224162,↑ LBH,3
art·subs,-0.5805034368364368,↓ LBH,2
