unit,partA_char,partA_word,partB_char,partB_word,shift_char,shift_word
Genesis,543.2,490.2,492.5,513.2,-50.7,23.0
Exodus,529.4,501.7,347.3,494.8,-182.1,-6.9
Leviticus,384.2,481.0,395.7,494.8,11.5,13.8
Numbers,384.2,517.8,333.5,522.4,-50.7,4.6
Deuteronomy,404.9,425.7,536.3,432.6,131.4,6.9
D_Code,331.2,398.0,400.3,416.4,69.1,18.4
D_Frame,434.9,432.6,610.0,434.9,175.2,2.3
D_Song,649.2,522.4,663.0,552.4,13.8,30.0
Lev_Holiness,464.8,529.4,402.6,534.0,-62.2,4.6
Lev_Priestly,326.6,448.7,400.3,464.8,73.7,16.1
D_source,404.9,425.7,536.3,432.6,131.4,6.9
P_source,455.6,499.4,308.1,497.1,-147.5,-2.3
JE_source,501.7,499.4,522.4,515.5,20.7,16.1
Joshua,377.3,517.8,513.2,510.9,136.0,-6.9
Judges,513.2,481.0,441.8,506.3,-71.4,25.4
1_Samuel,499.4,485.6,497.1,504.0,-2.3,18.4
2_Samuel,517.8,538.6,474.0,538.6,-43.8,0.0
1_Kings,411.8,504.0,351.9,490.2,-59.9,-13.8
2_Kings,568.5,527.1,448.7,520.1,-119.8,-6.9
Jer_DTR,510.9,536.3,550.1,527.1,39.2,-9.2
Jer_oracle,610.0,607.7,656.1,614.6,46.1,6.9
Song_Sea,531.7,794.4,478.7,773.6,-53.0,-20.7
Song_Deborah,494.8,752.9,478.7,720.6,-16.1,-32.3
