window_centre_date,window_date_range,books,Wayyiqtol rate (per 1k words),Participle rate (per 1k words),Fraction אני (newer 1sg pronoun),Fraction ש (LBH relative particle),Fraction אין (negative existential)
707.0,760–630 BCE,"Amos, Hosea, Micah, Isaiah_1, Zephaniah",10.911367498434846,33.85207047670155,0.5591899542331759,0.0,0.1307929085176728
679.0,725–620 BCE,"Hosea, Micah, Isaiah_1, Zephaniah, Nahum",10.773317591499412,35.61589925226289,0.6256704363106427,0.0,0.15093817805146076
655.0,720–605 BCE,"Micah, Isaiah_1, Zephaniah, Nahum, Habakkuk",10.509430831351294,37.55738702361856,0.6639062585523094,0.0,0.14287596168362163
629.0,700–590 BCE,"Isaiah_1, Zephaniah, Nahum, Habakkuk, Jeremiah",14.525261324041812,30.4006968641115,0.6173837231082548,0.0,0.1449502765751943
606.2,630–586 BCE,"Zephaniah, Nahum, Habakkuk, Jeremiah, Lamentations",15.540874829021273,28.37519280579727,0.6403254041808258,0.017416883631487398,0.15617713876910458
594.2,620–570 BCE,"Nahum, Habakkuk, Jeremiah, Lamentations, Ezekiel",17.561254327294726,24.585756058212617,0.7916189022605952,0.01005716294930828,0.11701033948708524
580.2,605–550 BCE,"Habakkuk, Jeremiah, Lamentations, Ezekiel, Isaiah_2",16.899748829421068,25.613197308443674,0.7873152101857779,0.009278761178044877,0.12256849872475524
563.2,590–520 BCE,"Jeremiah, Lamentations, Ezekiel, Isaiah_2, Haggai",16.920500015509166,25.341977108471106,0.7872492389119126,0.009281639294977178,0.12842396248288543
548.8,586–518 BCE,"Lamentations, Ezekiel, Isaiah_2, Haggai, Zechariah_1",18.884650513082253,24.68704668779885,0.9562864117827283,0.016076439543908517,0.11060664353950486
531.6,570–500 BCE,"Ezekiel, Isaiah_2, Haggai, Zechariah_1, Isaiah_3",18.142160636386965,25.917372337695664,0.9477246362877844,0.0,0.11093167972456389
509.6,550–460 BCE,"Isaiah_2, Haggai, Zechariah_1, Isaiah_3, Malachi",14.45438282647585,38.64042933810376,0.855810515345399,0.0,0.2075395935410247
479.6,520–400 BCE,"Haggai, Zechariah_1, Isaiah_3, Malachi, Jonah",25.699414443721537,34.26588592496205,0.9107345099537684,0.021361960529169378,0.17690143683637502
445.6,518–350 BCE,"Zechariah_1, Isaiah_3, Malachi, Jonah, Chronicles",38.30566685746995,20.08013737836291,0.9550570402161148,0.009173007988993896,0.1380004798709589
412.0,500–350 BCE,"Isaiah_3, Malachi, Jonah, Chronicles, Esther",37.89400157164062,19.972932856020257,0.9571535019523009,0.008745113156363145,0.15249769866885843
378.0,460–330 BCE,"Malachi, Jonah, Chronicles, Esther, Ecclesiastes",36.802139960307194,19.24238502027785,0.9664985141152752,0.048192950164049064,0.17390400099031894
319.4,400–167 BCE,"Jonah, Chronicles, Esther, Ecclesiastes, Daniel",33.73340095039538,22.25728292105708,0.9669908656088964,0.04196075201075597,0.15706851557350837
