unit,genre,n_words,Raw,B,D,B+D,delta_B,delta_D,delta_BD,ci68_lo_raw,ci68_hi_raw,ci68_lo_bd,ci68_hi_bd
Genesis,narrative,28764,416.0,430.0,410.0,423.0,14.0,-7.0,7.0,384.0,449.0,386.0,460.0
Exodus,narrative,23315,400.0,393.0,398.0,396.0,-7.0,-2.0,-5.0,366.0,433.0,357.0,433.0
Leviticus,legal,17099,400.0,412.0,414.0,421.0,12.0,14.0,21.0,363.0,439.0,375.0,467.0
Numbers,narrative,23188,333.0,306.0,317.0,290.0,-28.0,-16.0,-44.0,301.0,368.0,251.0,329.0
Deuteronomy,legal,20128,292.0,320.0,320.0,336.0,28.0,28.0,44.0,257.0,329.0,292.0,380.0
D_Code,legal,7353,292.0,299.0,310.0,317.0,7.0,18.0,25.0,232.0,350.0,246.0,386.0
D_Frame,narrative,11993,274.0,308.0,292.0,317.0,35.0,18.0,44.0,227.0,320.0,264.0,370.0
D_Song,other,782,679.0,748.0,679.0,748.0,69.0,0.0,69.0,608.0,751.0,670.0,824.0
Lev_Holiness,legal,5958,301.0,310.0,317.0,322.0,9.0,16.0,21.0,234.0,366.0,244.0,398.0
Lev_Priestly,legal,10496,465.0,476.0,476.0,483.0,12.0,12.0,18.0,414.0,513.0,426.0,543.0
D_source,legal,20128,292.0,320.0,320.0,336.0,28.0,28.0,44.0,257.0,329.0,292.0,380.0
P_source,legal,53645,361.0,350.0,352.0,343.0,-12.0,-9.0,-18.0,329.0,393.0,304.0,380.0
JE_source,narrative,40867,435.0,451.0,433.0,444.0,16.0,-2.0,9.0,403.0,467.0,407.0,481.0
Joshua,narrative,14526,345.0,377.0,352.0,377.0,32.0,7.0,32.0,304.0,386.0,329.0,426.0
Judges,narrative,13624,490.0,506.0,479.0,492.0,16.0,-12.0,2.0,446.0,534.0,442.0,541.0
1_Samuel,narrative,18929,458.0,483.0,460.0,481.0,25.0,2.0,23.0,421.0,495.0,439.0,525.0
2_Samuel,narrative,15612,449.0,472.0,446.0,465.0,23.0,-2.0,16.0,407.0,490.0,416.0,511.0
1_Kings,narrative,18685,423.0,426.0,421.0,423.0,2.0,-2.0,0.0,386.0,460.0,382.0,467.0
2_Kings,narrative,17307,555.0,585.0,559.0,585.0,30.0,5.0,30.0,516.0,594.0,539.0,628.0
Jer_DTR,narrative,15197,412.0,439.0,423.0,442.0,28.0,12.0,30.0,370.0,453.0,393.0,490.0
Jer_oracle,other,14539,562.0,569.0,562.0,569.0,7.0,0.0,7.0,520.0,605.0,522.0,615.0
Song_Sea,other,433,852.0,829.0,852.0,829.0,-23.0,0.0,-23.0,781.0,923.0,753.0,907.0
Song_Deborah,other,462,585.0,502.0,585.0,502.0,-83.0,0.0,-83.0,513.0,654.0,423.0,578.0
