feature,genre_ratio,b_weight,type
frac_wqtl_wayq,0.8991694437187167,0.5265459610817689,tier3
lex::CM,0.7257065788196441,0.579472786552152,lex
frac_ani,0.5337190383001378,0.6520099020928416,ratio
vt::impv,0.4812472092677022,0.6751067571593125,vbt
morph::abs_count,0.3634314008257957,0.7334435743480203,morph
frac_fronted,0.3534130091334288,0.7388727559522172,tier3
lex::<L,0.3048606432393497,0.7663653626010779,lex
lex::L>,0.26640405605785206,0.7896373951240077,lex
lex::W,0.22123553147192127,0.8188428638288372,lex
vs::qal,0.19256327518452762,0.8385299302842174,vbt
vt::impf,0.18565171211815729,0.843418003600322,vbt
lex::B,0.16994400212487018,0.8547417638654369,lex
rate_ut_nouns,0.15040010106394006,0.8692627887246851,ratio
lex::ZH,0.14588739384708996,0.8726860993231613,lex
lex::>CR,0.11709860645983555,0.8951761234123017,lex
frac_null_subj,0.09274232821713313,0.9151288223926979,tier3
lex::HW>,0.07793378912181705,0.9277007642692887,lex
vs::piel,0.06307823565630453,0.9406645404443237,vbt
vt::infc,0.05822743288531276,0.944976447334622,vbt
vt::perf,0.042901868491012456,0.958862986262468,vbt
lex::KMW,0.028149990815092965,0.9726207352365228,lex
vs::hif,0.027987659047092547,0.9727743238931137,vbt
lex::LM<N,0.017709100207257945,0.9825990548736849,lex
frac_infc,0.014954186018191054,0.9852661467638669,tier3
lex::L,0.014007126008553384,0.9861863633407687,lex
vs::nif,0.013537490164206094,0.9866433256829871,vbt
lex::>JK,0.011424420486733661,0.9887046226536276,lex
lex::K,0.008314917985848496,0.9917536497402438,lex
lex::KJ,0.0019319005307504313,0.9980718245124971,lex
lex::LKN,0.0017662684519240757,0.9982368457518003,lex
morph::prs_rate,0.00010953544857023632,0.9998904765481301,morph
lex::>LH,6.455536541701163e-05,0.9999354488017091,lex
frac_she,3.1281833859850324e-05,0.9999687191446626,ratio
lex::C,6.722311288514619e-06,0.9999932777339007,lex
lex::HWJ,0.0,1.0,lex
lex::>DJN,0.0,1.0,lex
