test,block,n,n_pos,n_features,auc,null_mean,perm_p
REF Atticizing vs Classical,grammatical,31,14,27,0.58,0.455,0.167
REF Atticizing vs Classical,word_bigrams,31,14,286,0.824,0.476,0.0
REF Atticizing vs Classical,char_ngrams_3,31,14,200,0.887,0.433,0.0
REF Atticizing vs Classical,char_ngrams_4,31,14,190,0.937,0.453,0.0
T1 Koine vs Classical,grammatical,40,23,27,0.829,0.486,0.0
T1 Koine vs Classical,word_bigrams,40,23,297,0.905,0.459,0.0
T1 Koine vs Classical,char_ngrams_3,40,23,200,0.931,0.497,0.0
T1 Koine vs Classical,char_ngrams_4,40,23,200,0.931,0.48,0.0
T2 Atticizing vs contemp. Koine,grammatical,37,14,27,0.599,0.462,0.133
T2 Atticizing vs contemp. Koine,word_bigrams,37,14,296,0.632,0.475,0.1
T2 Atticizing vs contemp. Koine,char_ngrams_3,37,14,200,0.63,0.467,0.1
T2 Atticizing vs contemp. Koine,char_ngrams_4,37,14,200,0.64,0.493,0.167
T3 placebo within-Classical,grammatical,17,6,26,0.939,0.452,0.0
T3 placebo within-Classical,word_bigrams,17,6,274,0.803,0.456,0.05
T3 placebo within-Classical,char_ngrams_3,17,6,200,0.864,0.455,0.017
T3 placebo within-Classical,char_ngrams_4,17,6,187,0.894,0.446,0.0
