text,truth,pred,resid,register
herodotus_histories,-440,-437,-3,ancient_Attic
thucydides_history,-410,-212,-198,ancient_Attic
andocides_orations,-400,-562,162,ancient_Attic
lysias_orations,-390,-398,8,ancient_Attic
isocrates_panegyricus,-375,-281,-94,ancient_Attic
plato_republic,-375,-340,-35,ancient_Attic
xenophon_anabasis,-370,-432,62,ancient_Attic
xenophon_hellenica,-355,-452,97,ancient_Attic
plato_laws,-350,-159,-191,ancient_Attic
demosthenes_philippics,-350,-304,-46,ancient_Attic
aeneas_tacticus,-350,-461,111,ancient_Attic
aeschines_orations,-345,46,-391,ancient_Attic
hyperides_orations,-340,-281,-59,ancient_Attic
aristotle_nicomachean,-335,-384,49,ancient_Attic
aristotle_politics,-335,-76,-259,ancient_Attic
theophrastus_characters,-315,-245,-70,ancient_Attic
theophrastus_historia_plantarum,-310,-405,95,ancient_Attic
polybius_histories,-160,231,-391,Koine
apollodorus_library,-150,102,-252,Koine
diodorus_siculus,-50,-294,244,Koine
philo_de_vita_mosis,40,267,-227,Koine
philo_de_opificio,40,124,-84,Koine
vita_aesopi,50,160,-110,Koine
mark_gospel,70,56,14,Koine
josephus_jewish_war,80,101,-21,Koine
matthew_gospel,85,303,-218,Koine
josephus_antiquities,93,192,-99,Koine
john_gospel,100,218,-118,Koine
chariton_callirhoe,100,-111,211,Koine
ignatius_letters,108,134,-26,Koine
epictetus_discourses,108,19,89,Koine
luke_gospel,120,191,-71,Koine
achilles_tatius,150,149,1,Koine
appian_roman_history,155,-236,391,Koine
galen_natural_faculties,180,-10,190,Koine
clement_stromateis,200,388,-188,Koine
aelian_various_history,220,-40,260,Koine
diogenes_laertius_lives,230,10,220,Koine
plotinus_enneads,265,-111,376,Koine
porphyry_life_plotinus,290,78,212,Koine
iamblichus_pythagorean,305,-47,352,Koine
eusebius_church_history,315,307,8,Koine
