id,group,source,scholar_bce,scholar_sig,map_A,lo68_A,hi68_A,map_B,lo68_B,hi68_B,map_C,shift_AB,verdict
Habakkuk,SBH,holdout,605,20,647.2578077004993,663.3797164082574,630.2402373978657,787.6052420053218,817.7382684312731,754.1241015320428,792.1488999208655,-140.3474343048225,prior-dominated
Haggai,Transitional,holdout,520,5,520.9695228230604,526.3434923923132,516.4912148486832,613.5033115442708,650.3325660648777,546.5410305977127,592.6066675611511,-92.53378872121039,prior-dominated
Daniel,LBH,holdout,167,10,182.31419524759968,191.50104142658444,172.20866445071647,345.65418775803835,372.4391001366617,318.86927537941506,322.6377649568319,-163.33999251043866,prior-dominated
D_source,LBH,unknown,625,100,550.241284719979,564.5322987999871,376.70754231988076,372.4391001366617,449.44572322520344,328.91361752139875,416.53999194963825,177.80218458331734,prior-dominated
P_source,LBH,unknown,600,100,402.2353459217416,436.09124355091035,369.3752099875484,405.9202406099407,446.0976091778754,365.74287204200573,346.1133217050335,-3.6848946881991083,data-driven
JE_source,LBH,unknown,800,75,547.7417434471664,577.3300119142091,509.38658061951867,375.7872141839894,436.05326703589174,342.3060737107104,393.0644352014367,171.954529263177,prior-dominated
Jer_oracle,SBH,sub-source,605,30,633.8228837773675,656.2144236492538,611.4313439054812,660.3769082068615,697.2061627274684,630.2438817809104,674.7711161798566,-26.554024429494007,data-driven
Jer_DTR,Transitional,sub-source,570,60,594.4137736028476,617.7009750696093,571.1265721360858,543.1929165503848,569.9778289290081,513.0598901244338,299.16220820862935,51.22085705246286,mildly prior-influenced
D_Code,SBH,sub-source,620,40,686.6669178750192,711.7454425315318,662.484054813382,737.3835312954034,770.8646717686825,707.2505048694521,709.984451302159,-50.71661342038419,mildly prior-influenced
D_Frame,SBH,sub-source,620,40,693.8322106340228,717.1194121007845,663.3797164082574,713.946732964108,744.079759390059,683.8137065381568,709.984451302159,-20.114522330085265,data-driven
D_Song,SBH,sub-source,900,300,722.9617293663663,863.063957925357,700.0359101476223,780.9090139106661,871.3080931885195,760.8203296266987,803.8866782949663,-57.947284544299805,mildly prior-influenced
Lev_Holiness,SBH,sub-source,580,80,614.1183286901075,642.779499726122,591.7267888182212,660.3769082068615,693.8580486801404,630.2438817809104,721.7222296762598,-46.25857951675391,mildly prior-influenced
Lev_Priestly,SBH,sub-source,520,80,626.6575910183639,654.423100459503,597.1007583874739,673.769364396173,700.5542767747963,636.9401098755661,674.7711161798566,-47.111773377809186,mildly prior-influenced
Song_Sea,SBH,sub-source,1100,300,711.5347299046165,742.1024888629418,683.5142841928183,690.5099346328127,723.9910751060918,660.3769082068615,721.7222296762598,21.024795271803782,data-driven
Song_Deborah,SBH,sub-source,1150,200,706.405217993972,737.552620328796,675.2578156591478,740.7316453427311,770.8646717686825,707.2505048694521,698.2466729280582,-34.326427348759125,mildly prior-influenced
