id,group,holdout,scholarly_date_bce,scholarly_date_ce,hb_map_ce,hb_map_bce,hb_ci68_lo_ce,hb_ci68_hi_ce,hb_post_std,hb_z_score,hb_scholar_in68
Amos,SBH,False,760.0,-760.0,-759.2912656703697,759.2912656703697,-777.7912310519844,-740.7913002887551,18.663507896738235,0.03543671648151303,True
Hosea,SBH,False,745.0,-745.0,-745.4109514253946,745.4109514253946,-768.1871027664165,-722.6348000843727,23.018894792031368,-0.01643805701578458,True
Micah,SBH,False,725.0,-725.0,-722.9713184982186,722.9713184982186,-745.4222278737933,-700.1853209230082,22.738479820490316,0.08114726007125682,True
Zephaniah,SBH,False,630.0,-630.0,-625.8774906317988,625.8774906317988,-644.6369510051943,-606.8154583168969,18.94252560707425,0.2061254684100618,True
Nahum,SBH,False,650.0,-650.0,-624.3646309242669,624.3646309242669,-647.9652423617645,-599.8563036622501,24.169159185789226,1.0254147630293255,False
Habakkuk,SBH,True,605.0,-605.0,-606.210314433884,606.210314433884,-624.3646309242669,-588.0559979435013,18.36487643587709,-0.06051572169420183,True
Isaiah_1,SBH,False,720.0,-720.0,-709.6154327012192,709.6154327012192,-735.3098290645729,-684.6062202408883,25.459117787544336,0.3461522432926927,True
Jer_oracle,SBH,True,605.0,-605.0,-630.7186416959008,630.7186416959008,-656.1346847824368,-605.302598609365,25.51846435321354,-0.8572880565300276,False
Lamentations,Transitional,False,570.0,-570.0,-552.2914858790882,552.2914858790882,-584.5868023685738,-520.6113182751167,32.216531232369924,0.3541702824182357,True
Ezekiel,Transitional,False,580.0,-580.0,-585.6354224114502,585.6354224114502,-604.0923108433394,-567.178533979561,18.492697692032532,-0.2817711205725118,True
Obadiah,Transitional,False,585.0,-585.0,-625.7014049387974,625.7014049387974,-674.4654721920555,-583.6892854590674,45.84882002330849,-0.5087675617349674,True
Joel,Transitional,False,400.0,-400.0,-432.7110986538761,432.7110986538761,-476.7577265442439,-386.7212371801097,46.4534051982866,-0.21807399102584063,True
Jonah,Transitional,False,400.0,-400.0,-430.62826874161044,430.62826874161044,-466.77809182885915,-390.6549066739795,38.3515069765975,-0.5104711456935074,True
Malachi,Transitional,False,460.0,-460.0,-456.437203388226,456.437203388226,-478.8275270596981,-434.0468797167539,22.598893424638597,0.14251186447095962,True
Haggai,Transitional,True,520.0,-520.0,-519.6747391630594,519.6747391630594,-529.3570412912636,-509.6898650933488,9.856857656897995,0.03252608369406289,True
Isaiah_2,Transitional,False,545.0,-545.0,-542.0650628345315,542.0650628345315,-559.9168073834079,-523.6081744026424,18.374875123336693,0.14674685827342274,True
Isaiah_3,Transitional,False,400.0,-400.0,-424.8442685164855,424.8442685164855,-469.1610718161624,-379.6321762612596,44.975284604437626,-0.248442685164855,True
