id,group,source,scholar_bce,scholar_sig,map_A,lo68_A,hi68_A,map_B,lo68_B,hi68_B,map_C,shift_AB,verdict
Habakkuk,SBH,holdout,605,20,646.3621461056238,662.484054813382,629.3445758029902,784.257127957994,814.3901543839452,750.7759874847147,792.1488999208655,-137.89498185237028,prior-dominated
Haggai,Transitional,holdout,520,5,521.8651844179359,526.3434923923132,517.3868764435587,553.2372586923684,576.6740570236637,529.8004603610731,639.5577810575542,-31.37207427443252,mildly prior-influenced
Daniel,LBH,holdout,167,10,187.82630295499047,197.93183375187374,178.63945677600572,285.3881349061361,308.8249332374314,261.95133657484075,205.25998121582307,-97.56183195114562,prior-dominated
D_source,LBH,unknown,625,100,370.5828219998773,396.1024899998917,346.08394071986345,379.13532823131743,405.9202406099407,352.3504158526941,357.8511000791343,-8.552506231440134,data-driven
P_source,LBH,unknown,600,100,394.26925236193716,412.19296287149706,318.59136354379507,355.6985299000221,382.4834422786454,332.26173156872676,369.5888784532351,38.57072246191507,mildly prior-influenced
JE_source,LBH,unknown,800,75,464.45624702141686,485.27762112785433,443.63487291497955,325.565503474071,352.3504158526941,302.1287051427757,369.5888784532351,138.89074354734583,prior-dominated
Jer_oracle,SBH,sub-source,605,30,633.8228837773675,656.2144236492538,611.4313439054812,660.3769082068615,697.2061627274684,630.2438817809104,674.7711161798566,-26.554024429494007,data-driven
Jer_DTR,Transitional,sub-source,570,60,594.4137736028476,617.7009750696093,571.1265721360858,543.1929165503848,569.9778289290081,513.0598901244338,299.16220820862935,51.22085705246286,mildly prior-influenced
D_Code,SBH,sub-source,620,40,686.6669178750192,711.7454425315318,662.484054813382,737.3835312954034,770.8646717686825,707.2505048694521,709.984451302159,-50.71661342038419,mildly prior-influenced
D_Frame,SBH,sub-source,620,40,693.8322106340228,717.1194121007845,663.3797164082574,713.946732964108,744.079759390059,683.8137065381568,709.984451302159,-20.114522330085265,data-driven
D_Song,SBH,sub-source,900,300,722.9617293663663,863.063957925357,700.0359101476223,780.9090139106661,871.3080931885195,760.8203296266987,803.8866782949663,-57.947284544299805,mildly prior-influenced
Lev_Holiness,SBH,sub-source,580,80,614.1183286901075,642.779499726122,591.7267888182212,660.3769082068615,693.8580486801404,630.2438817809104,721.7222296762598,-46.25857951675391,mildly prior-influenced
Lev_Priestly,SBH,sub-source,520,80,626.6575910183639,654.423100459503,597.1007583874739,673.769364396173,700.5542767747963,636.9401098755661,674.7711161798566,-47.111773377809186,mildly prior-influenced
Song_Sea,SBH,sub-source,1100,300,711.5347299046165,742.1024888629418,683.5142841928183,690.5099346328127,723.9910751060918,660.3769082068615,721.7222296762598,21.024795271803782,data-driven
Song_Deborah,SBH,sub-source,1150,200,706.405217993972,737.552620328796,675.2578156591478,740.7316453427311,770.8646717686825,707.2505048694521,698.2466729280582,-34.326427348759125,mildly prior-influenced
