unit,truth,rate,n_sub,n_words,pred
Chronicles,330,0.0,0,35330,275.43898528775776
Chronicles,330,0.25,23,35330,275.43898528775776
Chronicles,330,0.5,47,35330,275.43898528775776
Chronicles,330,0.75,71,35330,275.43898528775776
Chronicles,330,1.0,94,35330,275.43898528775776
Esther,300,0.0,0,4621,125.90351745407025
Esther,300,0.25,10,4621,125.90351745407025
Esther,300,0.5,21,4621,125.27494546635626
Esther,300,0.75,32,4621,125.90351745407025
Esther,300,1.0,42,4621,134.95321908636356
Ecclesiastes,250,0.0,0,4233,386.0567904900744
Ecclesiastes,250,0.25,35,4233,392.3692408049787
Ecclesiastes,250,0.5,70,4233,396.44696421635746
Ecclesiastes,250,0.75,107,4233,417.62317294719946
Ecclesiastes,250,1.0,142,4233,417.43182667239404
Daniel,167,0.0,0,3437,383.8833849732632
Daniel,167,0.25,12,3437,393.67055936599843
Daniel,167,0.5,24,3437,399.13940540387
Daniel,167,0.75,35,3437,399.13940540387
Daniel,167,1.0,47,3437,408.92657979660515
Ezra,380,0.0,0,5268,179.18851560264164
Ezra,380,0.25,3,5268,179.18851560264164
Ezra,380,0.5,6,5268,182.39656795737568
Ezra,380,0.75,10,5268,178.99915823170386
Ezra,380,1.0,13,5268,182.2072105864379
Nehemiah,380,0.0,0,7842,139.1226250773256
Nehemiah,380,0.25,7,7842,139.1226250773256
Nehemiah,380,0.5,15,7842,141.05772739585643
Nehemiah,380,0.75,21,7842,129.19188826799302
Nehemiah,380,1.0,28,7842,138.813021840273
