unit,truth,pred,sd,n_chunks,hp,err
Amos,760.0,586.3593219012928,19.23078891483549,5,1000.0,173.6406780987072
Hosea,745.0,547.1496777716383,42.901341232038824,6,1000.0,197.85032222836173
Micah,725.0,579.3012761416583,34.52256857697891,4,1000.0,145.69872385834174
Isaiah_1,720.0,514.2530704447324,53.441296029606434,26,1.0,205.74692955526757
Nahum,650.0,619.1447566555576,0.0,1,1000.0,30.855243344442442
Zephaniah,630.0,593.9603451609805,60.80166482870459,2,1000.0,36.03965483901948
Habakkuk,605.0,612.0402065034502,21.657455551698206,2,1000.0,7.040206503450236
Jer_oracle,605.0,613.4990655188158,60.49319968307654,29,316.2277660168379,8.499065518815769
Obadiah,585.0,567.3503615506836,0.0,1,1000.0,17.6496384493164
Ezekiel,580.0,521.3479590091009,101.18301625492359,51,316.2277660168379,58.65204099089908
Lamentations,570.0,627.1602249567707,36.722736821148665,4,1000.0,57.16022495677066
Isaiah_2,545.0,615.0898642933398,37.60564165843015,11,1000.0,70.08986429333982
Haggai,520.0,542.6617146674639,53.080809847617274,2,1000.0,22.66171466746391
Zechariah_1,518.0,491.68215334059664,28.006815502655595,5,1000.0,26.317846659403358
Malachi,460.0,535.4809585035375,47.00883545748914,2,1000.0,75.48095850353752
Joel,400.0,559.1826266153507,60.43737419162696,3,1000.0,159.18262661535073
Jonah,400.0,459.96925876139437,1.9304763543906915,2,1000.0,59.96925876139437
Isaiah_3,400.0,547.2824212484312,40.48198684050829,7,1000.0,147.2824212484312
Ezra,380.0,377.21055279332745,49.15009129350069,10,1000.0,2.7894472066725484
Nehemiah,380.0,358.27846813761084,49.96961148621936,15,316.2277660168379,21.721531862389156
Zechariah_2,350.0,612.8327098193429,26.614170107373756,4,316.2277660168379,262.8327098193429
Chronicles,330.0,446.6482944668319,53.42701815626884,69,1000.0,116.64829446683189
Esther,300.0,370.049588898479,27.160720747964746,9,1000.0,70.04958889847899
Ecclesiastes,250.0,450.628980256659,55.773943477379255,8,1000.0,200.62898025665902
Daniel,167.0,471.62795626924054,53.43798924371594,7,316.2277660168379,304.62795626924054
