unit,chunk,n,phrase_overlap,phrase_full,phrase_partial,clause_overlap,clause_full,clause_partial,sentence_overlap,sentence_full,sentence_partial
Isaiah_1,0,530,356,356,0,139,139,0,113,113,0
Isaiah_1,1,508,281,281,0,101,101,0,63,63,0
Isaiah_1,2,503,285,285,0,102,102,0,73,73,0
Isaiah_1,3,501,335,335,0,115,115,0,90,90,0
Isaiah_1,4,520,301,301,0,112,112,0,85,85,0
Isaiah_1,5,525,310,310,0,112,112,0,83,83,0
Isaiah_1,6,508,332,332,0,109,109,0,80,80,0
Isaiah_1,7,502,301,301,0,101,101,0,79,79,0
Isaiah_1,8,516,311,311,0,106,106,0,87,87,0
Isaiah_1,9,508,341,341,0,121,121,0,96,95,1
Isaiah_1,10,523,351,351,0,129,129,0,104,103,1
Isaiah_1,11,508,282,282,0,105,105,0,70,70,0
Isaiah_1,12,507,292,292,0,98,98,0,70,70,0
Isaiah_1,13,504,301,301,0,128,128,0,99,99,0
Isaiah_1,14,505,316,316,0,129,129,0,94,94,0
Isaiah_1,15,513,302,302,0,114,114,0,98,98,0
Isaiah_1,16,520,336,336,0,140,140,0,111,111,0
Isaiah_1,17,505,313,313,0,121,121,0,90,90,0
Isaiah_1,18,508,345,345,0,116,116,0,92,92,0
Isaiah_1,19,500,307,307,0,118,118,0,77,77,0
Isaiah_1,20,507,331,331,0,111,111,0,79,79,0
Isaiah_1,21,501,348,348,0,154,154,0,108,108,0
Isaiah_1,22,515,326,326,0,107,107,0,92,92,0
Isaiah_1,23,515,295,295,0,100,100,0,74,74,0
Isaiah_1,24,505,314,314,0,117,117,0,79,79,0
Isaiah_1,25,747,473,473,0,164,164,0,127,127,0
Isaiah_2,0,506,376,376,0,137,137,0,119,119,0
Isaiah_2,1,504,387,387,0,163,163,0,132,132,0
Isaiah_2,2,506,371,371,0,154,154,0,110,110,0
Isaiah_2,3,515,396,396,0,151,151,0,116,116,0
Isaiah_2,4,529,413,413,0,170,170,0,121,121,0
Isaiah_2,5,514,410,410,0,170,170,0,126,126,0
Isaiah_2,6,510,382,382,0,159,159,0,106,106,0
Isaiah_2,7,531,398,398,0,145,145,0,108,108,0
Isaiah_2,8,501,362,362,0,142,142,0,91,91,0
Isaiah_2,9,501,356,356,0,142,142,0,104,104,0
Isaiah_2,10,621,449,449,0,162,162,0,121,121,0
Isaiah_3,0,505,347,347,0,143,143,0,90,90,0
Isaiah_3,1,500,369,369,0,131,131,0,100,100,0
Isaiah_3,2,505,355,355,0,126,126,0,101,101,0
Isaiah_3,3,506,345,345,0,116,116,0,69,69,0
Isaiah_3,4,501,348,348,0,130,130,0,88,88,0
