book,truth,pred,resid,n_chunks,n_words,chunk_sd,p_post
Amos,760,623,137,5,2780,40,0.44
Hosea,745,563,182,6,3146,85,0.6
Micah,725,626,99,4,1895,67,0.44
Isaiah_1,720,439,281,26,13504,95,0.84
Nahum,650,684,-34,1,746,0,0.28
Zephaniah,630,661,-31,2,1037,118,0.32
Habakkuk,605,685,-80,2,897,43,0.28
Jer_oracle,605,670,-65,28,14520,80,0.28
Obadiah,585,625,-40,1,392,0,0.44
Ezekiel,580,469,111,51,26182,154,0.76
Lamentations,570,696,-126,4,1945,68,0.28
Isaiah_2,545,667,-122,11,5738,71,0.28
Haggai,520,551,-31,2,877,111,0.6
Zechariah_1,518,431,87,5,2484,52,0.84
Malachi,460,515,-55,2,1187,86,0.64
Joel,400,566,-166,3,1318,109,0.6
Jonah,400,349,51,2,985,10,0.96
Isaiah_3,400,515,-115,7,3689,72,0.64
Ezra,380,184,196,7,3745,55,1.0
Nehemiah,380,188,192,15,7842,83,1.0
Zechariah_2,350,544,-194,4,1987,49,0.6
Chronicles,330,324,6,69,35330,110,0.96
Esther,300,171,129,9,4621,54,1.0
Ecclesiastes,250,379,-129,8,4233,120,0.96
Daniel,167,449,-282,7,3437,104,0.8
