rho,pair,mae
1.490181972330134885e-01,5.491525423728813582e-01,1.704033356070418108e+02
-3.118985523481677610e-02,5.016949152542372614e-01,1.761234347834659957e+02
4.046979981702769069e-01,6.576271186440677541e-01,1.263735865765137021e+02
2.175588667613762572e-01,6.169491525423729250e-01,1.764965041728226822e+02
3.504045464652255082e-01,6.338983050847457612e-01,1.557166585094398101e+02
-1.659608346445188842e-01,4.779661016949152685e-01,1.890121485493952491e+02
-1.220640013510730648e-01,4.711864406779661119e-01,1.716327111127477849e+02
2.271853652906406784e-02,5.152542372881355748e-01,1.567602441535178741e+02
2.764730377604746048e-01,6.813559322033898580e-01,1.550307314852359468e+02
-1.386215788214079092e-01,4.440677966101694851e-01,1.822344582393478447e+02
-3.053525333482679516e-01,4.169491525423728584e-01,2.060204946920808027e+02
-9.433968558679148297e-02,4.915254237288135819e-01,1.790417024432861126e+02
-4.928767246983391942e-02,5.152542372881355748e-01,1.820798539088741848e+02
3.935312598763301417e-01,7.322033898305084776e-01,1.616563323233695542e+02
-1.755873331737833332e-01,4.440677966101694851e-01,2.104661016573624579e+02
-2.198692264083997316e-01,4.610169491525423768e-01,1.965973263062214471e+02
-2.040817688204060454e-01,4.542372881355932202e-01,2.054823952505288958e+02
-3.157491517598735170e-02,5.423728813559322015e-01,1.728374364047107576e+02
-4.312671341110467516e-02,4.881355932203390036e-01,2.128155694512927880e+02
7.123608911655683607e-02,5.254237288135593653e-01,1.808583305767785419e+02
2.321911445258582340e-01,6.271186440677966045e-01,1.562067040467560162e+02
2.887949558779331349e-01,6.406779661016949179e-01,1.618502984545760057e+02
-2.772431576428158184e-02,5.152542372881355748e-01,1.751649886413814272e+02
-3.850599411705774022e-02,4.983050847457627386e-01,1.722489952427043249e+02
2.672315991723807627e-01,5.999999999999999778e-01,1.471359506355665587e+02
-3.977669192292065392e-01,3.593220338983050821e-01,2.201889290430340509e+02
-2.156335670555233758e-02,4.881355932203390036e-01,1.974926392087465956e+02
-3.561804455827841664e-01,3.864406779661017088e-01,2.230238317766160208e+02
-4.066232978761298300e-01,3.491525423728813471e-01,2.073041639853060474e+02
2.117829676438176198e-02,5.932203389830508211e-01,1.647534502680986179e+02
3.673471838767309317e-01,6.203389830508474478e-01,1.520634352632781940e+02
2.310359647023465038e-02,5.152542372881355748e-01,1.552043713231631727e+02
4.890261252866334035e-02,5.186440677966102086e-01,1.680796369855232228e+02
-8.779366658689166658e-02,5.084745762711864181e-01,1.514300890724787791e+02
2.907202555837860025e-01,6.508474576271185974e-01,1.589884776212998361e+02
-7.701198823411549909e-04,4.949152542372881602e-01,1.504178290045773849e+02
3.061226532306091097e-01,6.711864406779660674e-01,1.593414342600686950e+02
-2.591453404077986300e-01,4.372881355932203284e-01,2.102140865586250982e+02
5.506357158739257768e-02,5.220338983050847315e-01,1.836513877122926317e+02
2.849443564662273304e-02,5.389830508474576787e-01,1.784707476245045825e+02
2.402774032904403667e-01,5.830508474576271416e-01,1.475318975622394078e+02
-6.399696222254998013e-01,2.881355932203389925e-01,2.116156309741209043e+02
-2.676166591135513140e-01,4.067796610169491789e-01,2.129247951829487420e+02
-6.160959058729239927e-03,5.050847457627118953e-01,1.801926377445181515e+02
-4.432039922873347026e-01,3.457627118644067687e-01,2.186133951375809659e+02
2.314210246435170759e-01,6.305084745762712384e-01,1.540760698050862914e+02
7.046596923421567793e-02,5.254237288135593653e-01,1.642167703303830706e+02
3.165192716422147168e-01,6.406779661016949179e-01,1.439336413749166184e+02
-3.434734675241550850e-01,3.762711864406779738e-01,2.346557825345524577e+02
4.073934177584709881e-01,6.305084745762712384e-01,1.424833760007690273e+02
-1.617251752916425700e-01,4.508474576271186418e-01,1.975920046876702827e+02
-2.283405451141524434e-01,4.338983050847457501e-01,2.132266962372308683e+02
-4.355027934639231213e-01,3.593220338983050821e-01,2.133235856113374780e+02
5.352333182271026835e-02,5.355932203389830448e-01,1.622099205127400410e+02
-2.360417439375639970e-01,4.203389830508474367e-01,2.128958562723500734e+02
3.292262497008437983e-01,6.101694915254237683e-01,1.405575501773230371e+02
2.541395611725811438e-02,5.288135593220338881e-01,1.919473174387758547e+02
-1.182134019393672880e-01,4.677966101694915335e-01,1.964907172169222633e+02
-5.117446618156975546e-01,3.355932203389830337e-01,2.336260563026504542e+02
1.270697805862905719e-02,5.118644067796610519e-01,1.983673503114262644e+02
2.279554851729818643e-01,6.508474576271185974e-01,1.527147319143026323e+02
-3.727380230531189831e-01,3.796610169491525522e-01,1.924176980529464345e+02
1.074317235865911296e-01,5.525423728813558810e-01,1.758038480127046626e+02
4.362729133462642794e-01,6.677966101694915446e-01,1.339263229225163059e+02
