id,group,holdout,true_register,prior,map_date,ci68_lo,ci68_hi,z,in_68,lik_map,lik_std,prior_prec,archaizing_flag,archaizing_index
Amos,SBH,False,SBH,760.0,759.9949974987494,758.344172086043,761.6458229114558,-0.0003335000833734133,True,759.9949974987494,1.7152772116252264,0.012907553860709714,,
Hosea,SBH,False,SBH,725.0,725.1175587793897,723.4067033516758,726.8284142071036,0.00587793896948483,True,725.1175587793897,1.7152772116252364,0.007301732329350741,,
Micah,SBH,False,SBH,720.0,719.8749374687344,718.1940970485243,721.5557778889445,-0.0062531265632799204,True,719.8749374687344,1.7152772116252173,0.007301732329350577,,
Isaiah_1,SBH,False,SBH,700.0,699.9049524762381,698.224112056028,701.7058529264632,-0.006336501584125169,True,699.9049524762381,1.7152772116252233,0.012907553860709665,,
Zephaniah,SBH,False,SBH,630.0,629.9649824912456,628.3691845922962,631.7058529264632,-0.002334500583629051,True,629.9649824912456,1.7152772116252237,0.012907553860709674,,
Nahum,SBH,False,SBH,620.0,620.1450725362681,618.3841920960481,621.7458729364682,0.007253626813405844,True,620.1450725362681,1.7152772116252215,0.007301732329350611,,
Habakkuk,Transitional,True,SBH,605.0,579.8974487243622,569.1670835417709,590.7903951975989,-1.255127563781889,False,569.4922461230615,12.93374530680304,0.29488303202640326,,
Jeremiah,Transitional,False,Transitional,590.0,559.8599299649825,550.1400700350175,569.7248624312156,-2.009338002334501,False,537.5187593796899,12.933745306802978,0.4264326855121722,,
Lamentations,Transitional,False,Transitional,586.0,587.1095547773887,576.3941970985493,597.9779889944973,0.05547773886943332,True,587.5687843921961,12.933745306802978,0.29488303202640614,,
Ezekiel,Transitional,False,Transitional,570.0,574.2421210605303,564.5172586293147,583.9669834917459,0.2828080707020187,True,577.3486743371686,12.933745306802566,0.4264326855121722,,
Isaiah_2,Transitional,False,Transitional,550.0,544.5272636318159,533.7218609304653,555.3326663331666,-0.27363681840920434,True,542.2311155577788,12.933745306802981,0.29488303202640614,,
Zechariah_1,Transitional,False,Transitional,518.0,518.6143071535768,514.0120060030015,523.216608304152,0.12286143071535208,True,522.7563781890946,12.933745306802976,0.8699824725761635,,
Isaiah_3,Transitional,False,Transitional,500.0,491.22061030515255,478.1640820410205,503.82691345672833,-0.08779389694847453,True,490.7703851925963,12.933745306802978,0.016452948928131005,,
Malachi,Transitional,False,Transitional,460.0,463.5217608804402,452.6663331665833,474.22211105552776,0.17608804402200917,True,464.9174587293647,12.933745306802974,0.29488303202640614,,
Daniel,Transitional,True,LBH,167.0,385.6783391695848,377.792396198099,393.5642821410705,21.867833916958478,False,640.0,1.4478676411658329,0.6258629951641936,,
Haggai,LBH,True,Transitional,520.0,361.2606303151576,359.55477738869433,362.96648324162084,-31.74787393696848,False,339.08454227113555,1.8718632714163206,0.12292617977443612,,
Jonah,LBH,False,LBH,400.0,399.8749374687344,398.1240620310155,401.87593796898454,-0.002501250625311968,True,399.8749374687344,1.8718632714164651,0.0013995872528566099,,
Chronicles,LBH,False,LBH,350.0,350.5952976488244,348.72436218109056,352.4662331165583,0.01984325496081283,True,350.5952976488244,1.8718632714164614,0.0038780930719281453,,
Esther,LBH,False,LBH,350.0,350.8754377188594,348.87443721860933,352.6263131565783,0.017508754377188324,True,350.8754377188594,1.8718632714164616,0.001399587252856605,,
Ezra,LBH,False,LBH,350.0,349.1245622811406,347.37368684342175,351.2256128064032,-0.011672502918125549,True,349.1245622811406,1.8718632714164567,0.0006225228207165361,,
Nehemiah,LBH,False,LBH,350.0,349.82491245622816,347.7238619309655,351.575787893947,-0.0023345005836245035,True,349.82491245622816,1.8718632714164603,0.0006225228207165384,,
Ecclesiastes,LBH,False,LBH,330.0,329.86493246623314,327.7638819409705,331.615807903952,-0.0016883441720857207,True,329.86493246623314,1.8718632714164583,0.0005471804463397761,,
D_source,LBH,,,625.0,345.18509254627315,341.5832916458229,348.78689344672335,,,344.7348674337169,3.5697043591052786,0.001272657200896581,False,-0.23854710881563632
P_source,LBH,,,600.0,348.09904952476234,344.49724862431214,351.7008504252126,,,347.64882441220607,3.56970435910528,0.0012726572008965823,False,0.1507349886739367
JE_source,LBH,,,800.0,347.02351175587796,343.5417708854427,350.50525262631317,,,346.15307653826915,3.5697043591052755,0.0022602643802410163,False,0.04904167727453209
