dropped,rho,pair,mae,d_rho
Nehemiah,0.5301417719631434,0.6801470588235294,124.5828856391438,-0.17143744084964874
Esther,0.5328694139889807,0.6900369003690037,126.14726986081769,-0.16870979882381143
Daniel,0.5437531846995398,0.6863468634686347,108.42913993799709,-0.1578260281132523
Haggai,0.5468006404984964,0.6826568265682657,121.59679493286232,-0.1547785723142957
Jonah,0.5564499770956148,0.6923076923076923,122.98969003736643,-0.14512923571717729
Ezra,0.5584334100399942,0.6948529411764706,121.08076860763144,-0.14314580277279787
Malachi,0.5646500244638136,0.6974169741697417,122.47876052451927,-0.1369291883489785
Chronicles,0.5951245824533795,0.7084870848708487,116.73330241152253,-0.1064546303594126
Isaiah_3,0.5995215546815928,0.7032967032967034,117.30662305567273,-0.10205765813119927
Joel,0.6199696773739257,0.717948717948718,116.21921548334285,-0.0816095354388664
Jer_oracle,0.6507076757675694,0.7279411764705882,124.44795627440756,-0.05087153704522274
Amos,0.6517201901482875,0.7306273062730627,112.02167930903659,-0.04985902266450459
Ezekiel,0.6591211542314678,0.7343173431734318,115.13024973311344,-0.04245805858132434
Ecclesiastes,0.660427206716735,0.7232472324723247,112.62387431917142,-0.04115200609605707
Obadiah,0.6721816790841388,0.7343173431734318,120.92868659102491,-0.02939753372865328
Micah,0.678276590682052,0.7453874538745388,112.57829683687635,-0.02330262213074008
Zechariah_1,0.678276590682052,0.7453874538745388,116.8202068233655,-0.02330262213074008
Hosea,0.6895957122210337,0.7601476014760148,109.8642844933121,-0.011983500591758456
Zechariah_2,0.6913371155347232,0.7490774907749077,110.24641528127195,-0.010242097278068907
Nahum,0.7009148337600154,0.7453874538745388,117.82473823947355,-0.0006643790527767202
Habakkuk,0.7020678802763138,0.7463235294117647,117.72184947399641,0.0004886674635217192
Zephaniah,0.7139753586126865,0.7490774907749077,117.91932163940993,0.012396145799894343
Isaiah_1,0.7257298309800905,0.7601476014760148,99.20129594693492,0.024150618167298354
Lamentations,0.7292126376074693,0.7564575645756457,116.72188439047515,0.02763342479467723
Isaiah_2,0.7331307950632707,0.7564575645756457,116.75554878634675,0.031551582250478605
