unit,pred,lo68,hi68,lo90,hi90,p_post
D_Code,421,158,619,107,713,0.84
D_Frame,332,101,530,46,700,0.96
D_Song,523,310,721,253,982,0.64
D_source,378,113,571,83,700,0.94
Deuteronomy,378,113,571,83,700,0.94
Exo_JE,363,138,554,70,719,0.96
Exodus,357,108,551,75,707,0.96
Gen_JE,436,193,631,130,792,0.84
Genesis,420,169,621,102,768,0.88
JE_source,425,173,619,153,772,0.86
Jer_DTR,445,190,646,123,778,0.84
Lev_Holiness,393,129,589,56,655,0.92
Lev_Priestly,319,60,520,-4,640,0.96
Leviticus,338,67,536,23,645,0.96
Num_JE,444,180,642,131,759,0.84
Numbers,360,85,558,60,675,0.96
P_source,344,72,535,37,655,0.96
SongDeborah_poem,818,585,1016,417,1174,0.08
SongMoses_poem,602,375,796,198,1032,0.5
SongSea_poem,782,560,1021,138,1168,0.12
SongSea_prose,473,232,664,137,813,0.72
Song_Deborah,809,576,1010,411,1151,0.1
Song_Sea,638,402,840,176,974,0.38
