id,role,scholarly,sigma_u,lik_map,lik_sd,post_map,post_sd,data_share,err_leaky,err_honest
Amos,training,760.0,20.0,616.0,80.36534843733517,752.0,19.409525250766766,5.832103171920478,8.0,144.0
Hosea,training,745.0,25.0,750.0,78.40588187245973,746.0,24.00173039562843,9.228521702807475,1.0,5.0
Micah,training,725.0,25.0,764.0,76.24988240110441,728.0,23.98569776012415,9.706408980029256,3.0,39.0
Zephaniah,training,630.0,20.0,720.0,82.16316320468063,634.0,19.485080516856524,5.593791147508067,4.0,90.0
Nahum,training,650.0,25.0,602.0,81.38001960105827,646.0,23.899501018199086,8.623416331519456,4.0,48.0
Habakkuk,holdout,605.0,20.0,656.0,83.70329486589186,608.0,19.46166683164253,5.40085002822883,3.0,51.0
Lamentations,training,570.0,50.0,808.0,67.01174452990107,634.0,42.682719947268865,35.76244288373914,64.0,238.0
Ezekiel,training,580.0,20.0,422.0,80.0684051120836,570.0,19.404092709960697,5.8728962850901745,10.0,158.0
Obadiah,training,585.0,80.0,528.0,81.2379017634861,556.0,57.001855972622984,49.232296632726104,29.0,57.0
Joel,training,400.0,150.0,656.0,79.0399652748973,600.0,70.21000348541003,78.2681761086524,200.0,256.0
Jonah,training,400.0,60.0,350.0,83.35823537485321,382.0,48.81379308454498,34.12776641673686,18.0,50.0
Malachi,training,460.0,25.0,652.0,79.7492519458295,478.0,23.866313249019864,8.947817947322854,18.0,192.0
Haggai,holdout,520.0,10.0,186.0,65.37364907447635,514.0,9.924104997722699,2.2863863561471014,6.0,334.0
Ezra,training,380.0,60.0,300.0,83.93286626798857,354.0,49.346729189747585,33.81956460397087,26.0,80.0
Nehemiah,training,380.0,60.0,264.0,82.65592282402868,344.0,49.81594287469777,34.509197234300345,36.0,116.0
Esther,training,300.0,60.0,100.0,44.95977408341041,220.0,49.60104988645688,64.04119943263564,80.0,200.0
Ecclesiastes,training,250.0,120.0,462.0,77.18506145641891,400.0,64.91541740978404,70.73548399180446,150.0,212.0
Isaiah_1,training,720.0,30.0,580.0,81.26215792768713,704.0,28.144494410598284,11.994341371895208,16.0,140.0
Isaiah_2,training,545.0,20.0,812.0,67.99989131121905,560.0,19.46441324344361,7.961806864797201,15.0,267.0
Isaiah_3,training,400.0,100.0,696.0,76.11041826690551,586.0,61.185593663060374,63.320010886097066,186.0,296.0
Zechariah_1,training,518.0,10.0,282.0,80.13184090904403,514.0,9.92926432034595,1.5334808099017117,4.0,236.0
Zechariah_2,training,350.0,150.0,592.0,78.517761786764,540.0,69.58240298224996,78.4928290728354,190.0,242.0
Chronicles,training,330.0,40.0,214.0,75.65867520960114,310.0,36.5358260207518,21.845284464851655,20.0,116.0
Daniel,holdout,167.0,10.0,400.0,76.3431638347671,170.0,9.915353303056873,1.6868302868784348,3.0,233.0
Jer_oracle,holdout,605.0,30.0,710.0,82.35028940175418,616.0,28.3167507954056,11.716354608763913,11.0,105.0
