book,truth,pred,size,alpha,calib,lam,inner_rho
Amos,760.0,606.4934278609815,1000,1.0,var,1000.0,0.6882896597357666
Hosea,745.0,509.38477963497456,1000,1.0,var,100.0,0.7540276348275444
Micah,725.0,552.6088378109615,1000,1.0,var,100.0,0.7135400077842641
Isaiah_1,720.0,528.8176765505524,1000,1.0,var,100.0,0.7979980684982039
Zephaniah,630.0,648.6476657075268,500,1.0,var,1000.0,0.7117986044705745
Nahum,650.0,670.2300724755388,500,1.0,var,1000.0,0.6956906238189469
Habakkuk,605.0,678.0123521119831,500,1.0,var,1000.0,0.70293839221714
Lamentations,570.0,783.6914537550413,1000,1.0,var,100.0,0.7470620215727864
Ezekiel,580.0,503.4430463812937,1000,1.0,var,100.0,0.7235530768379785
Obadiah,585.0,633.6760166746302,1000,1.0,var,100.0,0.6939492205052573
Isaiah_2,545.0,657.6738821151203,500,1.0,var,1000.0,0.7313893917495812
Zechariah_1,518.0,441.32635554057276,1000,1.0,var,100.0,0.6665221183146481
Malachi,460.0,543.7401359051996,1000,1.0,var,100.0,0.6869836072504995
Joel,400.0,577.6749355718143,500,1.0,var,1000.0,0.6939309722185344
Jonah,400.0,352.7556055445626,500,1.0,var,1000.0,0.6882751084951232
Isaiah_3,400.0,519.3432877478316,500,1.0,var,1000.0,0.6760932481677758
Ezra,380.0,162.37080310398056,500,1.0,var,1000.0,0.6794345698148332
Nehemiah,380.0,172.51595571837106,500,1.0,var,1000.0,0.6833518735485511
Zechariah_2,350.0,586.250561054245,1000,1.0,var,100.0,0.7575104414549233
Chronicles,330.0,297.0180107091977,1000,1.0,var,1000.0,0.6521555409767099
Esther,300.0,149.30974246073174,500,1.0,var,1000.0,0.6573797509177783
Ecclesiastes,250.0,396.266617237346,500,1.0,var,1000.0,0.660427206716735
Daniel,167.0,400.6688654149586,1000,1.0,var,100.0,0.6647807150009586
Jer_oracle,605.0,642.2193190484803,1000,1.0,var,100.0,0.7107729996845757
Haggai,520.0,547.8037423279374,1000,0.0,var,100.0,0.6826300989662759
