,p_SBH,p_Transitional,p_LBH,predicted,true,archaic_z,leakage_z,archaizing_index,archaizing_flag,holdout
Amos,0.748,0.216,0.036,SBH,SBH,0.7785089262428266,-0.9048966657778152,-0.704470131635401,False,False
Hosea,0.718,0.234,0.048,SBH,SBH,0.4980903325766335,-0.40564104536818907,-0.20204588319417457,False,False
Micah,0.81,0.172,0.018,SBH,SBH,0.26753496774814156,-0.3952955528171671,-0.10575538297392459,False,False
Isaiah_1,0.78,0.204,0.016,SBH,SBH,0.31717171787764264,-0.0018350598499045744,-0.0005820290850025229,False,False
Zephaniah,0.794,0.182,0.024,SBH,SBH,-0.25940912052982,0.9866048682394677,-0.25593430118043925,False,False
Nahum,0.768,0.19,0.042,SBH,SBH,0.1681865749712676,-0.1665459452651194,-0.028010792109492633,False,False
Habakkuk,0.358,0.386,0.256,Transitional,SBH,-0.4082207344778761,-0.09620876522941724,0.03927441280516225,False,True
Jeremiah,0.206,0.788,0.006,Transitional,Transitional,0.29652208337158176,-0.14307547265806786,-0.04242503723194407,False,False
Lamentations,0.204,0.766,0.03,Transitional,Transitional,-0.6194324510238568,0.3353607325932597,-0.20773332056739907,False,False
Ezekiel,0.072,0.802,0.126,Transitional,Transitional,-0.33773317977928813,0.06077674416441927,-0.020526323063281615,False,False
Isaiah_2,0.182,0.808,0.01,Transitional,Transitional,0.2808521524398421,0.27995931567251314,0.07862717640221054,False,False
Haggai,0.072,0.172,0.756,LBH,Transitional,0.5830075711613537,-0.645739578142978,-0.3764710630558948,False,True
Zechariah_1,0.046,0.74,0.214,Transitional,Transitional,-0.15095633242255713,-0.49443894324793514,0.07463868947959315,False,False
Isaiah_3,0.206,0.78,0.014,Transitional,Transitional,0.014212501842684085,0.16199840357760628,0.0023024026093586094,False,False
Malachi,0.078,0.854,0.068,Transitional,Transitional,0.5052381096024441,-0.07368939486112007,-0.03723069055738036,False,False
Jonah,0.072,0.186,0.742,LBH,LBH,0.5033761497434549,-0.12979408212785498,-0.06533524532100542,False,False
Chronicles,0.03,0.076,0.894,LBH,LBH,-0.4155353791478153,-0.1161084631178561,0.04824717424394846,False,False
Esther,0.028,0.098,0.874,LBH,LBH,-0.33608610800857364,0.4829596815452394,-0.16231603969559966,False,False
Ezra,0.048,0.068,0.884,LBH,LBH,-0.5769192203859356,-0.22562924853152105,0.13016985015906962,False,False
Nehemiah,0.032,0.1,0.868,LBH,LBH,-0.30541647064011823,-0.30897770274660685,0.09436687947936023,False,False
Ecclesiastes,0.112,0.166,0.722,LBH,LBH,-0.5330514117642497,0.9963435469920153,-0.5311023343262938,False,False
Daniel,0.208,0.464,0.328,Transitional,LBH,-0.3873717731880562,0.3232490057630983,-0.12521754054372758,False,True
D_source,0.258,0.136,0.606,LBH,unknown,0.18887628237320592,-1.2629807502473203,-0.23854710881563632,False,False
P_source,0.234,0.148,0.618,LBH,unknown,-0.34824240220097236,-0.4328450174971709,0.1507349886739367,False,False
JE_source,0.236,0.14,0.624,LBH,unknown,-0.051934213944678745,-0.944303832667462,0.04904167727453209,False,False
