feature,yr_per_sd,family,abs
lex_<MD[,-12.12413763779142,lexical,12.12413763779142
vs_hit,-6.884085574109124,verb morphology,6.884085574109124
lex_QRB/,6.689249663524633,lexical,6.689249663524633
lex_RB/,-6.558609040125612,lexical,6.558609040125612
pb_advb_verb,6.344574261147174,POS/bigram,6.344574261147174
pb_prin_conj,-6.09018260940272,POS/bigram,6.09018260940272
pb_prde_verb,-5.973587816575487,POS/bigram,5.973587816575487
lex_>NJ,-5.890336682743726,lexical,5.890336682743726
typ_CP,-5.742601251920599,phrase/clause,5.742601251920599
pb_intj_art,5.7377277523915,POS/bigram,5.7377277523915
lex_>RY/,5.677863091344705,lexical,5.677863091344705
pb_art_nmpr,5.5876520620811885,POS/bigram,5.5876520620811885
vx_perf_nif,-5.509305967072324,verb morphology,5.509305967072324
pb_prep_advb,5.50168227446004,POS/bigram,5.50168227446004
lex_>DMH/,5.404532810756069,lexical,5.404532810756069
lex_J<QB/,5.256272817770156,lexical,5.256272817770156
lex_CM/,-5.166715796759141,lexical,5.166715796759141
pos_conj,-5.11628147786522,POS/bigram,5.11628147786522
pdp_conj,-5.097397480010695,POS/bigram,5.097397480010695
lex_DBR/,-5.080660843841727,lexical,5.080660843841727
lex_JFR>L/,5.079562536841062,lexical,5.079562536841062
lex_M>D/,-4.986247878738339,lexical,4.986247878738339
lex_<WLM/,-4.890849313155345,lexical,4.890849313155345
pb_nega_subs,4.884780180319195,POS/bigram,4.884780180319195
pb_inrg_art,-4.826241939722533,POS/bigram,4.826241939722533
lex_GDWL/,-4.766161802481771,lexical,4.766161802481771
pb_nmpr_adjv,4.764160602074566,POS/bigram,4.764160602074566
lex_BW>[,-4.749505933885537,lexical,4.749505933885537
pos_advb,4.74649937366168,POS/bigram,4.74649937366168
lex_KH,4.722070948464723,lexical,4.722070948464723
lex_NF>[,4.720571738211938,lexical,4.720571738211938
lex_GM,-4.717799003546295,lexical,4.717799003546295
rela_Objc,-4.712800058294436,phrase/clause,4.712800058294436
fun_Loca,4.669078556220579,phrase/clause,4.669078556220579
pb_subs_conj,-4.659899499209174,POS/bigram,4.659899499209174
lex_XJL/,-4.646096093045198,lexical,4.646096093045198
lex_JHWH/,4.618242007647135,lexical,4.618242007647135
lex_<M,-4.6077715974788545,lexical,4.6077715974788545
pb_nmpr_prin,4.570617883335385,POS/bigram,4.570617883335385
lex_<NH[,4.561788977869601,lexical,4.561788977869601
pb_advb_inrg,4.553965073306909,POS/bigram,4.553965073306909
fun_Conj,-4.552104313359385,phrase/clause,4.552104313359385
lex_Z>T,4.543211336057702,lexical,4.543211336057702
pb_nmpr_advb,4.5250663137646985,POS/bigram,4.5250663137646985
vsf_hit,-4.5248543673868085,verb morphology,4.5248543673868085
lex_QDC/,-4.493222562111213,lexical,4.493222562111213
cl_per_sent,-4.4883502316721895,phrase/clause,4.4883502316721895
pb_prde_adjv,-4.484755954577256,POS/bigram,4.484755954577256
lex_PQD[,4.47791299055948,lexical,4.47791299055948
lex_LKN,4.4736813140542155,lexical,4.4736813140542155
vx_impf_hif,4.453682207451547,verb morphology,4.453682207451547
lex_VWB/,-4.4515548551091975,lexical,4.4515548551091975
pb_prps_nmpr,-4.435701440672798,POS/bigram,4.435701440672798
lex_MYRJM/,4.3769644412375905,lexical,4.3769644412375905
pb_prep_nega,-4.350861826204989,POS/bigram,4.350861826204989
lex_<BD/,-4.345303249756087,lexical,4.345303249756087
lex_MLK/,-4.318751302171896,lexical,4.318751302171896
pdp_advb,4.307772919571807,POS/bigram,4.307772919571807
lex_BFR/,-4.3048508718376155,lexical,4.3048508718376155
typ_AdvP,4.272526213888695,phrase/clause,4.272526213888695
lex_L,-4.257622272526448,lexical,4.257622272526448
lex_>NKJ,4.172131180725621,lexical,4.172131180725621
lex_>P/,4.170660685986181,lexical,4.170660685986181
prs_H,4.165421449156537,agreement/suffix,4.165421449156537
lex_RBH[,-4.156182314545198,lexical,4.156182314545198
vx_impf_qal,4.131710727759473,verb morphology,4.131710727759473
lex_FR/,-4.115546857019003,lexical,4.115546857019003
pb_prin_nega,4.085229423193119,POS/bigram,4.085229423193119
lex_JRWCLM/,-4.0706845735514685,lexical,4.0706845735514685
vtf_impf,4.064298565241832,verb morphology,4.064298565241832
lex_NYL[,4.033689200094553,lexical,4.033689200094553
lex_K,4.0109902568895075,lexical,4.0109902568895075
lex_>KL[,3.9596680601165213,lexical,3.9596680601165213
pb_nmpr_nega,3.9449947902399316,POS/bigram,3.9449947902399316
pb_inrg_nmpr,3.9421330304869655,POS/bigram,3.9421330304869655
lex_R>H[,-3.941052648524327,lexical,3.941052648524327
lex_PNH/,-3.9186879232963268,lexical,3.9186879232963268
fun_Modi,3.904750895281322,phrase/clause,3.904750895281322
rela_Attr,-3.8933773306261075,phrase/clause,3.8933773306261075
fun_Rela,-3.8834826795172086,phrase/clause,3.8834826795172086
lex_>LH,-3.8123546137787563,lexical,3.8123546137787563
lex_CM,3.8098121946643624,lexical,3.8098121946643624
pb_prde_nega,3.788306740585761,POS/bigram,3.788306740585761
fun_Objc,3.780937367895393,phrase/clause,3.780937367895393
pb_nega_prep,-3.7801204904036254,POS/bigram,3.7801204904036254
lex_TXT/,-3.7610672306485995,lexical,3.7610672306485995
lex_>B/,-3.7555873874489483,lexical,3.7555873874489483
lex_BD/,-3.751002361335966,lexical,3.751002361335966
lex_HR/,3.7362639530561865,lexical,3.7362639530561865
lex_LB/,-3.7317546395223986,lexical,3.7317546395223986
lex_MJM/,3.7265496804457023,lexical,3.7265496804457023
lex_<T/,-3.680858219599625,lexical,3.680858219599625
lex_CNH/,-3.6653819242071797,lexical,3.6653819242071797
vt_wayq,-3.664034523129716,verb morphology,3.664034523129716
lex_DWD==/,-3.661754901356384,lexical,3.661754901356384
lex_CMN/,3.6561824725218286,lexical,3.6561824725218286
lex_>HB[,3.6508350810068833,lexical,3.6508350810068833
pb_intj_adjv,3.6470389748892424,POS/bigram,3.6470389748892424
fun_Intj,3.6287824347723334,phrase/clause,3.6287824347723334
pb_prin_nmpr,3.6126135526364576,POS/bigram,3.6126135526364576
vtf_wayq,-3.6120186748248853,verb morphology,3.6120186748248853
lex_CLC/,-3.583443668743458,lexical,3.583443668743458
lex_>CR,-3.5779548979369427,lexical,3.5779548979369427
lex_N>M/,3.5773498877065046,lexical,3.5773498877065046
lex_W,-3.569906311933219,lexical,3.569906311933219
lex_LJLH/,3.5665828402492346,lexical,3.5665828402492346
pb_prps_nega,3.5649043922368557,POS/bigram,3.5649043922368557
prs_W,-3.5613236149696834,agreement/suffix,3.5613236149696834
lex_JR>[,-3.537742366545529,lexical,3.537742366545529
pb_nega_advb,3.5249158878691498,POS/bigram,3.5249158878691498
lex_XZQ[,-3.51701368388706,lexical,3.51701368388706
lex_MN,3.5061145915932372,lexical,3.5061145915932372
lex_>C/,3.5029657025105165,lexical,3.5029657025105165
lex_<FH[,-3.485944768123444,lexical,3.485944768123444
lex_<D,-3.482834075158154,lexical,3.482834075158154
lex_>LHJM/,-3.4802712835491607,lexical,3.4802712835491607
fun_Cmpl,-3.479146627666296,phrase/clause,3.479146627666296
lex_MW<D/,-3.4783407551965886,lexical,3.4783407551965886
vx_wayq_qal,-3.471184153208501,verb morphology,3.471184153208501
lex_N<R/,3.471116759167749,lexical,3.471116759167749
pb_subs_prde,-3.4505149127161205,POS/bigram,3.4505149127161205
lex_HMH,3.4475807847464326,lexical,3.4475807847464326
lex_BRJT/,-3.447297092745286,lexical,3.447297092745286
pb_art_adjv,-3.4459101103221257,POS/bigram,3.4459101103221257
lex_MCPV/,3.445909575680461,lexical,3.445909575680461
pb_verb_prps,-3.4450034095024593,POS/bigram,3.4450034095024593
pb_adjv_conj,-3.4409778583863533,POS/bigram,3.4409778583863533
gn_f,3.4232714202318246,agreement/suffix,3.4232714202318246
lex_>L,3.41948414069278,lexical,3.41948414069278
pb_prps_adjv,-3.3992424268693306,POS/bigram,3.3992424268693306
lex_HW>,3.3890301821513664,lexical,3.3890301821513664
vsf_qal,3.3593097595470813,verb morphology,3.3593097595470813
vt_impf,3.3536923724076813,verb morphology,3.3536923724076813
pb_verb_subs,3.353100398848508,POS/bigram,3.353100398848508
lex_NVH[,3.319406406947178,lexical,3.319406406947178
lex_KBWD/,3.2951887632891093,lexical,3.2951887632891093
lex_MCH=/,-3.293492312392642,lexical,3.293492312392642
pb_inrg_prde,-3.277520412661258,POS/bigram,3.277520412661258
lex_DRK/,3.2567704271650735,lexical,3.2567704271650735
lex_<L,3.2431105801539184,lexical,3.2431105801539184
rela_NA,3.2429650204460887,phrase/clause,3.2429650204460887
pb_prin_subs,-3.239217461273929,POS/bigram,3.239217461273929
vs_pual,3.238333947925624,verb morphology,3.238333947925624
sent_len,-3.219281766546194,structural,3.219281766546194
pb_advb_nega,-3.2084450181895856,POS/bigram,3.2084450181895856
typ_AdjP,-3.186393023885943,phrase/clause,3.186393023885943
vsf_pual,3.184094643197768,verb morphology,3.184094643197768
lex_XYR/,3.127576964284424,lexical,3.127576964284424
lex_CMJM/,-3.124727747623472,lexical,3.124727747623472
lex_KL/,-3.106108467423251,lexical,3.106108467423251
lex_C<R/,3.103416154379664,lexical,3.103416154379664
pb_nega_adjv,3.0962747024625674,POS/bigram,3.0962747024625674
pb_prep_conj,-3.0477023668884855,POS/bigram,3.0477023668884855
lex_KN,3.042555494887407,lexical,3.042555494887407
vx_ptca_hif,-3.0233326155959905,verb morphology,3.0233326155959905
lex_YB>/,3.022508000817397,lexical,3.022508000817397
pb_conj_prep,-3.0196558398423083,POS/bigram,3.0196558398423083
vs_qal,2.9932802865847616,verb morphology,2.9932802865847616
pb_intj_prep,2.990771867628976,POS/bigram,2.990771867628976
lex_DM/,2.9760787680307423,lexical,2.9760787680307423
lex_DBR[,-2.974743411487142,lexical,2.974743411487142
pb_art_prps,2.958741285563491,POS/bigram,2.958741285563491
pb_intj_prde,2.9244720243874083,POS/bigram,2.9244720243874083
lex_>HL/,-2.923462547812705,lexical,2.923462547812705
pb_conj_prde,-2.9229340636874355,POS/bigram,2.9229340636874355
lex_MLXMH/,-2.9098972673409325,lexical,2.9098972673409325
lex_BNH[,-2.89057644865744,lexical,2.89057644865744
lex_>XD/,-2.8768026681422945,lexical,2.8768026681422945
lex_XV>[,-2.873116376097495,lexical,2.873116376097495
vx_wayq_piel,-2.8672877075008003,verb morphology,2.8672877075008003
lex_>DNJ/,2.865109567651178,lexical,2.865109567651178
lex_HLK[,2.863788366847747,lexical,2.863788366847747
lex_BJT/,2.8510522193150907,lexical,2.8510522193150907
pb_advb_prin,-2.837648737338295,POS/bigram,2.837648737338295
lex_Y>N/,-2.830025557358468,lexical,2.830025557358468
typ_NP,2.801816308277849,phrase/clause,2.801816308277849
typ_InjP,2.800726557431571,phrase/clause,2.800726557431571
lex_>JN/,-2.775803631288913,lexical,2.775803631288913
lex_ML>[,2.7744339060743037,lexical,2.7744339060743037
fun_Time,-2.769094616694441,phrase/clause,2.769094616694441
pb_art_subs,-2.7663873042570692,POS/bigram,2.7663873042570692
lex_BQC[,-2.7662589013899566,lexical,2.7662589013899566
lex_QWM[,2.7532846897622965,lexical,2.7532846897622965
lex_CLX[,2.7521388950334336,lexical,2.7521388950334336
gn_m,-2.751655168286031,agreement/suffix,2.751655168286031
vx_perf_qal,2.7414394751236095,verb morphology,2.7414394751236095
lex_ZR</,-2.738957726705303,lexical,2.738957726705303
pb_prps_inrg,-2.727087416692613,POS/bigram,2.727087416692613
pb_nega_prps,-2.7164491553065715,POS/bigram,2.7164491553065715
pb_subs_subs,2.715767301921414,POS/bigram,2.715767301921414
lex_>MR[,2.7019040374286303,lexical,2.7019040374286303
lex_>MH=/,2.6772474205146204,lexical,2.6772474205146204
pb_advb_subs,2.6428339040517685,POS/bigram,2.6428339040517685
prs_M,2.634924938696978,agreement/suffix,2.634924938696978
pb_advb_advb,2.6300595375192937,POS/bigram,2.6300595375192937
lex_XRB/,2.622916168890777,lexical,2.622916168890777
lex_NTN[,-2.614281116916401,lexical,2.614281116916401
lex_MLK[,-2.6132843001468093,lexical,2.6132843001468093
pb_verb_nmpr,2.6027054198065693,POS/bigram,2.6027054198065693
lex_JCB[,2.589845933053954,lexical,2.589845933053954
pb_prde_intj,2.575963203499019,POS/bigram,2.575963203499019
prs_NW,-2.5656337053764724,agreement/suffix,2.5656337053764724
lex_FDH/,2.5655183211168686,lexical,2.5655183211168686
lex_PR<H/,2.54849294374048,lexical,2.54849294374048
pb_conj_adjv,-2.540291463150788,POS/bigram,2.540291463150788
vx_impv_nif,2.539939933342143,verb morphology,2.539939933342143
vsf_hif,-2.523545030020472,verb morphology,2.523545030020472
vx_wayq_hif,-2.5123881191016166,verb morphology,2.5123881191016166
lex_<BR[,2.5032209578029643,lexical,2.5032209578029643
lex_LQX[,2.5028359069802733,lexical,2.5028359069802733
lex_R>C/,2.4959984426395185,lexical,2.4959984426395185
rela_Subj,-2.452754722570584,phrase/clause,2.452754722570584
pb_verb_art,-2.4329836740417665,POS/bigram,2.4329836740417665
lex_>TH,2.4297891979170285,lexical,2.4297891979170285
pos_intj,2.4276833387218475,POS/bigram,2.4276833387218475
pb_inrg_intj,2.4239344981270596,POS/bigram,2.4239344981270596
pb_inrg_verb,2.4213161984966756,POS/bigram,2.4213161984966756
fun_Adju,2.4151571791793116,phrase/clause,2.4151571791793116
lex_CLWM/,-2.4012554855054997,lexical,2.4012554855054997
pdp_art,-2.3950184898072955,POS/bigram,2.3950184898072955
lex_TWK/,2.3925188141581497,lexical,2.3925188141581497
pb_advb_prep,-2.391263157721003,POS/bigram,2.391263157721003
pb_advb_intj,2.3794768040351824,POS/bigram,2.3794768040351824
pb_adjv_prep,-2.372512721884063,POS/bigram,2.372512721884063
ps_p2,2.367702878143407,agreement/suffix,2.367702878143407
pdp_intj,2.3648934535856005,POS/bigram,2.3648934535856005
pb_verb_nega,2.364696179424137,POS/bigram,2.364696179424137
pb_subs_prin,-2.364297110431897,POS/bigram,2.364297110431897
pb_nmpr_art,-2.3445406153051644,POS/bigram,2.3445406153051644
lex_R<H/,-2.3333768456590165,lexical,2.3333768456590165
pb_prep_verb,-2.330230452708465,POS/bigram,2.330230452708465
nu_sg,2.31900397031925,agreement/suffix,2.31900397031925
lex_QRB[,2.3089203023001277,lexical,2.3089203023001277
pb_prps_advb,-2.283794469626661,POS/bigram,2.283794469626661
pb_verb_verb,2.2834099213766645,POS/bigram,2.2834099213766645
vx_impf_piel,2.2762976086692115,verb morphology,2.2762976086692115
lex_>TM,-2.268857664626184,lexical,2.268857664626184
pb_prep_prep,2.265809281428002,POS/bigram,2.265809281428002
vsf_nif,-2.2594447329857563,verb morphology,2.2594447329857563
rela_PreC,-2.257571712633624,phrase/clause,2.257571712633624
lex_BQR=/,2.2412247719023437,lexical,2.2412247719023437
pb_advb_prde,-2.2333725279988204,POS/bigram,2.2333725279988204
pb_prde_art,2.2242233654328065,POS/bigram,2.2242233654328065
vsf_poel,2.2179912571668816,verb morphology,2.2179912571668816
pb_prps_prep,2.209055203868013,POS/bigram,2.209055203868013
lex_GBWL/,2.206994845057742,lexical,2.206994845057742
lex_H,-2.197534025132092,lexical,2.197534025132092
pos_art,-2.197534025132092,POS/bigram,2.197534025132092
pb_prde_prin,-2.1754506293106837,POS/bigram,2.1754506293106837
pb_advb_conj,2.175242093375208,POS/bigram,2.175242093375208
lex_JSP[,2.1742513483952206,lexical,2.1742513483952206
vt_ptcp,2.1618458133165106,verb morphology,2.1618458133165106
pb_prin_prep,2.1615442738773143,POS/bigram,2.1615442738773143
pb_subs_prep,2.1491763403791255,POS/bigram,2.1491763403791255
pb_adjv_intj,2.1363532061298613,POS/bigram,2.1363532061298613
lex_<LH[,2.1336295360326845,lexical,2.1336295360326845
lex_KTB[,-2.130124890656025,lexical,2.130124890656025
pb_conj_inrg,-2.102181820049796,POS/bigram,2.102181820049796
pb_prde_prps,-2.0852431065554016,POS/bigram,2.0852431065554016
pb_verb_advb,2.073504239773032,POS/bigram,2.073504239773032
pb_subs_verb,2.065642134351672,POS/bigram,2.065642134351672
lex_CLMH=/,-2.0646375460920687,lexical,2.0646375460920687
pb_nmpr_inrg,2.0577947930767886,POS/bigram,2.0577947930767886
lex_N>,2.0546177544076007,lexical,2.0546177544076007
pb_nmpr_verb,2.0483983372308834,POS/bigram,2.0483983372308834
ph_per_clause,-2.03549904403851,structural,2.03549904403851
vt_perf,2.0338142893958615,verb morphology,2.0338142893958615
fun_Nega,1.9835305880252074,phrase/clause,1.9835305880252074
vs_hif,-1.9831883922291502,verb morphology,1.9831883922291502
pb_art_prde,1.9796611394966432,POS/bigram,1.9796611394966432
lex_KSP/,-1.9532331186873386,lexical,1.9532331186873386
st_c,1.9355463229970131,agreement/suffix,1.9355463229970131
lex_H=,1.9103822806537163,lexical,1.9103822806537163
pb_art_verb,1.9096821231313614,POS/bigram,1.9096821231313614
vs_poel,1.9076086991981525,verb morphology,1.9076086991981525
lex_>DWN/,1.9004000585009537,lexical,1.9004000585009537
lex_BN/,-1.8969897397417035,lexical,1.8969897397417035
pb_nmpr_prep,1.8827803670175003,POS/bigram,1.8827803670175003
lex_HJH[,1.874872411194522,lexical,1.874872411194522
pb_prde_prep,1.870452028424874,POS/bigram,1.870452028424874
pos_adjv,-1.8702001386208185,POS/bigram,1.8702001386208185
pb_inrg_prep,-1.8687174017005757,POS/bigram,1.8687174017005757
pb_conj_art,-1.85153416010847,POS/bigram,1.85153416010847
pb_adjv_adjv,1.851291628702503,POS/bigram,1.851291628702503
pb_subs_nega,1.8110054685537469,POS/bigram,1.8110054685537469
pb_prin_advb,-1.8092664621872068,POS/bigram,1.8092664621872068
pb_intj_prin,1.7984644656804867,POS/bigram,1.7984644656804867
pb_prps_prde,-1.7886383554386012,POS/bigram,1.7886383554386012
pb_prep_intj,1.7872707551470786,POS/bigram,1.7872707551470786
vtf_infc,-1.7864288038081124,verb morphology,1.7864288038081124
lex_KLJ/,-1.770832095048997,lexical,1.770832095048997
vtf_ptcp,1.7499440530020698,verb morphology,1.7499440530020698
lex_C>WL=/,-1.7480307222989695,lexical,1.7480307222989695
lex_XMC/,1.7400626389197598,lexical,1.7400626389197598
pb_prep_prin,1.7353675488196454,POS/bigram,1.7353675488196454
lex_SWR[,1.7234409792797392,lexical,1.7234409792797392
pb_prps_intj,1.7113026308890218,POS/bigram,1.7113026308890218
pb_prps_conj,1.7110335801686796,POS/bigram,1.7110335801686796
pdp_subs,1.7067134377011521,POS/bigram,1.7067134377011521
lex_M>H/,-1.6998412285824624,lexical,1.6998412285824624
pb_prep_prps,1.699036173500836,POS/bigram,1.699036173500836
clause_len,-1.681750605645614,structural,1.681750605645614
vx_perf_piel,1.680714111396351,verb morphology,1.680714111396351
lex_JWM/,1.671289463706397,lexical,1.671289463706397
lex_<FRJM/,-1.6667413653825736,lexical,1.6667413653825736
pb_advb_prps,1.665908545189942,POS/bigram,1.665908545189942
pb_conj_verb,-1.6614787780973659,POS/bigram,1.6614787780973659
lex_CM<[,1.6547980238029845,lexical,1.6547980238029845
lex_PH/,-1.6417009709229016,lexical,1.6417009709229016
pos_nega,1.602504054482239,POS/bigram,1.602504054482239
pos_subs,1.5943712361985032,POS/bigram,1.5943712361985032
lex_CC/,-1.5871016913477427,lexical,1.5871016913477427
pb_subs_prps,1.580505048948558,POS/bigram,1.580505048948558
pb_prps_prps,-1.5671081962650972,POS/bigram,1.5671081962650972
pos_verb,1.5592237858086797,POS/bigram,1.5592237858086797
verb_rate,1.5592237858086797,verb morphology,1.5592237858086797
lex_BRK[,-1.5520266346028473,lexical,1.5520266346028473
pb_prde_nmpr,1.5518277888948175,POS/bigram,1.5518277888948175
typ_PPrP,-1.5295198823230773,phrase/clause,1.5295198823230773
pb_nega_verb,1.5253430018234355,POS/bigram,1.5253430018234355
lex_CMR[,-1.5203571164361884,lexical,1.5203571164361884
lex_MY>[,-1.508681999623985,lexical,1.508681999623985
lex_MNXH/,-1.495360070524312,lexical,1.495360070524312
