unit,prior_bce,prior_sigma,n_words,n_chapters,ngram_word,word_ci68_lo,word_ci68_hi,morpho_map,morpho_ci68_lo,morpho_ci68_hi,mean_lbh,arch_classification
D_Code,625,100,7225.0,15.0,400.4,358.0,442.5,292.0,232.0,350.0,0.2790009833306415,Archaic (CBH-like)
D_Frame,600,100,11810.0,18.0,443.0,420.4,468.4,274.0,227.0,320.0,0.5018968147712587,Mixed/selective
D_Song,900,200,777.0,1.0,520.1,520.1,520.1,679.0,608.0,751.0,0.18298619718735,Archaic (CBH-like)
Lev_Holiness,575,75,5840.0,10.0,498.3,463.3,537.0,301.0,234.0,366.0,0.425463743617591,Mixed/selective
Lev_Priestly,600,100,10281.0,16.0,434.8,394.3,485.2,465.0,414.0,513.0,0.5257541582422133,Mixed/selective
Gen_JE,800,100,24945.0,43.0,504.2,489.7,517.9,416.4,384.2,448.7,0.7136,Modern (LBH-like)
Exo_JE,800,100,13273.0,24.0,480.3,454.4,506.4,464.8,421.0,508.6,0.5884,Modern (LBH-like)
Num_JE,800,100,6529.0,11.0,616.1,586.2,645.0,478.7,416.4,540.9,0.73,Modern (LBH-like)
D_source,625,100,,,,,,292.0,257.0,329.0,,
P_source,600,100,,,,,,361.0,329.0,393.0,,
JE_source,800,75,,,,,,435.0,403.0,467.0,,
