par,raw,pro
1.633230312723155386e-01,6.688491178132931481e-01,3.079756919536360549e-01
9.268158176006832671e-02,5.618024541678725559e-01,6.871170816495467126e-02
2.543092182440899809e-02,6.195614453434591384e-01,9.447859872681266258e-02
-5.029671205272001622e-02,5.236815199919854225e-01,-1.226994788659904875e-03
-3.633796162909996297e-01,3.611862248180016666e-01,-4.282211812423067365e-01
5.651315960979776815e-02,5.217562202861324439e-01,-8.588963520619333214e-02
-2.209664540743092598e-01,3.323067292302083753e-01,-2.785278170257983743e-01
-1.525855309464539677e-01,5.283022392860322602e-01,-7.607367689691409141e-02
-1.593671100996296996e-01,4.193302759347589115e-01,-1.840492182989857117e-01
-5.877368599418968109e-02,2.522142614667282623e-01,-2.122700984381634959e-01
1.356315830635146380e-01,5.167504410509149437e-01,1.865032078763055046e-01
4.165019863242095388e-01,6.599927391663696907e-01,3.447855356134332250e-01
-2.006217166147820641e-01,3.515597262887372176e-01,-3.055217023763163176e-01
-3.289065889290229694e-01,3.773587423471659319e-01,-2.588959004072398651e-01
-1.435434254088863160e-01,4.266464148169998860e-01,-1.926381818196050422e-01
-2.141848749211335556e-01,3.161342117010441100e-01,-2.269940359020823917e-01
-4.910993570091425897e-01,3.546402058181019057e-01,-4.993868789845812284e-01
-2.842611928372827945e-01,4.293418344051938562e-01,-2.748468326598186851e-01
-2.933032983748504186e-01,4.235659352876351980e-01,-3.226996294175549229e-01
-2.096638221523496881e-01,4.755490273456631778e-01,-1.460123798505286730e-01
-1.932750058655083591e-01,3.669621239355603248e-01,-9.447859872681266258e-02
8.929079218348047464e-02,5.721990725794781074e-01,9.815958309279237959e-02
1.384572410440045309e-01,5.567966749326550557e-01,1.631903068917673338e-01
4.984460677584163224e-01,7.339242478711206497e-01,4.441721134948855010e-01
6.612039674346338602e-02,5.706588328147957911e-01,3.190186450515752198e-02
-3.712914586363713632e-01,3.592609251121487990e-01,-3.386505616701336874e-01
-1.949704006538022782e-01,4.470545916990404378e-01,-7.730067168557398782e-02
3.882454065193106651e-01,7.466312259297496201e-01,5.018408685619010212e-01
1.034190820859299115e-01,6.538317801076405367e-01,2.858897857577578083e-01
-2.430065863221303746e-01,4.401235127579701256e-01,-1.705522756237267401e-01
-1.373269778518085849e-01,4.162497964053942789e-01,-2.453989577319809490e-02
-2.825657980489888477e-01,4.578362700518165962e-01,-2.503069368866205902e-01
-8.476973941469664875e-02,4.428189323461640958e-01,-2.576689056185799687e-01
-4.667986983769294995e-01,2.668465392312102114e-01,-5.349697278557183910e-01
-6.329473876297350698e-02,4.008473987585711718e-01,-1.276074580206300879e-01
-7.177171270444315798e-02,3.465539470535197175e-01,-3.190186450515752198e-02
-1.085052664508117104e-01,4.458994118755287284e-01,-2.822088013917781191e-01
-5.029671205272001622e-02,5.402390974623202391e-01,7.607367689691409141e-02
-2.294434280157789385e-01,4.324223139345584888e-01,-2.969327388556969316e-01
-3.978526436529762345e-01,3.846748812294069619e-01,-3.582824782886921966e-01
-1.311105302947308260e-01,4.127842569348590396e-01,-1.656442964690871267e-01
-5.662618592901735859e-01,3.118985523481677680e-01,-5.950924725000538151e-01
-2.554394814362859201e-01,2.599154602901397881e-01,-2.907977649123973940e-01
1.328059250830247451e-01,6.211016851081414547e-01,2.282210306907422881e-01
-1.282848723142409331e-01,3.303814295243554522e-01,-5.276077591237590680e-02
7.685789706932495691e-02,5.710438927559664535e-01,1.374234163299093425e-01
-5.086184364881798370e-01,2.187140465848879944e-01,-6.012274464433533527e-01
-1.412828990244944204e-02,5.641128138148960858e-01,-1.226994788659904745e-02
-2.554394814362859201e-01,3.623414046415133760e-01,-3.226996294175549229e-01
2.074032957679577960e-01,6.006935082261009029e-01,2.822088013917781191e-01
-8.250921303030472886e-02,5.090492422275033624e-01,-1.546013433711479756e-01
-3.232552729680431836e-01,2.472084822315107622e-01,-2.098161088608437308e-01
4.521052768783820688e-03,5.979980886379068217e-01,1.742332599897064849e-01
1.921447426733123923e-02,4.597615697576695748e-01,-5.276077591237590680e-02
-1.011585557015380055e-01,5.360034381094438416e-01,-2.208590619587828471e-02
-2.616559289933636512e-01,4.043129382291064111e-01,-3.447855356134332250e-01
-9.776776612495012564e-02,4.035428183467651975e-01,-2.306750202680620809e-01
-7.911842345371686291e-02,5.117446618156975546e-01,-1.582823277371277204e-01
2.678723765504414378e-01,5.914520696380070053e-01,1.631903068917673338e-01
4.566263296471659294e-01,7.339242478711206497e-01,5.521476548969571629e-01
2.034473745952719570e-02,4.212555756406117236e-01,-1.472393746391885694e-01
6.838092312785530591e-02,5.028882831687742083e-01,1.411044006958890595e-01
2.955638247592423662e-01,6.827112756954338835e-01,4.687120092680835959e-01
-2.757842188958131158e-01,3.400079280536199011e-01,-4.245401968763269918e-01
-2.124894801328396365e-01,3.804392218765305644e-01,-3.018407180103365728e-01
-5.651315960979775860e-04,5.591070345796784746e-01,4.907979154639618979e-02
-2.916079035865564717e-01,4.204854557582706209e-01,-2.134970932268234478e-01
2.543092182440899185e-01,6.334236032255999849e-01,3.288346033608544605e-01
4.023736964217601297e-01,6.850216353424574134e-01,3.484665199794129697e-01
-2.503532970714040795e-01,2.637660597018455788e-01,-2.417179733660012320e-01
