unit,truth,pred,err
Amos,760.0,617.6361708018501,142.36382919814992
Hosea,745.0,557.61519115318,187.38480884681996
Micah,725.0,622.654783927905,102.34521607209501
Isaiah_1,720.0,529.2632221613718,190.7367778386282
Zephaniah,630.0,657.2719452782378,27.27194527823781
Nahum,650.0,691.9594957976021,41.95949579760213
Habakkuk,605.0,691.9532590297997,86.95325902979971
Lamentations,570.0,719.0991357510975,149.0991357510975
Ezekiel,580.0,463.44230139986587,116.55769860013413
Obadiah,585.0,617.2706702593173,32.270670259317285
Isaiah_2,545.0,670.2778150463423,125.27781504634231
Zechariah_1,518.0,426.0773573767354,91.92264262326461
Malachi,460.0,523.2900139376125,63.29001393761246
Joel,400.0,583.0646054893989,183.0646054893989
Jonah,400.0,353.2197709712428,46.78022902875722
Isaiah_3,400.0,521.689072523717,121.68907252371696
Ezra,380.0,179.18851560264164,200.81148439735836
Nehemiah,380.0,139.12262507732584,240.87737492267416
Zechariah_2,350.0,560.0669642734504,210.06696427345037
Chronicles,330.0,275.4389852877579,54.56101471224213
Esther,300.0,125.90351745407003,174.09648254592997
Ecclesiastes,250.0,386.0567904900744,136.05679049007438
Daniel,167.0,383.8833849732632,216.88338497326322
Jer_oracle,605.0,647.9570508366402,42.95705083664018
Haggai,520.0,554.4437068543286,34.44370685432864
