unit,n_words,role,scholarly,map_full,ci68_lo,ci68_hi,map_resist,delta_arch
Amos,2780,train,760.0,607,457,758,529,78
Hosea,3146,train,745.0,724,593,854,613,110
Micah,1895,train,725.0,641,495,788,692,-50
Zephaniah,1037,train,630.0,579,427,732,643,-64
Nahum,746,train,650.0,575,423,730,483,92
Habakkuk,897,hbvi_holdout,605.0,647,503,794,443,204
Lamentations,1945,train,570.0,680,539,820,511,168
Ezekiel,26182,train,580.0,357,277,435,607,-251
Obadiah,392,train,585.0,527,371,682,637,-110
Joel,1318,train,400.0,519,365,676,567,-48
Jonah,985,train,400.0,397,241,555,277,120
Malachi,1187,train,460.0,525,371,682,495,30
Haggai,877,holdout,520.0,395,239,553,295,100
Ezra,5268,train,380.0,283,128,435,281,2
Nehemiah,7842,train,380.0,239,108,371,373,-134
Esther,4621,train,300.0,106,-32,243,183,-76
Ecclesiastes,4233,train,250.0,305,148,461,493,-188
Genesis,28764,target,,301,221,379,171,130
Exodus,23748,target,,317,237,399,407,-90
Leviticus,17099,target,,245,151,341,658,-413
Numbers,23188,target,,289,207,371,299,-10
Deuteronomy,20128,target,,54,-28,138,676,-621
Isaiah_1,13504,train,720.0,585,481,692,509,76
Isaiah_2,5738,train,545.0,716,587,844,680,36
Isaiah_3,3689,train,400.0,565,411,718,575,-10
Zechariah_1,2484,train,518.0,441,285,599,331,110
Zechariah_2,1987,train,350.0,587,435,740,517,70
Chronicles,35330,train,330.0,221,140,299,50,170
Daniel,3437,hbvi_holdout,167.0,321,165,477,429,-108
Jer_oracle,14539,holdout,605.0,601,499,702,704,-102
Jer_DTR,15197,target,,183,84,283,469,-287
D_Code,7353,target,,197,62,329,772,-575
D_Frame,11993,target,,0,-84,84,539,-539
D_Song,782,target,,405,249,563,445,-40
Lev_Holiness,5958,target,,385,239,533,726,-341
Lev_Priestly,10496,target,,191,74,307,517,-327
Song_Sea,433,target,,756,633,876,411,345
Song_Deborah,462,target,,664,519,806,533,130
P_source,54435,target,,233,155,313,403,-170
JE_source,37752,target,,361,281,439,277,84
D_source,20128,target,,54,-28,138,676,-621
Gen_JE,22409,target,,321,239,405,233,88
Exo_JE,11780,target,,413,301,525,401,12
Num_JE,3563,target,,465,307,621,355,110
