unit,n_words,role,scholarly,map_bce,ci68_lo,ci68_hi,ci68_width,map_old,width_old,map_resist,delta_arch
Amos,2780,train,760.0,542,388,692,303,577,365,520,22
Hosea,3146,train,745.0,525,373,678,305,548,372,583,-58
Micah,1895,train,725.0,578,427,732,305,638,345,645,-67
Zephaniah,1037,train,630.0,513,360,668,308,527,377,610,-97
Nahum,746,train,650.0,592,435,750,315,647,342,483,108
Habakkuk,897,hbvi_holdout,605.0,475,317,632,315,458,385,453,22
Lamentations,1945,train,570.0,695,545,840,295,760,277,507,188
Ezekiel,26182,train,580.0,493,338,645,307,490,382,533,-40
Obadiah,392,train,585.0,508,342,672,330,513,378,628,-120
Joel,1318,train,400.0,557,402,710,308,598,358,550,7
Jonah,985,train,400.0,235,70,402,332,157,342,310,-75
Malachi,1187,train,460.0,597,445,748,303,667,332,493,103
Haggai,877,holdout,520.0,465,303,625,322,445,385,345,120
Ezra,5268,train,380.0,440,280,600,320,402,387,338,102
Nehemiah,7842,train,380.0,410,252,568,317,350,385,413,-3
Esther,4621,train,300.0,350,193,503,310,240,370,240,110
Ecclesiastes,4233,train,250.0,258,93,425,332,175,350,492,-233
Genesis,28764,target,,263,97,430,333,182,352,335,-72
Exodus,23748,target,,423,268,578,310,367,387,447,-23
Leviticus,17099,target,,542,387,695,308,575,365,560,-18
Numbers,23188,target,,432,275,588,313,385,387,402,30
Deuteronomy,20128,target,,490,328,650,322,485,383,570,-80
Isaiah_1,13504,train,720.0,528,377,680,303,553,372,493,35
Isaiah_2,5738,train,545.0,550,398,700,302,592,362,628,-78
Isaiah_3,3689,train,400.0,540,387,693,307,573,367,555,-15
Zechariah_1,2484,train,518.0,422,263,582,318,372,387,370,52
Zechariah_2,1987,train,350.0,548,395,702,307,587,363,512,37
Chronicles,35330,train,330.0,383,227,538,312,298,380,290,93
Daniel,3437,hbvi_holdout,167.0,430,272,587,315,383,387,445,-15
Jer_oracle,14539,holdout,605.0,543,393,695,302,582,363,587,-43
Jer_DTR,15197,target,,458,302,613,312,430,387,473,-15
D_Code,7353,target,,533,372,693,322,555,372,687,-153
D_Frame,11993,target,,465,302,627,325,445,385,510,-45
D_Song,782,target,,468,307,632,325,452,385,447,22
Lev_Holiness,5958,target,,512,355,668,313,522,378,662,-150
Lev_Priestly,10496,target,,557,402,708,307,600,358,500,57
Song_Sea,433,target,,530,367,692,325,550,372,423,107
Song_Deborah,462,target,,543,383,703,320,570,367,525,18
P_source,54435,target,,467,310,622,312,443,387,447,20
JE_source,37752,target,,302,135,468,333,218,363,385,-83
D_source,20128,target,,490,328,650,322,485,383,570,-80
Gen_JE,22409,target,,248,82,417,335,173,350,358,-110
Exo_JE,11780,target,,378,218,537,318,300,380,437,-58
Num_JE,3563,target,,297,130,465,335,218,365,380,-83
