feature,rho,p_raw,loo_sign,n_obs
rate_asher,-0.5871881809170676,0.003221832065821858,1.0,23
frac_infc,-0.5837254031020555,0.0034539643196476815,1.0,23
rate_impv,0.5654221489369909,0.004928162271804415,1.0,23
rate_lakhen,0.5647973133387876,0.004986564739913225,1.0,23
rate_af,0.5339336144870449,0.008685625993818141,1.0,23
rate_yiqtol,0.5258475453368516,0.009961943329464821,1.0,23
rate_qatal,0.5189219897068271,0.011174446263926855,1.0,23
frac_fronted,0.5149645293468132,0.01192008310010623,1.0,23
frac_neg_al,-0.5030921482667714,0.014405526979592239,1.0,23
rate_neg_lo,0.4936931799117384,0.016660018836459484,1.0,23
rate_prs,0.4833048464667018,0.019477045704698527,1.0,23
rate_qal,0.4640122272116338,0.025724895974624254,1.0,23
rate_natan,-0.46153881448662515,0.026630327966008414,1.0,23
rate_inf_con,-0.4585707192166147,0.027750287072224974,1.0,23
rate_piel,0.40613436944643005,0.05448639217734238,1.0,23
rate_hiphil,0.40118754399641265,0.0577855887467099,1.0,23
frac_she,-0.381303489186536,0.0726194901932032,1.0,23
rate_halak,0.36161294039627323,0.08999006825908229,1.0,23
rate_ut_nouns,-0.3399308938143442,0.11250861733983222,1.0,23
frac_wqtl_wayq,0.33341603533117403,0.12001544433415566,1.0,23
rate_pen,0.3316867577670303,0.12206762010378058,1.0,23
rate_ptca,0.33143730515116704,0.12236573484699367,1.0,23
rate_wayyiqtol,-0.33143730515116704,0.12236573484699367,1.0,23
rate_ani,-0.32953999313006294,0.12465043059354998,1.0,23
frac_ani,-0.3449395425279236,0.12567930029286062,1.0,21
rate_ki,0.3052191302660747,0.15671472886873053,1.0,23
frac_null_subj,0.30027230481605727,0.16388602605348157,1.0,23
rate_az,0.2765264728823175,0.20149645036644612,1.0,23
rate_hinne,0.2543296643676462,0.2415652712823801,1.0,23
rate_neg_al,-0.25228809795088836,0.24549386149574956,1.0,23
frac_sv,0.22161778016078032,0.3094962615848742,1.0,23
frac_nmcl,-0.21914436743577165,0.3150651336249429,1.0,23
rate_cpen_1k,0.20203021168851945,0.3552503994833167,1.0,23
rate_anochi,0.20156410006080278,0.3563850016463509,1.0,23
rate_inf_abs,0.18456218834461482,0.3992025973208291,1.0,23
rate_shaal,-0.17549755190953378,0.4231514170972225,1.0,23
frac_niphal,-0.17511762093061659,0.42417188603095723,1.0,23
rate_atta,0.16766936761906948,0.4444446178222584,1.0,23
rate_baqash,-0.16654353896942278,0.4475527769415465,1.0,23
frac_ov,0.1632452398505748,0.4567241651862354,1.0,23
rate_hophal,0.1519503644047817,0.48885860129092473,1.0,23
frac_yld_nif,-0.20267692215185584,0.5066414764724068,1.0,13
frac_cpen,0.1411240449294805,0.5206842738325372,1.0,23
frac_anachnu,-0.2004561009344103,0.5545252303435375,0.9090909090909091,11
rate_f_noun,0.12861746170045288,0.5586369952684564,1.0,23
frac_ein,-0.12320639382790644,0.5754336722847055,1.0,23
rate_hithpael,-0.09507304079459737,0.6660997167044945,0.9565217391304348,23
rate_const,-0.08953754064531526,0.6845382244805082,1.0,23
frac_ptcp_cl,-0.08310666756029263,0.7061793781130659,0.9565217391304348,23
rate_niphal,0.08063325483528393,0.7145629513519147,1.0,23
rate_hayah,0.0722236515702543,0.7433014620879699,1.0,23
rate_ptcp,0.0662874610302334,0.763791456363319,0.8695652173913043,23
frac_qahal,-0.10976425998969035,0.7958391137497609,0.875,8
frac_ysf_qal,0.0665682656290226,0.8064994713934425,0.9375,16
rate_gam,-0.030670317790107995,0.8895139954983824,0.7391304347826086,23
rate_pl_noun,0.02918627015510277,0.8948305642646894,0.782608695652174,23
frac_baqash,0.01269525273157718,0.9576354830901259,0.4,20
rate_amar,-0.01088301599003832,0.960693182303486,0.6521739130434783,23
frac_halak_piel,-0.0038501085033617027,0.9864330479642108,0.6363636363636364,22
rate_na,0.003536950774601322,0.9872211051586479,0.6086956521739131,23
