unit,n_words,role,scholarly,assigned_group,best_group,map_bce,ci68_lo,ci68_hi,map_bestgroup
Amos,2780,train,760.0,SBH,Transitional,747,722,770,497
Hosea,3146,train,745.0,SBH,Transitional,735,712,760,440
Micah,1895,train,725.0,SBH,Transitional,715,690,738,398
Zephaniah,1037,train,630.0,SBH,Transitional,622,598,647,433
Nahum,746,train,650.0,SBH,Transitional,647,622,672,330
Habakkuk,897,hbvi_holdout,605.0,SBH,Transitional,860,838,883,477
Lamentations,1945,train,570.0,Transitional,Transitional,620,518,720,620
Ezekiel,26182,train,580.0,Transitional,Transitional,515,413,615,515
Obadiah,392,train,585.0,Transitional,Transitional,633,533,733,633
Joel,1318,train,400.0,Transitional,Transitional,395,293,495,395
Jonah,985,train,400.0,Transitional,Transitional,330,230,432,330
Malachi,1187,train,460.0,Transitional,Transitional,527,427,628,527
Haggai,877,holdout,520.0,Transitional,Transitional,482,382,583,482
Ezra,5268,train,380.0,LBH,Transitional,378,362,397,440
Nehemiah,7842,train,380.0,LBH,Transitional,377,360,395,313
Esther,4621,train,300.0,LBH,Transitional,297,278,313,510
Ecclesiastes,4233,train,250.0,LBH,LBH,250,232,267,250
Genesis,28764,target,,Transitional,Transitional,268,168,370,268
Exodus,23748,target,,Transitional,Transitional,382,280,482,382
Leviticus,17099,target,,Transitional,Transitional,402,300,502,402
Numbers,23188,target,,Transitional,Transitional,353,253,455,353
Deuteronomy,20128,target,,Transitional,Transitional,552,452,653,552
Isaiah_1,13504,train,720.0,SBH,Transitional,753,730,778,498
Isaiah_2,5738,train,545.0,Transitional,Transitional,452,350,552,452
Isaiah_3,3689,train,400.0,Transitional,Transitional,482,380,582,482
Zechariah_1,2484,train,518.0,Transitional,Transitional,472,372,573,472
Zechariah_2,1987,train,350.0,LBH,Transitional,350,332,367,367
Chronicles,35330,train,330.0,LBH,Transitional,342,323,358,368
Daniel,3437,hbvi_holdout,167.0,LBH,Transitional,303,285,320,530
Jer_oracle,14539,holdout,605.0,SBH,Transitional,670,645,693,502
Jer_DTR,15197,target,,Transitional,Transitional,508,408,610,508
D_Code,7353,target,,Transitional,Transitional,560,458,660,560
D_Frame,11993,target,,Transitional,Transitional,565,465,667,565
D_Song,782,target,,Transitional,Transitional,270,170,372,270
Lev_Holiness,5958,target,,Transitional,Transitional,473,373,575,473
Lev_Priestly,10496,target,,Transitional,Transitional,367,267,468,367
Song_Sea,433,target,,Transitional,Transitional,407,307,508,407
Song_Deborah,462,target,,Transitional,Transitional,622,520,722,622
P_source,54435,target,,Transitional,Transitional,377,277,478,377
JE_source,37752,target,,Transitional,Transitional,295,195,397,295
D_source,20128,target,,Transitional,Transitional,552,452,653,552
Gen_JE,22409,target,,Transitional,Transitional,270,168,370,270
Exo_JE,11780,target,,Transitional,Transitional,342,240,442,342
Num_JE,3563,target,,Transitional,Transitional,307,207,408,307
