pair,kind,s_kings,s_chron,delta,n_kings,n_chron
Solomon_accession,synoptic,0.09886416637565199,0.3841258927918156,0.2852617264161636,2321,1334
Solomon_reign,synoptic,0.7646426062856767,0.25405372097523155,-0.5105888853104452,1661,911
Temple,synoptic,0.4192223512455124,0.4263182295659104,0.007095878320398041,3605,2875
Solomon_later,synoptic,-0.20427270130763334,0.1434996031521872,0.34777230445982055,2277,1137
Rehoboam,synoptic,0.08012013390730395,0.7625157813043241,0.6823956473970201,2420,1233
Asa,synoptic,0.011286280647117685,1.4831738141504431,1.4718875335033255,697,1069
Jehoshaphat,synoptic,0.7499711426671442,0.995010069271485,0.2450389266043409,1111,2250
Joash,synoptic,0.3402860714868244,0.36692378482549515,0.026637713338670765,1079,1616
Amaziah,synoptic,0.316092947613199,0.48670897409602776,0.17061602648282875,640,699
Uzziah_Jotham,synoptic,-0.5112171975159406,0.4212816389594263,0.9324988364753669,773,738
Ahaz,synoptic,0.2951080954908829,0.10462929644063523,-0.19047879905024767,529,651
Hezekiah,synoptic,-0.16832330640282697,0.5811708884644252,0.7494941948672522,2154,2904
Manasseh,synoptic,-0.4288208405602617,0.10206657380675184,0.5308874143670136,552,562
Josiah,synoptic,0.13527820344108885,0.9887875287450107,0.8535093253039219,1663,1625
Hezekiah_noise_floor,noise_floor,-0.16832330640282697,-0.11045707852226803,0.05786622788055894,2154,1837
placebo_Kings_odd_even,placebo,0.1930596779020086,0.49097643059125223,0.29791675268924367,9864,8821
placebo_Chron_early_late,placebo,0.5745198659964337,0.7510493679749178,0.17652950197848416,8101,11663
placebo_2Kings_split,placebo,0.47540358024331697,-0.01438756110735472,-0.4897911413506717,8317,8990
