id,date_bce,true_period,loo_generative,loo_ridge,n_words,pred_generative,pred_ridge
Amos,760.0,Pre-exilic,616.0,584.9133097291841,2780,Pre-exilic,Exilic
Hosea,745.0,Pre-exilic,750.0,592.4404199096713,3146,Pre-exilic,Pre-exilic
Micah,725.0,Pre-exilic,764.0,687.0312137050464,1895,Pre-exilic,Pre-exilic
Zephaniah,630.0,Pre-exilic,720.0,636.7449999721302,1037,Pre-exilic,Pre-exilic
Nahum,650.0,Pre-exilic,602.0,387.72159533139217,746,Pre-exilic,Persian
Habakkuk,605.0,Pre-exilic,656.0,543.694704457765,897,Pre-exilic,Exilic
Lamentations,570.0,Exilic,808.0,609.6195549402759,1945,Pre-exilic,Pre-exilic
Ezekiel,580.0,Exilic,422.0,487.3804550415025,26182,Persian,Persian
Obadiah,585.0,Exilic,528.0,256.68016381553514,392,Persian,Hellenistic
Joel,400.0,Persian,656.0,573.6414358292403,1318,Pre-exilic,Exilic
Jonah,400.0,Persian,350.0,453.59924462027794,985,Persian,Persian
Malachi,460.0,Persian,652.0,604.2773705337087,1187,Pre-exilic,Pre-exilic
Haggai,520.0,Persian,186.0,431.68204455520106,877,Hellenistic,Persian
Ezra,380.0,Persian,300.0,452.64767673500353,5268,Hellenistic,Persian
Nehemiah,380.0,Persian,264.0,341.4565367065573,7842,Hellenistic,Persian
Esther,300.0,Hellenistic,100.0,280.2909424943862,4621,Hellenistic,Hellenistic
Ecclesiastes,250.0,Hellenistic,462.0,450.4333420198275,4233,Persian,Persian
Isaiah_1,720.0,Pre-exilic,580.0,588.2521275383498,13504,Exilic,Pre-exilic
Isaiah_2,545.0,Exilic,812.0,579.366282540166,5738,Pre-exilic,Exilic
Isaiah_3,400.0,Persian,696.0,646.3627405383071,3689,Pre-exilic,Pre-exilic
Zechariah_1,518.0,Persian,282.0,445.9432163452645,2484,Hellenistic,Persian
Zechariah_2,350.0,Persian,592.0,570.7487463633688,1987,Pre-exilic,Exilic
Chronicles,330.0,Hellenistic,214.0,383.66003008104667,35330,Hellenistic,Persian
Daniel,167.0,Hellenistic,400.0,437.6629065244189,3437,Persian,Persian
Jer_oracle,605.0,Pre-exilic,710.0,649.5437442356788,14539,Pre-exilic,Pre-exilic
