unit,n_words,role,scholarly,mvn_map,mvn_lo,mvn_hi,mvn_width,map_resist,delta_arch,map_genre,genre_shift,lbh_score,lbh_class,reg_mvn_map,best_group,group,hb_map,hb_post_std,hb_scholar_in68,hb_lo,hb_hi,ps_modeA,ps_modeB,ps_lik_only,ps_shift,ps_verdict
Amos,2780,train,760.0,542,388,692,303,520,22,500,-77,-0.243,Archaizing,497,Transitional,SBH,759.2912656703697,18.663507896738235,True,740.7913002887551,777.7912310519844,,,,,
Hosea,3146,train,745.0,525,373,678,305,583,-58,587,38,0.059,Archaic/SBH,440,Transitional,SBH,745.4109514253946,23.018894792031368,True,722.6348000843727,768.1871027664165,,,,,
Micah,1895,train,725.0,578,427,732,305,645,-67,577,-62,-0.335,Archaizing,398,Transitional,SBH,722.9713184982186,22.73847982049032,True,700.1853209230082,745.4222278737933,,,,,
Zephaniah,1037,train,630.0,513,360,668,308,610,-97,523,-3,0.285,Archaic/SBH,433,Transitional,SBH,625.8774906317988,18.94252560707425,True,606.8154583168969,644.6369510051943,,,,,
Nahum,746,train,650.0,592,435,750,315,483,108,720,73,1.064,Modern/LBH,330,Transitional,SBH,624.3646309242669,24.169159185789223,False,599.8563036622501,647.9652423617645,,,,,
Habakkuk,897,hbvi_holdout,605.0,475,317,632,315,453,22,360,-98,0.165,Archaic/SBH,477,Transitional,SBH,606.210314433884,18.36487643587709,True,588.0559979435013,624.3646309242669,646.3621461056238,784.257127957994,792.1488999208655,-137.89498185237028,prior-dominated
Lamentations,1945,train,570.0,695,545,840,295,507,188,812,52,0.458,Transitional,620,Transitional,Transitional,552.2914858790882,32.216531232369924,True,520.6113182751167,584.5868023685738,,,,,
Ezekiel,26182,train,580.0,493,338,645,307,533,-40,448,-42,0.096,Archaic/SBH,515,Transitional,Transitional,585.6354224114502,18.49269769203253,True,567.178533979561,604.0923108433394,,,,,
Obadiah,392,train,585.0,508,342,672,330,628,-120,507,-7,0.515,Transitional,633,Transitional,Transitional,625.7014049387974,45.84882002330849,True,583.6892854590674,674.4654721920555,,,,,
Joel,1318,train,400.0,557,402,710,308,550,7,663,65,0.386,Transitional,395,Transitional,Transitional,432.7110986538761,46.4534051982866,True,386.7212371801097,476.7577265442439,,,,,
Jonah,985,train,400.0,235,70,402,332,310,-75,325,168,0.551,Transitional,330,Transitional,Transitional,430.6282687416104,38.3515069765975,True,390.6549066739795,466.7780918288592,,,,,
Malachi,1187,train,460.0,597,445,748,303,493,103,658,-8,0.39,Transitional,527,Transitional,Transitional,456.437203388226,22.5988934246386,True,434.0468797167539,478.8275270596981,,,,,
Haggai,877,holdout,520.0,465,303,625,322,345,120,317,-128,1.366,Modern/LBH,482,Transitional,Transitional,519.6747391630594,9.856857656897995,True,509.6898650933488,529.3570412912636,521.8651844179359,553.2372586923684,639.5577810575542,-31.37207427443252,mildly prior-influenced
Ezra,5268,train,380.0,440,280,600,320,338,102,302,-100,0.599,Transitional,440,Transitional,LBH,423.71644003815055,32.51766734489903,False,391.174889609194,455.1851921013173,,,,,
