spec,n_feat,wordscale,target,map_bce,hdi68_width
asis_p30,30,False,P_source,351,269
asis_p30,30,False,D_source,277,269
asis_p30,30,False,JE_source,369,269
asis_p30,30,False,D_Code,343,269
asis_p30,30,False,Lev_Priestly,301,269
asis_p30,30,False,Song_Sea,678,251
asis_p30,30,False,Jer_oracle,595,265
asis_p30,30,False,Jer_DTR,373,269
asis_p30,30,False,Haggai,553,267
asis_p30,30,False,Habakkuk,656,255
asis_p30,30,False,Daniel,271,267
asis_p30,30,True,P_source,329,130
asis_p30,30,True,D_source,243,144
asis_p30,30,True,JE_source,349,130
asis_p30,30,True,D_Code,335,228
asis_p30,30,True,Lev_Priestly,281,196
asis_p30,30,True,Song_Sea,678,251
asis_p30,30,True,Jer_oracle,617,168
asis_p30,30,True,Jer_DTR,359,164
asis_p30,30,True,Haggai,553,267
asis_p30,30,True,Habakkuk,656,255
asis_p30,30,True,Daniel,271,267
p10,18,False,P_source,285,313
p10,18,False,D_source,142,289
p10,18,False,JE_source,385,315
p10,18,False,D_Code,221,305
p10,18,False,Lev_Priestly,231,307
p10,18,False,Song_Sea,756,242
p10,18,False,Jer_oracle,575,307
p10,18,False,Jer_DTR,237,307
p10,18,False,Haggai,395,315
p10,18,False,Habakkuk,647,291
p10,18,False,Daniel,321,313
p10,18,True,P_source,233,158
p10,18,True,D_source,54,166
p10,18,True,JE_source,361,158
p10,18,True,D_Code,197,267
p10,18,True,Lev_Priestly,191,232
p10,18,True,Song_Sea,756,242
p10,18,True,Jer_oracle,601,202
p10,18,True,Jer_DTR,183,198
p10,18,True,Haggai,395,315
p10,18,True,Habakkuk,647,291
p10,18,True,Daniel,321,313
p05,14,False,P_source,293,321
p05,14,False,D_source,159,299
p05,14,False,JE_source,373,323
p05,14,False,D_Code,237,315
p05,14,False,Lev_Priestly,263,319
p05,14,False,Song_Sea,740,257
p05,14,False,Jer_oracle,559,315
p05,14,False,Jer_DTR,239,315
p05,14,False,Haggai,381,323
p05,14,False,Habakkuk,668,291
p05,14,False,Daniel,337,323
p05,14,True,P_source,239,164
p05,14,True,D_source,70,174
p05,14,True,JE_source,345,164
p05,14,True,D_Code,213,275
p05,14,True,Lev_Priestly,225,240
p05,14,True,Song_Sea,740,257
p05,14,True,Jer_oracle,583,210
p05,14,True,Jer_DTR,183,206
p05,14,True,Haggai,381,323
p05,14,True,Habakkuk,668,291
p05,14,True,Daniel,337,323
p01,6,False,P_source,315,329
p01,6,False,D_source,110,287
p01,6,False,JE_source,335,329
p01,6,False,D_Code,173,309
p01,6,False,Lev_Priestly,243,323
p01,6,False,Song_Sea,668,295
p01,6,False,Jer_oracle,525,327
p01,6,False,Jer_DTR,199,315
p01,6,False,Haggai,395,331
p01,6,False,Habakkuk,752,253
p01,6,False,Daniel,359,331
p01,6,True,P_source,265,170
p01,6,True,D_source,2,152
p01,6,True,JE_source,293,170
p01,6,True,D_Code,140,269
p01,6,True,Lev_Priestly,199,246
p01,6,True,Song_Sea,668,295
p01,6,True,Jer_oracle,541,216
p01,6,True,Jer_DTR,128,208
p01,6,True,Haggai,395,331
p01,6,True,Habakkuk,752,253
p01,6,True,Daniel,359,331
bh10,10,False,P_source,319,363
bh10,10,False,D_source,491,363
bh10,10,False,JE_source,355,365
bh10,10,False,D_Code,591,345
bh10,10,False,Lev_Priestly,367,365
bh10,10,False,Song_Sea,561,353
bh10,10,False,Jer_oracle,609,341
bh10,10,False,Jer_DTR,359,365
bh10,10,False,Haggai,263,357
bh10,10,False,Habakkuk,652,325
bh10,10,False,Daniel,405,367
bh10,10,True,P_source,253,198
bh10,10,True,D_source,503,218
bh10,10,True,JE_source,307,198
bh10,10,True,D_Code,609,309
bh10,10,True,Lev_Priestly,341,285
bh10,10,True,Song_Sea,561,353
bh10,10,True,Jer_oracle,660,240
bh10,10,True,Jer_DTR,323,246
bh10,10,True,Haggai,263,357
bh10,10,True,Habakkuk,652,325
bh10,10,True,Daniel,405,367
kfold4,18,False,P_source,285,313
kfold4,18,False,D_source,142,289
kfold4,18,False,JE_source,385,315
kfold4,18,False,D_Code,221,305
kfold4,18,False,Lev_Priestly,231,307
kfold4,18,False,Song_Sea,756,242
kfold4,18,False,Jer_oracle,575,307
kfold4,18,False,Jer_DTR,237,307
kfold4,18,False,Haggai,395,315
kfold4,18,False,Habakkuk,647,291
kfold4,18,False,Daniel,321,313
kfold4,18,True,P_source,233,158
kfold4,18,True,D_source,54,166
kfold4,18,True,JE_source,361,158
kfold4,18,True,D_Code,197,267
kfold4,18,True,Lev_Priestly,191,232
kfold4,18,True,Song_Sea,756,242
kfold4,18,True,Jer_oracle,601,202
kfold4,18,True,Jer_DTR,183,198
kfold4,18,True,Haggai,395,315
kfold4,18,True,Habakkuk,647,291
kfold4,18,True,Daniel,321,313
blockreg,14,False,P_source,305,297
blockreg,14,False,D_source,100,263
blockreg,14,False,JE_source,373,299
blockreg,14,False,D_Code,177,285
blockreg,14,False,Lev_Priestly,241,293
blockreg,14,False,Song_Sea,654,279
blockreg,14,False,Jer_oracle,583,291
blockreg,14,False,Jer_DTR,225,293
blockreg,14,False,Haggai,339,299
blockreg,14,False,Habakkuk,682,269
blockreg,14,False,Daniel,323,297
blockreg,14,True,P_source,263,148
blockreg,14,True,D_source,14,144
blockreg,14,True,JE_source,349,148
blockreg,14,True,D_Code,153,246
blockreg,14,True,Lev_Priestly,207,220
blockreg,14,True,Song_Sea,654,279
blockreg,14,True,Jer_oracle,607,190
blockreg,14,True,Jer_DTR,175,186
blockreg,14,True,Haggai,339,299
blockreg,14,True,Habakkuk,682,269
blockreg,14,True,Daniel,323,297
p01+6noise,12,False,P_source,359,285
p01+6noise,12,False,D_source,136,267
p01+6noise,12,False,JE_source,377,285
p01+6noise,12,False,D_Code,189,277
p01+6noise,12,False,Lev_Priestly,267,283
p01+6noise,12,False,Song_Sea,645,271
p01+6noise,12,False,Jer_oracle,517,285
p01+6noise,12,False,Jer_DTR,267,283
p01+6noise,12,False,Haggai,407,285
p01+6noise,12,False,Habakkuk,712,248
p01+6noise,12,False,Daniel,323,285
p01+6noise,12,True,P_source,313,140
p01+6noise,12,True,D_source,26,144
p01+6noise,12,True,JE_source,329,140
p01+6noise,12,True,D_Code,187,240
p01+6noise,12,True,Lev_Priestly,233,210
p01+6noise,12,True,Song_Sea,664,267
p01+6noise,12,True,Jer_oracle,533,180
p01+6noise,12,True,Jer_DTR,136,176
p01+6noise,12,True,Haggai,373,285
p01+6noise,12,True,Habakkuk,764,222
p01+6noise,12,True,Daniel,391,285
p01+12noise,18,False,P_source,309,246
p01+12noise,18,False,D_source,112,232
p01+12noise,18,False,JE_source,333,246
p01+12noise,18,False,D_Code,193,242
p01+12noise,18,False,Lev_Priestly,201,244
p01+12noise,18,False,Song_Sea,643,240
p01+12noise,18,False,Jer_oracle,579,244
p01+12noise,18,False,Jer_DTR,205,244
p01+12noise,18,False,Haggai,443,246
p01+12noise,18,False,Habakkuk,698,228
p01+12noise,18,False,Daniel,359,246
p01+12noise,18,True,P_source,313,118
p01+12noise,18,True,D_source,80,130
p01+12noise,18,True,JE_source,273,118
p01+12noise,18,True,D_Code,122,204
p01+12noise,18,True,Lev_Priestly,273,178
p01+12noise,18,True,Song_Sea,676,234
p01+12noise,18,True,Jer_oracle,459,152
p01+12noise,18,True,Jer_DTR,211,150
p01+12noise,18,True,Haggai,345,246
p01+12noise,18,True,Habakkuk,714,224
p01+12noise,18,True,Daniel,333,246
