id,truth,point,actually_post,p_post,err,n_words
Amos,760.0,616.0,0,0.375,144.0,2780
Hosea,745.0,750.0,0,0.25,5.0,3146
Micah,725.0,764.0,0,0.2916666666666667,39.0,1895
Zephaniah,630.0,720.0,0,0.3333333333333333,90.0,1037
Nahum,650.0,602.0,0,0.5,48.0,746
Habakkuk,605.0,656.0,0,0.4166666666666667,51.0,897
Lamentations,570.0,808.0,1,0.20833333333333334,238.0,1945
Ezekiel,580.0,422.0,1,0.875,158.0,26182
Obadiah,585.0,528.0,1,0.5833333333333334,57.0,392
Joel,400.0,656.0,1,0.375,256.0,1318
Jonah,400.0,350.0,1,0.9583333333333334,50.0,985
Malachi,460.0,652.0,1,0.3333333333333333,192.0,1187
Haggai,520.0,186.0,1,1.0,334.0,877
Ezra,380.0,300.0,1,0.9583333333333334,80.0,5268
Nehemiah,380.0,264.0,1,0.9583333333333334,116.0,7842
Esther,300.0,100.0,1,1.0,200.0,4621
Ecclesiastes,250.0,462.0,1,0.625,212.0,4233
Isaiah_1,720.0,580.0,0,0.5,140.0,13504
Isaiah_2,545.0,812.0,1,0.20833333333333334,267.0,5738
Isaiah_3,400.0,696.0,1,0.2916666666666667,296.0,3689
Zechariah_1,518.0,282.0,1,0.9583333333333334,236.0,2484
Zechariah_2,350.0,592.0,1,0.5,242.0,1987
Chronicles,330.0,214.0,1,1.0,116.0,35330
Daniel,167.0,400.0,1,0.875,233.0,3437
Jer_oracle,605.0,710.0,0,0.2916666666666667,105.0,14539
