id,truth,point,actually_post,p_post,err,n_words
Amos,760.0,584.9133097291841,0,0.4166666666666667,175.0866902708159,2780
Hosea,745.0,592.4404199096713,0,0.5,152.55958009032872,3146
Micah,725.0,687.0312137050464,0,0.25,37.96878629495359,1895
Zephaniah,630.0,636.7449999721302,0,0.4166666666666667,6.744999972130245,1037
Nahum,650.0,387.72159533139217,0,1.0,262.27840466860783,746
Habakkuk,605.0,543.694704457765,0,0.625,61.305295542234944,897
Lamentations,570.0,609.6195549402759,1,0.4166666666666667,39.61955494027586,1945
Ezekiel,580.0,487.3804550415025,1,0.7916666666666666,92.6195449584975,26182
Obadiah,585.0,256.68016381553514,1,1.0,328.31983618446486,392
Joel,400.0,573.6414358292403,1,0.5,173.64143582924032,1318
Jonah,400.0,453.59924462027794,1,0.8333333333333334,53.59924462027794,985
Malachi,460.0,604.2773705337087,1,0.4583333333333333,144.27737053370868,1187
Haggai,520.0,431.68204455520106,1,0.8333333333333334,88.31795544479894,877
Ezra,380.0,452.64767673500353,1,0.7916666666666666,72.64767673500353,5268
Nehemiah,380.0,341.4565367065573,1,1.0,38.5434632934427,7842
Esther,300.0,280.2909424943862,1,1.0,19.709057505613828,4621
Ecclesiastes,250.0,450.4333420198275,1,0.8333333333333334,200.43334201982748,4233
Isaiah_1,720.0,588.2521275383498,0,0.4583333333333333,131.74787246165022,13504
Isaiah_2,545.0,579.366282540166,1,0.5,34.366282540166026,5738
Isaiah_3,400.0,646.3627405383071,1,0.3333333333333333,246.3627405383071,3689
Zechariah_1,518.0,445.9432163452645,1,0.8333333333333334,72.05678365473551,2484
Zechariah_2,350.0,570.7487463633688,1,0.5,220.7487463633688,1987
Chronicles,330.0,383.66003008104667,1,0.9166666666666666,53.66003008104667,35330
Daniel,167.0,437.6629065244189,1,0.7916666666666666,270.6629065244189,3437
Jer_oracle,605.0,649.5437442356788,0,0.2916666666666667,44.54374423567879,14539
