unit,truth,pred,spread,n_chunks,lam,err
Amos,760.0,568.5065263172901,10.174449823092399,3,1000.0,191.49347368270992
Hosea,745.0,546.8318400828839,39.20259503798085,3,1000.0,198.1681599171161
Micah,725.0,553.6271705141581,16.23798191546061,2,1000.0,171.37282948584186
Isaiah_1,720.0,523.8092280140738,44.233956641792574,13,1000.0,196.19077198592618
Zephaniah,630.0,581.5423830300599,0.0,1,1000.0,48.45761696994009
Nahum,650.0,600.992670504015,0.0,1,1000.0,49.007329495985005
Habakkuk,605.0,604.1754750053731,0.0,1,1000.0,0.8245249946269269
Lamentations,570.0,646.7024156447073,17.71028915236569,2,1000.0,76.70241564470734
Ezekiel,580.0,509.35492412209607,88.66587315807168,26,1000.0,70.64507587790393
Obadiah,585.0,595.9313313924697,0.0,1,1000.0,10.931331392469701
Isaiah_2,545.0,609.738107582775,11.149325311681835,6,1000.0,64.738107582775
Zechariah_1,518.0,469.8365953307209,3.046193682081005,2,1000.0,48.16340466927909
Malachi,460.0,519.7729040338215,0.0,1,1000.0,59.77290403382153
Joel,400.0,517.5673320429464,0.0,1,1000.0,117.56733204294642
Jonah,400.0,442.58607134210223,0.0,1,1000.0,42.58607134210223
Isaiah_3,400.0,513.5788657612386,26.63726443431096,4,1000.0,113.5788657612386
Ezra,380.0,323.7599545399623,48.55915080306433,5,1000.0,56.24004546003772
Nehemiah,380.0,297.0041772464808,33.09550610843036,8,1000.0,82.99582275351918
Zechariah_2,350.0,614.1443134397679,16.884549813516802,2,1000.0,264.14431343976787
Chronicles,330.0,385.5937369546339,58.10357330334619,35,1000.0,55.593736954633926
Esther,300.0,210.7966066027845,48.14109412929819,5,1000.0,89.2033933972155
Ecclesiastes,250.0,383.2612493022278,34.88227890324608,4,1000.0,133.26124930222778
Daniel,167.0,413.7027143100887,47.38423465299791,3,1000.0,246.7027143100887
Jer_oracle,605.0,587.3400290527258,37.38346877126352,14,1000.0,17.659970947274246
Haggai,520.0,525.7665821494611,0.0,1,1000.0,5.766582149461101
