unit,truth,pred,spread,n_chunks,lam,err
Amos,760.0,574.5851012261548,23.237456111700702,5,1000.0,185.41489877384515
Hosea,745.0,530.4637273060068,57.298515842973,6,1000.0,214.53627269399317
Micah,725.0,572.7727996339464,44.707011155216314,4,1000.0,152.22720036605358
Isaiah_1,720.0,515.6413671039913,62.473799208666684,26,10.0,204.35863289600866
Zephaniah,630.0,591.7124843616618,79.49624172529234,2,1000.0,38.287515638338164
Nahum,650.0,626.0217594318339,0.0,1,1000.0,23.978240568166143
Habakkuk,605.0,618.3961032043167,28.812827327347218,2,1000.0,13.39610320431666
Lamentations,570.0,642.729591620591,50.12007117920418,4,1000.0,72.72959162059101
Ezekiel,580.0,491.7370640773234,102.29101719226877,51,1000.0,88.2629359226766
Obadiah,585.0,557.3089938383225,0.0,1,1000.0,27.69100616167748
Isaiah_2,545.0,616.3583884712207,49.05215390383383,11,1000.0,71.35838847122068
Zechariah_1,518.0,457.10976748653957,36.667150945236834,5,1000.0,60.89023251346043
Malachi,460.0,517.393434919144,62.662250169742265,2,1000.0,57.393434919144056
Joel,400.0,550.4205914059037,80.46305562468831,3,1000.0,150.42059140590368
Jonah,400.0,415.4138491183904,2.574120198155749,2,1000.0,15.413849118390374
Isaiah_3,400.0,527.4654734724236,50.5677393942418,7,1000.0,127.46547347242358
Ezra,380.0,289.2655225003699,69.21997151144483,10,1000.0,90.73447749963009
Nehemiah,380.0,280.0925270740454,53.57029997456831,15,1000.0,99.90747292595461
Zechariah_2,350.0,556.4519220923564,30.865081816914582,4,1000.0,206.45192209235643
Chronicles,330.0,363.3651716803474,79.8439791576616,69,1000.0,33.36517168034737
Esther,300.0,294.74509395531044,35.724988807373826,9,1000.0,5.254906044689562
Ecclesiastes,250.0,407.5355448324501,70.31422368700511,8,1000.0,157.5355448324501
Daniel,167.0,476.88470056723287,57.19225220318812,7,100.0,309.88470056723287
Jer_oracle,605.0,583.5371057084926,60.719767629321794,29,1000.0,21.462894291507382
Haggai,520.0,525.993703405672,71.27656667556136,2,1000.0,5.993703405672022
