id,n_words,point,lo68,hi68,lo90,hi90,span68,n_periods68,P_Pre-exilic,P_Exilic,P_Persian,P_Hellenistic,top_period,top_prob,p_post_exilic
Genesis,28764,296.0,63.0,529.0,0.0,592.0,Persian;Hellenistic,2,0.04,0.0,0.44,0.52,Hellenistic,0.52,0.96
Exodus,23748,316.0,83.0,549.0,20.0,612.0,Exilic;Persian;Hellenistic,3,0.04,0.04,0.4,0.52,Hellenistic,0.52,0.96
Leviticus,17099,342.0,109.0,575.0,46.0,638.0,Exilic;Persian;Hellenistic,3,0.04,0.08,0.4,0.48,Hellenistic,0.48,0.96
Numbers,23188,274.0,41.0,507.0,-22.0,570.0,Persian;Hellenistic,2,0.04,0.0,0.32,0.64,Hellenistic,0.64,0.96
Deuteronomy,20128,256.0,23.0,489.0,-40.0,552.0,Persian;Hellenistic,2,0.04,0.0,0.32,0.64,Hellenistic,0.64,0.96
Jer_DTR,15197,274.0,41.0,507.0,-22.0,570.0,Persian;Hellenistic,2,0.04,0.0,0.32,0.64,Hellenistic,0.64,0.96
D_Code,7353,338.0,105.0,571.0,42.0,634.0,Exilic;Persian;Hellenistic,3,0.04,0.04,0.44,0.48,Hellenistic,0.48,0.96
D_Frame,11993,182.0,-51.0,415.0,-114.0,478.0,Persian;Hellenistic,2,0.0,0.0,0.16,0.84,Hellenistic,0.84,1.0
D_Song,782,550.0,317.0,783.0,254.0,846.0,Pre-exilic;Exilic;Persian;Hellenistic,4,0.48,0.04,0.24,0.24,Pre-exilic,0.48,0.52
Lev_Holiness,5958,464.0,231.0,697.0,168.0,760.0,Pre-exilic;Exilic;Persian;Hellenistic,4,0.24,0.12,0.32,0.32,Persian,0.32,0.76
Lev_Priestly,10496,256.0,23.0,489.0,-40.0,552.0,Persian;Hellenistic,2,0.04,0.0,0.32,0.64,Hellenistic,0.64,0.96
Song_Sea,433,654.0,421.0,887.0,358.0,950.0,Pre-exilic;Exilic;Persian,3,0.6,0.08,0.32,0.0,Pre-exilic,0.6,0.4
Song_Deborah,462,610.0,377.0,843.0,314.0,906.0,Pre-exilic;Exilic;Persian,3,0.52,0.08,0.36,0.04,Pre-exilic,0.52,0.48
P_source,54435,264.0,31.0,497.0,-32.0,560.0,Persian;Hellenistic,2,0.04,0.0,0.32,0.64,Hellenistic,0.64,0.96
JE_source,37752,356.0,123.0,589.0,60.0,652.0,Pre-exilic;Exilic;Persian;Hellenistic,4,0.08,0.04,0.4,0.48,Hellenistic,0.48,0.92
D_source,20128,256.0,23.0,489.0,-40.0,552.0,Persian;Hellenistic,2,0.04,0.0,0.32,0.64,Hellenistic,0.64,0.96
Gen_JE,22409,318.0,85.0,551.0,22.0,614.0,Exilic;Persian;Hellenistic,3,0.04,0.04,0.4,0.52,Hellenistic,0.52,0.96
Exo_JE,11780,410.0,177.0,643.0,114.0,706.0,Pre-exilic;Exilic;Persian;Hellenistic,4,0.12,0.12,0.36,0.4,Hellenistic,0.4,0.88
Num_JE,3563,402.0,169.0,635.0,106.0,698.0,Pre-exilic;Exilic;Persian;Hellenistic,4,0.12,0.12,0.36,0.4,Hellenistic,0.4,0.88
